UniqueCount	AmbigCount
0	631
4	631
1170	631
0	0
3	6
0	491
1	491
5	6
0	0
0	0
0	0
660	0
542	0
560	0
0	73426
1499	70772
569	73426
20	783
396	783
0	666
43	666
0	652
0	652
0	652
17	652
0	652
12	0
51	0
30	0
1	0
1	0
0	0
8	0
1	29
57	29
0	119
3	120
1	100
0	203
17	157
0	147
2	205
323	0
0	1388
14	1388
59	0
120	3224
46	3224
388	0
254	0
1	0
1	198
0	200
8	173
0	173
0	188
0	200
1	39
1275	41
0	38
4	93
0	99
5	83
0	15132
74	38608
0	15066
19	15102
5	38999
44	15136
1247	1
0	431
0	406
1	421
195	0
0	1342
0	1292
0	1332
692	0
22	2285
0	2008
6	2928
211	568
3	568
258	17711
96	17690
53	17711
0	312
0	265
3	312
0	895
232	895
1	0
78	0
0	0
1334	2
825	0
32314	0
4	0
10	0
991	3468
7	3468
2113	23721
1665	22789
46	22656
30	22655
27	23713
1517	0
707	0
0	2135
0	2135
10	2135
8	2045
9	2135
0	2134
11	1157
7	0
0	0
0	0
0	0
533	0
0	2177
15	2177
3	1188
0	1249
26	1162
0	1244
0	1245
76	0
2	0
0	0
389	0
6884	0
1	0
0	1189
85	1272
78	1272
350	0
1364	6
1	0
0	0
1	0
1795	0
2076	0
678	0
41	0
0	0
141	123
0	123
2	6
0	1198
0	1198
50	1198
0	0
0	0
4	39
1	39
5	0
0	360
0	360
30	0
2	0
82	0
0	60
0	60
3	25
0	25
16	0
209	1692
0	1692
2	42
0	42
311	0
310	0
0	5859
2	5689
13	5639
1771	5861
84	5227
47	5335
1	5325
0	1037
3	1004
0	1037
0	1003
0	1037
0	1002
0	705
2	1004
4	1003
60	6197
2	6042
10	5814
1079	0
179	0
2191	0
40	0
0	1038
345	1038
0	1018
0	308
1	219
0	234
4	287
2	287
9	3092
1	3050
0	3092
0	3114
0	3114
0	3091
0	0
49	2470
2	2470
77	0
0	131
20	131
0	0
5	0
0	1285
48	1008
52	1174
0	1007
33	1285
323	5
21	0
408	2214
50	2216
0	2000
6	2000
0	1896
606	0
0	880
205	880
0	47
11	47
164	0
0	1177
3	528
1	1150
0	539
0	0
0	0
0	646
0	615
0	448
721	57
0	760
2	810
763	565
49	0
3	33243
2685	33247
5	33244
1	33247
0	604
215	604
250	0
435	0
217	0
0	0
112	339
4	339
0	285
0	285
2265	0
565	1
37	1330
0	1330
0	789
70	789
601	0
0	2197
1820	2197
18	2187
0	2187
0	626
3	681
24	657
0	626
3	644
224	0
5	0
1	602
4	602
432	0
24	2870
15	2872
0	2870
18	2814
1	2868
1	2868
0	2870
0	0
1101	0
2311	0
0	1591
0	1656
0	1565
0	1630
0	1592
5	1591
0	93
50	93
61	7511
0	6954
0	6720
38	6927
29	7171
9	6802
0	6806
5	6927
2	6801
0	1686
1	1689
932	0
1704	39
0	616
48	616
0	1532
0	1064
0	1079
39	1445
0	1538
374	0
1	1082
0	1082
98	1693
130	1693
0	790
180	790
86	278
18	278
3	1385
12	1385
0	173
0	173
7	173
37	2446
78	2446
0	1607
100	1607
9	0
863	0
0	2558
4	2523
2727	2558
3	2126
5	6922
264	15125
22	6877
0	15250
119	3098
0	3094
2	3080
5	3033
0	3033
57	3176
6	2754
0	3061
1	2844
0	2730
107	2730
0	2158
162	2158
208	0
779	0
0	502
0	502
0	596
132	596
0	0
