UniqueCount	AmbigCount
0	1157
4	1157
1585	1157
0	0
0	9
0	266
0	266
1	9
0	0
0	0
0	0
566	0
672	0
825	0
0	60307
1085	58727
616	60307
25	964
497	964
0	854
45	854
0	562
0	562
0	562
23	562
1	562
6	0
59	0
25	0
0	0
0	0
0	0
5	0
0	40
49	40
0	131
4	132
1	117
0	224
26	179
0	164
0	224
433	0
0	1738
3	1738
66	0
166	3847
47	3847
382	0
327	0
1	0
1	311
0	311
0	280
3	280
0	296
0	311
0	65
1901	69
0	68
0	110
0	122
2	93
0	18600
107	42618
0	18485
92	18549
7	43083
43	18609
1325	0
2	571
0	541
3	555
281	0
0	1506
3	1462
1	1496
674	0
33	2740
0	2482
11	3574
269	649
5	649
495	18494
131	18472
95	18494
0	270
0	230
7	270
0	898
175	898
0	0
20	0
0	0
1353	0
1487	0
31844	6
0	0
1	0
1029	4048
4	4048
2369	24033
1845	23075
43	22931
46	22942
13	24024
1728	0
854	0
0	2549
0	2540
6	2540
4	2415
23	2544
0	2540
4	1536
6	0
0	0
0	2
0	2
590	0
0	2851
26	2851
10	1079
3	1124
34	1062
0	1117
0	1117
104	0
0	0
0	0
373	0
5894	0
3	0
0	1490
95	1591
67	1591
405	0
2086	8
5	0
0	0
2	0
1967	0
2541	0
802	0
22	0
0	0
200	135
0	135
0	8
0	1299
0	1299
47	1299
0	0
0	0
4	25
2	25
9	0
0	206
0	206
34	0
0	0
38	0
0	28
0	28
16	29
0	29
11	0
294	1697
1	1697
1	25
3	25
362	0
159	0
0	6886
5	6670
9	6602
1872	6886
168	6050
70	6114
1	6081
0	1184
0	1106
0	1175
0	1106
1	1179
0	1159
1	798
0	1106
3	1107
53	6808
1	6628
11	6305
1218	0
121	0
2522	0
32	0
0	1195
309	1195
0	1147
0	419
1	305
0	331
1	221
0	221
8	3933
0	3825
0	3933
0	3942
0	3942
17	3921
0	0
31	2495
0	2495
72	0
0	170
7	170
0	0
7	0
0	1348
77	1059
25	1217
1	1059
30	1348
458	1
19	0
438	2724
51	2730
0	2294
21	2294
0	2173
789	0
0	981
159	983
0	34
6	34
246	0
0	1257
4	697
1	1216
0	720
0	0
0	0
0	710
0	668
1	529
782	49
0	685
1	732
624	482
61	0
4	30861
3036	30865
11	30860
4	30868
0	626
193	626
135	0
501	0
146	0
0	0
138	421
2	421
0	252
0	252
2582	0
684	0
33	1471
0	1471
0	857
60	857
605	0
0	2768
1835	2768
26	2783
0	2783
0	696
1	767
32	748
0	695
6	727
233	0
1	0
2	670
3	670
512	0
43	3518
12	3518
6	3517
39	3424
5	3517
4	3517
0	3518
1	0
1177	0
2745	0
0	1911
0	2020
0	1881
0	1990
0	1911
0	1911
0	79
60	79
69	9328
0	8473
0	8263
62	8423
12	8958
7	8315
0	8315
9	8423
0	8312
0	1947
3	1956
1166	1
1515	20
0	699
78	699
0	1580
0	1236
1	1241
28	1470
0	1583
285	0
1	1182
0	1182
92	1804
170	1804
0	903
158	903
94	351
3	351
1	1670
22	1670
1	177
0	177
5	177
65	2746
101	2746
0	1344
86	1344
16	0
994	0
0	3687
3	3642
3776	3687
1	2967
24	8159
253	15988
24	8119
4	16127
121	2637
0	2637
9	2624
13	3203
0	3203
70	3339
8	2968
0	3226
0	3032
0	3667
137	3667
0	2400
164	2400
390	0
1004	0
0	614
0	614
0	425
75	425
0	1
0	1
21	413
2	413
11	0
0	1349
0	1336
0	1349
806	0
23	0
516	0
0	0
0	1429
0	1429
3	1519
0	2116
0	2116
1	2143
0	1519
0	1531
197	816
16	816
607	310
2	310
14	310
3	310
0	76
9	76
135	1109
2919	1109
53	3671
841	3671
0	2344
878	2077
1	2323
0	2326
44	1269
0	1269
18	2255
4	2255
37	591
0	591
932	0
16	202
0	202
77	7607
0	7605
1	7605
508	0
1	2
0	2
701	0
7	118
0	118
22	116
0	116
0	1499
0	1438
243	1499
968	0
5	2126
21	2123
0	2126
