UniqueCount	AmbigCount
0	640
1	640
1018	640
0	0
3	10
0	416
0	416
10	10
0	0
0	0
0	0
456	0
518	0
524	0
0	130365
2809	125838
860	130365
26	731
429	731
0	718
40	718
0	979
1	979
0	979
45	979
0	979
11	0
25	0
24	0
3	0
3	0
0	0
23	0
0	44
76	44
0	90
4	92
2	78
0	122
11	86
0	76
0	122
330	0
0	1458
0	1458
353	0
103	3269
29	3269
332	1
292	0
1	0
0	296
0	296
3	254
0	254
0	284
0	296
1	51
1126	53
0	49
2	124
0	131
5	120
0	13818
86	35007
0	13766
23	13778
3	35316
45	13825
1737	2
0	490
0	478
5	482
194	0
0	1773
1	1741
0	1763
620	0
19	2160
0	2388
0	2896
171	687
1	687
290	15663
98	15639
75	15663
0	316
1	294
3	316
0	1186
206	1186
0	0
76	0
0	0
1193	0
1378	0
48256	2
7	0
11	0
1049	3774
2	3774
3260	34663
2065	33426
87	33189
73	33216
30	34660
1780	0
825	0
0	2165
0	2145
4	2145
3	2020
18	2160
0	2145
6	1101
14	0
0	0
0	0
0	0
570	0
0	1791
5	1791
11	1799
3	1863
21	1747
0	1856
0	1860
40	0
0	0
0	0
296	0
10022	3
0	0
0	1141
101	1236
36	1236
336	0
946	8
0	0
0	0
1	0
812	0
1789	0
578	0
3	0
0	0
399	312
0	312
1	8
0	950
5	950
50	950
0	6
0	6
4	55
2	55
61	0
0	430
0	430
37	0
8	0
168	0
3	88
0	88
3	28
0	28
8	0
229	2144
3	2144
10	65
4	65
328	0
315	0
0	4519
1	4401
10	4346
1359	4519
94	5726
34	5808
0	5801
0	1016
0	966
0	1016
0	966
0	1016
0	996
0	637
1	966
3	966
40	5360
2	5190
6	5075
810	0
92	0
2562	0
25	0
0	1186
317	1186
0	1177
0	262
3	199
3	202
0	142
0	142
8	3605
0	3522
1	3605
0	3613
0	3613
8	3601
0	0
52	2488
0	2488
41	0
0	101
4	101
6	0
4	0
0	1694
70	1439
261	1657
3	1439
22	1694
375	2
56	0
445	2261
73	2261
0	1849
4	1849
0	1755
625	0
0	1117
300	1122
0	85
4	85
233	0
0	1714
1	575
2	1676
0	600
0	0
0	0
0	547
1	516
0	350
726	38
0	595
0	628
854	398
80	0
0	55367
3708	55380
12	55368
5	55379
0	463
205	463
195	0
340	0
337	0
0	0
124	361
9	361
2	205
0	205
2369	0
566	0
5	1690
0	1690
0	670
31	670
505	0
0	2008
1528	2008
25	2058
0	2058
0	771
3	820
39	796
0	771
3	793
210	0
6	0
1	495
0	495
533	0
30	2379
5	2385
2	2381
16	2299
3	2377
1	2377
0	2381
11	0
1295	0
2555	0
0	1716
0	1806
0	1703
0	1793
0	1716
0	1716
0	113
52	113
62	9312
0	8281
0	8092
36	8248
3	8979
14	8127
0	8129
18	8248
0	8122
0	1753
0	1761
762	1
1361	40
0	487
70	487
0	1582
0	1240
1	1241
25	1443
0	1582
136	0
2	1137
0	1137
111	1869
28	1869
0	611
78	611
81	367
20	367
4	1300
33	1300
0	89
0	89
3	89
47	2482
121	2482
0	2550
162	2550
5	0
820	0
0	2610
0	2539
2705	2610
2	2134
11	7623
437	14026
16	7598
2	14139
158	4117
6	4117
28	4088
5	3351
0	3351
36	2970
11	2670
0	2896
1	2749
0	2888
72	2888
0	1060
33	1060
251	0
686	0
0	546
1	546
0	908
267	908
0	17
0	17
33	538
9	538
15	0
0	1201
0	1178
0	1201
685	0
36	0
344	0
0	0
0	1070
1	1070
0	1410
0	2264
0	2264
1	2290
0	1410
0	1423
112	541
5	541
749	665
6	665
24	665
3	665
0	88
14	88
120	1064
2388	1064
17	3857
863	3857
0	1463
677	1280
4	1453
0	1453
57	878
0	878
5	1314
0	1314
40	730
0	730
809	0
13	147
0	147
63	6939
0	6939
1	6939
254	0
0	4
17	4
756	0
6	37
0	37
18	93
0	93
0	1374
0	1315
198	1374
862	0
5	2167
19	2164
0	2167
1	2164
0	1198
10	1198
1181	0
0	94
0	94
0	94
22	94
0	327
231	327
289	2186
1259	2186
1	2186
448	0
5	1
0	1
0	148
187	148
5038	0
477	0
60	63
0	63
24	1025
51	1025
0	684
7	684
0	226
0	208
0	226
0	226
0	219
314	391
22	391
675	0
0	0
0	0
47	3070
0	2962
0	2962
2	3097
16	2695
0	2664
0	2916
0	3102
9	2962
5416	2968
0	2962
8	2762
1	2747
12	1274
4	3090
44	3206
7451	3005
153	644
27	644
0	107
22	107
1135	0
600	1
0	196
0	196
0	196
0	0
2	0
401	0
145	0
0	0
712	0
19	2016
2	2022
30	2022
1	2014
0	1952
192	815
0	815
8	818
0	818
1349	0
493	0
486	0
0	389
0	378
1	389
0	1152
30	1152
928	0
6	0
45	0
527	474
0	474
20	1195
0	1195
0	4058
0	4044
28	20836
0	3988
36	3942
15	3903
0	4269
0	6927
1	6727
0	6814
58	6865
35	20739
102	18103
7	18103
11	18771
31	18364
0	18770
24	42
1320	0
0	2
0	2
0	137
1	137
0	137
0	4
0	4
3	0
0	1
0	1
0	2
10	2
1	2
0	2
3	2
5	0
986	0
0	0
4115	1
43	42
295	0
58	0
0	954
59	954
3	0
0	0
21	0
3	0
10	0
17	0
38	0
9	0
24	0
0	0
0	151
69	151
0	1498
3	568
168	1861
55	1692
0	586
805	579
0	1495
0	10
0	10
0	492
21	492
16	0
2341	0
0	2
0	2
6	0
22	0
85	644
0	644
0	333
0	329
0	329
0	1327
6	1326
0	0
0	0
0	14
0	14
5	0
0	358
0	355
0	1699
0	1640
8	410
0	1671
5	1717
6	355
0	412
3	1713
46	1480
4	1483
453	1529
0	298
11	298
18	177
0	177
28	177
0	4
0	3
197	4
0	7
0	13
0	13
524	0
0	1476
0	1492
67	1492
160	1492
0	101
0	553
0	558
0	549
3	553
12	0
0	214
122	214
0	98
9	68
0	10695
0	9997
0	18969
0	19182
0	33
2	33
583	0
0	5044
2	5044
0	873
0	873
5	873
0	0
208	0
0	1049
11	1320
0	2721
5	2728
0	1214
0	23
0	23
0	23
0	1027
0	2381
0	2109
0	2109
0	2098
31	857
0	1183
0	3438
0	585
0	763
0	4036
618	0
8	0
0	0
0	0
1154	0
4	0
1	0
465	0
0	274
0	274
0	23
7	23
0	0
0	0
0	0
0	0
0	0
0	4
0	4
9	0
0	0
14	756
89	516
698	516
0	801
1482	792
0	756
5	564
0	570
0	487
0	563
364	0
213	0
0	597
9	597
0	342
0	353
2	342
0	781
3	763
1	766
25	1339
4052	1339
0	2187
20	2187
255	0
99	0
311	0
4	0
0	1276
328	1276
0	1920
0	1920
199	0
0	1570
812	1570
360	2503
0	2262
0	2089
0	8960
0	9357
24	21225
0	21606
261	13411
114	13717
0	13497
63	13413
15	0
22	0
1	0
29	0
1	0
18	1245
0	1122
6	1565
0	1442
101	1635
0	1635
0	2286
72	667
1	2277
0	2280
0	2277
44	1932
4	1384
0	0
0	0
4	0
0	16
0	1
0	16
3	16
0	0
0	0
0	0
0	0
0	0
18	0
0	17743
444	22000
2260	0
0	72
0	72
0	3
0	3
321	0
0	1093
0	1093
0	1091
0	1093
1	0
0	0
0	0
0	0
19	0
0	0
15	127
0	302
29	421
0	302
0	301
3695	421
252	0
305	4551
0	4551
0	656
27	808
0	9110
109	9476
0	698
186	475
0	874
4	706
2	13194
4	650
0	871
0	865
0	865
0	865
433	871
2560	0
0	3312
137	3312
143	725
1	725
510	725
0	7246
127	7246
0	950
24	950
80	0
425	5211
4	5211
0	387
70	387
0	1524
1	1524
0	2071
390	2072
1579	0
20	522
2	522
1	1133
144	1133
0	37218
11385	35757
1013	37223
5	0
274	1002
0	976
27	1002
110	1480
30	1480
17	7
0	7
0	191
8	191
107	1042
20	1042
0	5233
6	5233
50	4998
0	0
7982	1
26	0
0	0
13	1999
5393	1999
0	0
0	0
0	0
0	3644
89	3644
0	3644
0	137
1	137
209	257
612	257
126	3576
36	3568
0	3576
0	1624
0	1624
204	0
1010	0
20	0
21	0
1080	0
63	2931
5	2931
1	2930
0	2930
0	458
23	458
0	1036
0	1043
1	1044
0	1043
0	1035
189	978
566	2615
0	2616
58	2190
0	2166
13	2190
0	2167
537	0
610	0
0	237
2	182
4	228
1788	3
1	706
4	709
96	709
35	683
251	683
0	198
196	198
0	282
40	285
303	3
55	0
2	0
1802	0
0	326
0	331
0	331
17	857
20	857
146	1159
0	1159
0	1498
16	1498
167	341
0	344
0	161
0	1470
47	1471
6	1467
17	1474
96	1011
1	1011
419	3253
0	3238
3	3255
1	3240
4	3229
12	0
103	0
0	2
0	2
163	0
83	1898
0	2411
11	2411
1308	0
0	292
10	292
24	858
1	858
6	339
0	339
692	0
866	0
20	0
2	234
9	219
0	231
0	231
347	0
302	0
226	3642
0	3642
510	0
0	150
26	150
629	0
1513	1
0	1095
1	1077
1	1077
1	1089
0	988
0	1032
2	1034
0	1034
1681	0
746	0
4230	0
450	0
703	61901
39	61901
0	61899
915	61899
0	58430
269	0
20	1175
4	1154
0	1153
0	1175
8	0
0	6109
0	5314
109	6109
520	0
1745	0
0	662
62	662
0	262
9	262
0	4455
0	5143
0	5059
0	4373
61	1940
453	0
529	0
0	0
10	225
0	225
307	0
132	16774
249	16257
21	16774
0	0
607	3578
0	3546
0	1714
0	1890
0	1712
0	1720
7	0
26	0
169	0
0	62796
907	62796
3	0
69	0
0	773
0	773
1343	0
0	930
16	908
3	870
571	0
0	877
0	845
0	877
0	838
3	845
4671	0
200	0
0	980
36	980
79	502
0	502
1294	0
14	26
0	26
5	18
0	21
16	21
293	0
338	0
15	688
0	687
3	688
0	687
0	201
4	140
34	201
10	201
1987	0
0	2463
22	2158
16	1514
2	2129
136	4696
71	4652
1	4710
10	1189
0	1189
73	3781
0	2682
0	2685
3	3778
0	2617
191	0
28	0
4	704
0	704
21	1225
0	1225
1	1223
2	0
19	0
26	0
0	1755
0	1258
0	1734
0	1237
4	1734
138	2969
87	2944
15	2995
11	2944
31	2972
39	0
2262	0
462	394
9	394
21	6264
0	6458
0	4040
835	0
828	2342
0	2831
0	2528
65	2378
4	2346
0	2383
0	1805
11	1800
3	2832
0	2832
0	937
5	937
689	0
0	859
1	859
26	859
0	0
122	0
572	0
597	0
2330	0
0	307
1	1146
0	1146
0	1215
0	590
34	590
0	110
2	110
165	2525
460	3461
209	3663
24	3663
2	673
0	673
82	673
17	497
3	497
3	497
0	27
767	27
1	221
21	221
121	0
0	781
0	754
12	672
0	24
0	24
0	0
5	106
0	106
738	2
124	120
0	120
0	3172
1	3236
4	3120
1	3152
9	3145
3	3216
0	3163
25	3091
60	0
2	3059
0	3063
1	3060
0	3054
0	3080
0	3084
0	3079
0	3071
0	3082
2	3084
0	2677
0	26
0	26
0	3283
9	3243
0	3237
4	3243
4	3237
0	3235
324	1965
25	1963
111	2035
24	2036
7	1913
391	0
0	5
2	5
118	0
3	53
0	53
204	2738
171	2738
436	0
11	282
4	282
5	1137
48	1137
15	0
309	0
499	10
10	395
63	385
0	11195
0	11195
6	2075
1	3356
155	2070
0	3356
132	2070
4	0
0	0
0	0
408	0
1202	0
0	4
0	4
842	290
0	290
357	0
395	0
649	5313
38	5285
0	5310
27	5341
0	5316
0	128
0	128
0	431
516	406
189	222
0	15
0	15
0	15
15	198
0	198
207	3529
105	3529
540	0
1139	0
0	428
18	428
0	329
3	329
1162	0
1318	0
797	0
1106	0
2528	0
0	0
0	0
0	0
402	0
82	0
1013	0
0	54
52	54
8	11562
1	11530
325	12390
109	12039
1	11764
829	0
129	1637
7	1637
56	1607
0	45
2	45
0	1228
0	1188
0	1119
0	1079
0	23
11	23
0	667
39	667
0	222
15	194
0	206
2775	0
0	0
843	0
33	3297
2	3297
761	0
164	711
2	708
0	711
0	0
0	14
0	14
596	0
1065	12
449	0
36	405
0	405
0	203
72	203
2	0
51	821
1	969
4	942
149	524
0	524
0	5
0	5
0	0
0	0
60	731
0	731
13	318
7	318
0	4499
16	4499
71	4499
12	4499
6	0
1	980
0	980
45	1192
0	1192
7	1192
1	1192
69	546
3	2199
3	2264
343	1779
1421	22
30	22
0	1155
19	1119
0	559
0	379
429	0
1	0
35	1268
17	1295
0	1094
0	1341
0	1291
10	167
253	171
0	515
3	515
0	1280
0	1291
0	1289
0	1243
0	3035
0	3035
7	1082
0	1082
0	0
322	0
1317	1650
0	1650
5	1650
0	1650
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	31
0	31
203	0
69	435
0	435
973	0
11	0
0	0
0	0
86	0
872	902
0	868
4	860
0	902
185	333
0	333
518	0
29	716
3	649
9	745
4	710
0	698
0	745
3	876
317	882
0	882
4	4116
8	4129
4	4126
6	4116
0	4119
3	4116
3	4155
36	4158
0	4118
2	3
0	3
2	2001
0	2001
0	3638
80	3638
0	0
10	0
0	393
0	386
0	323
0	316
839	2830
43	2830
1188	0
22	0
0	2588
25	3231
0	3256
782	822
0	813
0	822
103	0
4	1777
13	1756
0	1806
14	1765
0	1765
0	1768
3	0
0	0
0	0
161	0
3	260
7	260
7	1372
9	1372
1	0
0	7
2	7
1	283
6	283
528	3838
127	3838
929	0
0	1425
3	1484
0	1386
7	1559
0	1370
87	1598
167	0
0	11
0	13
3	13
0	13
2948	0
58	0
143	4224
0	4224
8	205
0	205
0	2158
239	2158
550	0
4146	0
0	0
3584	0
4	0
0	664
1	666
3	666
356	0
393	0
565	0
423	0
1	0
0	21
0	21
0	20
140	0
922	1
0	9793
0	9257
0	9790
0	9254
4	0
155	8928
5	8927
11	8908
16	8914
0	8928
759	0
0	247
86	247
0	1640
0	1728
0	1699
0	1658
69	0
251	906
20	906
1745	0
145	0
313	0
496	0
10	1714
4	1701
1	1669
4	1632
4	335
0	343
8	333
1665	0
740	0
6	1544
110	369
32	1544
1082	422
