UniqueCount	AmbigCount
0	1030
4	1030
978	1030
0	0
7	20
0	137
3	137
1	20
0	0
0	0
0	0
471	0
757	0
734	0
0	68990
1006	66917
564	68990
51	1014
271	1014
0	1025
37	1025
0	221
0	221
0	221
8	221
0	221
8	0
100	0
19	0
5	0
0	0
0	0
1	0
0	45
50	45
0	52
1	53
1	43
0	69
8	51
0	51
0	69
390	0
0	1362
4	1362
327	0
208	3389
45	3389
438	0
134	0
0	0
0	178
1	178
3	156
0	156
0	169
0	178
0	163
1343	173
0	157
1	90
1	92
0	73
0	17514
124	32170
2	17285
144	17423
6	32795
106	17555
1624	6
1	428
0	403
3	419
243	0
0	1658
2	1575
7	1640
584	0
21	2042
0	2082
9	2688
265	581
3	581
580	16810
194	16761
112	16810
0	314
0	281
4	314
0	1473
127	1473
0	0
6	0
2	0
1054	0
2596	0
44467	1
2	0
5	0
1026	5006
10	5006
3117	27370
1861	25931
38	25757
61	25770
27	27363
1938	0
624	1
0	2073
0	2048
2	2048
2	1983
25	2066
0	2047
5	1320
3	0
0	0
0	0
0	0
416	0
0	1827
10	1827
15	1873
6	2005
22	1798
0	1992
0	1992
71	0
5	0
0	0
323	0
13876	2
3	0
0	1268
50	1346
70	1346
411	0
1234	11
0	0
0	3
0	3
1809	0
1804	0
706	0
7	0
0	0
60	54
0	54
1	11
0	888
11	888
51	888
0	5
0	5
0	8
2	8
41	0
0	139
0	139
19	0
1	0
43	0
2	24
0	24
7	21
0	21
5	0
356	1761
0	1761
2	55
0	55
507	0
38	0
0	5223
5	5057
18	4949
1116	5223
207	5491
87	5574
1	5552
0	1110
0	1009
0	1102
0	1012
7	1102
0	1050
0	864
0	1009
3	1012
66	6299
12	6047
7	5776
912	0
165	0
1741	0
8	0
0	1211
189	1211
0	1186
0	341
0	223
0	280
0	56
0	56
22	3718
0	3547
0	3718
0	3714
0	3716
33	3701
0	0
51	2592
1	2592
56	0
0	155
10	155
6	0
3	0
0	1349
39	1071
101	1236
0	1072
22	1349
233	8
63	0
396	2262
47	2265
0	1857
13	1857
0	1761
583	0
0	1020
82	1020
0	9
1	9
72	0
0	1423
0	730
2	1364
0	759
0	0
0	0
0	521
0	497
0	392
812	60
0	1046
16	1099
592	773
50	0
3	55755
5464	55759
17	55754
6	55763
0	480
149	480
157	0
486	0
87	0
0	0
105	322
3	322
7	187
1	187
2141	0
806	0
9	1172
0	1172
0	535
56	535
755	0
0	2607
1112	2607
38	1969
1	1969
0	683
1	756
53	738
0	681
12	714
243	0
1	0
7	559
1	559
496	0
36	2747
20	2752
4	2751
15	2652
1	2746
2	2746
0	2747
3	0
1088	0
3170	1
0	1711
0	1860
0	1662
0	1811
6	1711
0	1711
0	144
105	144
75	6618
0	6362
0	6183
63	6264
21	6339
6	6149
0	6149
23	6264
0	6148
0	1754
