UniqueCount	AmbigCount
0	876
2	876
1083	876
0	0
9	7
0	378
0	378
0	7
2	0
8	0
0	0
689	0
734	0
672	0
0	111963
2037	108402
716	111963
32	817
373	817
0	830
47	830
0	921
0	921
0	921
32	921
5	921
20	0
45	0
22	0
1	0
0	0
0	0
15	0
4	53
66	53
0	122
8	128
0	107
0	154
15	119
0	108
0	154
348	1
0	1417
9	1417
216	0
127	3207
37	3207
371	0
566	0
2	0
3	342
0	342
0	304
0	304
0	341
0	342
0	66
1350	71
0	63
1	149
0	158
3	149
0	13536
62	34169
0	13461
26	13496
5	34444
25	13531
1458	2
6	452
0	434
4	438
211	0
0	1646
0	1612
2	1637
610	0
7	2127
0	2269
5	2888
222	772
1	772
331	17777
112	17755
81	17777
0	339
0	321
2	339
0	1314
262	1314
0	0
93	0
0	0
1134	0
1844	0
41762	3
2	0
2	0
978	3126
4	3126
2993	30835
1684	29625
64	29471
54	29481
33	30834
1828	0
705	0
0	2014
0	1991
3	1992
5	1934
20	2011
1	1992
6	1034
10	0
0	0
0	0
0	0
521	0
0	1746
11	1746
9	1719
7	1800
34	1692
0	1792
0	1792
86	0
0	0
0	0
348	0
7171	0
0	0
0	1117
63	1316
60	1316
392	0
1079	13
0	0
0	6
0	6
718	0
1599	0
636	0
1	0
0	0
219	120
0	120
1	13
0	1166
9	1166
69	1166
0	0
1	0
1	38
3	38
61	0
0	312
0	312
40	0
9	0
106	0
0	98
0	98
142	347
0	347
33	0
230	2160
0	2160
5	38
1	38
426	0
252	0
0	4375
9	4268
20	4181
1280	4375
111	5132
56	5254
0	5252
0	1135
0	1083
0	1135
0	1086
3	1135
0	1111
1	763
0	1083
1	1083
34	5641
0	5489
13	5354
762	0
146	0
2345	0
14	0
0	1022
236	1022
0	1003
0	320
0	261
0	247
0	158
0	158
9	3358
0	3292
1	3358
4	3383
0	3383
9	3356
1	0
81	3268
2	3268
64	0
0	101
49	101
2	0
6	0
0	1484
53	1204
121	1374
0	1201
24	1484
339	1
15	0
421	2331
49	2333
0	1977
8	1977
0	1874
603	0
0	1281
202	1281
0	52
4	52
125	0
0	1871
0	631
0	1849
0	637
0	0
0	0
0	570
0	541
0	399
771	60
0	815
5	869
870	549
122	0
1	47095
3397	47107
18	47096
2	47108
0	484
146	484
192	0
338	0
318	0
0	0
129	420
3	420
5	176
0	176
2204	0
602	1
10	1495
0	1495
0	598
54	598
514	0
0	1873
1549	1873
31	1847
0	1847
0	789
1	855
34	841
0	788
2	815
202	0
1	0
4	527
0	527
492	0
27	2184
10	2186
1	2185
14	2141
6	2182
1	2183
0	2184
1	0
1181	0
2231	0
0	1662
0	1735
0	1644
0	1717
0	1663
2	1662
0	118
71	118
83	9706
0	8601
0	8326
68	8564
5	9353
5	8410
0	8412
16	8564
0	8405
0	1802
2	1806
998	0
1210	9
0	592
58	592
0	1623
0	1275
0	1285
28	1511
0	1629
199	0
2	1197
0	1197
112	1917
34	1917
0	654
111	654
68	329
16	329
1	1075
16	1075
0	81
0	81
1	81
47	2515
107	2515
0	1981
129	1981
8	0
809	0
0	2431
0	2379
2422	2431
5	2049
9	7646
377	14290
17	7600
0	14404
108	3210
6	3210
15	3180
9	2114
0	2114
82	4406
12	3869
0	4199
0	3928
0	2851
82	2851
0	1209
26	1209
205	0
650	0
0	599
1	599
0	1399
294	1399
0	14
0	14
34	505
5	505
15	0
0	1200
0	1181
0	1200
913	2
6	0
427	0
1	0
0	1144
3	1144
1	1717
2	2770
0	2770
1	2788
0	1720
0	1730
148	575
6	575
681	546
5	547
10	547
6	547
0	102
9	102
109	988
2433	988
33	3676
1000	3676
0	1644
655	1433
0	1625
0	1625
27	959
0	959
11	1469
5	1469
65	750
0	750
837	0
17	169
0	169
73	6993
0	6993
2	6993
375	0
1	4
8	4
735	0
3	81
0	81
48	213
0	213
0	1278
0	1212
177	1278
920	0
1	2024
21	2024
0	2024
3	2024
0	1075
5	1075
1119	0
0	125
0	125
0	123
25	125
0	446
306	446
561	2656
1760	2656
4	2656
449	0
0	0
0	0
0	149
170	149
4029	0
584	0
18	59
0	59
26	1068
98	1068
0	1259
23	1259
0	254
1	237
0	254
0	254
0	243
349	407
99	407
571	0
0	0
1	0
38	2970
0	2767
0	2767
15	2597
13	2544
0	2499
6	2725
0	2595
26	2769
4498	2773
0	2767
6	2251
2	2585
15	1135
10	2722
173	2794
8018	2489
304	1279
50	1279
0	116
16	116
1178	0
500	0
0	202
0	202
0	202
6	0
0	0
425	0
173	0
2	0
542	0
24	1848
5	1881
41	1881
1	1846
0	1772
210	777
1	777
6	776
0	776
1092	0
512	0
418	0
0	387
5	372
0	387
0	1217
36	1217
652	0
8	0
54	0
472	548
0	548
27	1139
0	1139
0	4450
0	4422
17	22644
0	4353
71	4312
27	4249
0	4718
0	7107
1	6956
0	7044
66	7037
32	22596
206	20133
8	20133
8	20934
36	20485
0	20932
31	100
1553	0
0	4
0	4
0	62
2	62
0	62
0	0
0	0
10	0
0	0
0	0
0	2
12	4
1	2
0	2
3	2
7	0
802	0
0	0
4029	0
111	100
227	0
50	0
0	812
64	812
0	3
0	3
28	0
0	0
2	0
19	0
14	0
3	0
6	0
1	0
0	184
72	184
0	1427
4	533
109	1776
54	1646
1	536
901	537
0	1426
0	4
0	4
0	527
