UniqueCount	AmbigCount
0	1026
0	1026
1138	1026
0	0
5	8
0	345
1	345
3	8
5	0
6	0
0	0
508	0
755	0
721	0
0	106173
1917	102874
700	106173
37	1002
354	1002
0	914
47	914
0	711
0	711
0	711
23	711
0	711
9	0
33	0
25	0
3	0
5	0
0	0
11	0
0	44
51	44
0	43
3	44
2	36
0	51
13	45
0	40
0	52
350	0
0	1212
12	1212
280	2
126	3000
36	3000
374	0
417	0
2	0
0	193
0	193
0	167
0	166
0	192
0	193
0	92
1326	96
1	80
0	89
0	97
1	90
0	15866
107	32721
0	15745
58	15817
7	33183
49	15877
1395	0
7	443
0	419
4	430
209	0
0	1769
0	1716
0	1751
527	0
19	2003
0	1988
12	2601
277	659
2	659
464	15949
131	15924
94	15949
0	310
2	288
5	310
0	1293
178	1293
0	0
66	1
0	0
1072	0
1255	2
41872	5
6	0
5	0
1034	4078
5	4078
2639	26603
1701	25470
60	25323
50	25338
55	26603
1598	0
438	0
0	1993
0	1968
1	1968
6	1889
26	1981
1	1968
11	1109
12	0
0	0
0	0
0	0
440	0
0	1934
21	1934
20	1677
3	1765
24	1650
0	1761
0	1761
71	0
0	0
0	0
411	0
10981	0
1	0
0	1179
45	1309
51	1309
356	0
1125	13
2	0
0	2
0	2
1308	0
1565	0
613	0
0	0
0	0
131	51
0	51
0	13
0	852
6	852
51	852
0	0
0	0
0	31
2	31
33	0
0	338
0	338
32	0
9	0
63	0
0	35
0	35
49	123
0	123
37	0
242	1853
1	1853
6	53
1	53
442	0
157	0
0	4690
9	4550
13	4435
1235	4690
130	5102
71	5183
0	5182
0	962
0	881
0	953
0	881
0	953
0	936
11	652
0	881
7	882
49	6179
3	6037
8	5691
929	0
128	0
1669	0
17	0
0	1135
218	1135
0	1101
0	320
0	215
3	270
1	117
0	117
12	4311
0	4183
0	4311
0	4313
0	4313
34	4300
0	0
85	2962
2	2962
37	0
0	180
25	180
6	0
3	0
0	1327
61	980
63	1186
2	980
18	1327
190	1
2	0
397	2447
71	2449
0	1872
21	1872
0	1760
509	0
0	1313
198	1313
0	57
3	57
97	0
0	1828
0	639
0	1773
0	655
0	0
0	0
0	566
0	522
0	420
644	63
0	697
1	751
769	505
66	0
2	46438
4228	46440
4	46438
4	46444
0	413
125	413
197	0
391	0
355	0
0	0
87	331
2	331
2	170
0	170
2191	0
706	0
4	1173
0	1173
0	539
31	539
642	0
0	2257
1293	2258
31	1718
0	1718
0	746
4	830
43	820
0	745
9	778
245	0
3	0
4	594
1	594
549	0
36	2871
18	2874
0	2874
44	2780
7	2871
5	2870
0	2870
4	0
1219	0
2928	0
0	1674
0	1826
0	1647
0	1799
2	1674
2	1674
0	97
77	97
72	6754
0	6051
0	5865
37	5981
18	6520
3	5878
0	5880
12	5981
0	5872
0	1743
0	1752
920	0
1386	12
0	620
51	620
0	2030
0	1715
0	1730
30	1928
0	2033
71	0
0	1230
0	1230
67	1484
36	1484
0	528
70	528
64	352
11	352
2	1270
33	1270
0	77
0	78
6	78
51	2514
117	2514
0	1577
123	1577
14	0
793	0
0	2682
1	2607
2276	2682
6	2076
16	8235
353	14077
47	8166
0	14289
160	3170
4	3170
8	3161
10	2709
0	2709
63	2943
15	2623
0	2824
0	2631
0	2105
90	2105
0	1344
38	1344
142	0
601	0
0	442
0	442
0	762
250	762
0	15
0	15
43	629
16	629
15	0
0	1282
0	1268
0	1283
880	0
29	0
394	0
0	0
0	1175
3	1175
0	1682
0	2547
0	2547
0	2581
0	1682
0	1692
114	398
2	398
1125	697
8	697
18	697
5	697
0	97
7	97
87	851
2009	851
49	4153
930	4153
0	1697
620	1449
1	1683
7	1684
57	871
0	871
13	1884
14	1884
36	430
0	430
863	0
26	227
0	227
101	8638
0	8638
12	8638
187	0
1	4
8	4
645	0
7	62
0	62
54	218
0	218
0	1660
0	1558
203	1660
762	0
4	2123
22	2117
0	2123
7	2117
0	1200
14	1200
1066	0
0	103
0	103
0	100
20	103
0	393
250	393
386	2743
1440	2743
3	2743
490	0
0	0
0	0
0	179
215	179
3427	0
466	0
32	45
0	45
20	1052
95	1052
0	759
8	759
0	240
0	210
0	240
0	240
0	236
261	292
52	292
536	0
0	0
0	0
87	3550
0	3375
0	3375
15	3338
22	3119
2	3073
0	3311
0	3332
23	3375
4035	3378
1	3375
6	2741
0	3204
27	1628
9	3422
94	3510
7162	3161
611	3369
58	3369
0	123
13	123
1079	0
1068	0
0	218
0	218
0	218
1	0
0	0
473	0
152	0
1	0
420	0
23	1715
10	1738
44	1738
0	1715
0	1631
187	525
0	525
13	871
0	871
1157	0
576	0
467	0
0	371
2	353
0	371
0	1118
22	1118
673	0
6	0
56	0
493	517
0	517
19	936
0	936
0	3722
0	3690
20	18788
0	3631
21	3557
33	3484
0	4066
0	6023
2	5855
0	5946
44	5933
27	18755
94	16628
9	16628
7	17342
29	17038
2	17342
23	57
1087	0
2	2
0	2
0	63
1	63
0	62
0	0
0	0
4	0
0	0
0	0
0	0
4	1
1	1
0	1
0	1
0	0
593	0
0	0
2146	0
62	57
296	0
33	0
0	813
50	813
1	0
0	0
24	0
0	0
1	0
9	0
18	0
3	0
8	0
0	0
0	278
97	278
0	1346
2	575
102	1682
37	1562
0	583
735	583
0	1342
0	10
0	10
0	506
14	506
4	0
1413	0
0	3
0	3
2	0
17	0
68	611
4	611
0	372
0	366
0	366
3	1417
19	1418
0	1
0	1
0	31
0	31
11	0
0	562
0	540
3	1719
5	1588
9	632
0	1641
1	1758
19	562
0	633
0	1694
74	1859
4	1888
338	1967
0	428
13	428
10	222
0	222
20	222
0	11
2	11
314	11
0	9
0	18
0	19
432	0
0	1757
0	1787
86	1777
143	1787
0	85
0	437
0	441
0	432
7	437
15	0
0	256
90	256
3	121
9	104
0	9578
0	8858
0	16371
0	16681
0	369
10	369
636	0
2	5207
1	5207
0	944
2	944
17	944
0	0
158	0
0	1090
32	1455
0	2688
17	2697
0	1284
0	20
1	20
1	20
0	1069
0	2507
0	2350
0	2350
1	2349
6	903
0	985
0	3551
0	746
0	912
0	3790
604	0
5	0
0	0
0	0
1238	0
2	0
2	0
459	0
0	250
0	250
0	26
3	26
0	5
0	5
0	0
0	0
0	0
0	0
0	0
6	0
3	0
6	923
80	644
699	645
0	957
1339	932
0	921
10	690
0	534
1	476
0	527
392	0
259	0
0	593
11	593
0	446
0	447
0	449
0	794
0	795
1	789
70	1370
3942	1370
0	2031
45	2031
201	0
111	0
254	0
3	0
0	1278
296	1278
0	1876
2	1876
236	0
0	915
673	915
395	2602
0	2416
4	2153
0	8768
0	9314
26	20315
0	20821
142	10185
78	10425
0	10174
67	10184
8	0
14	0
0	0
34	0
1	0
32	1323
0	1177
12	1631
0	1485
82	1487
0	1487
0	2636
90	1016
6	2618
0	2628
1	2620
61	2194
2	1821
0	0
0	0
2	0
0	35
0	12
1	35
1	35
0	5
0	5
0	0
0	0
0	0
21	0
0	15276
229	18455
1554	2
0	60
0	60
0	1
0	1
305	0
0	1266
0	1266
0	1264
0	1266
3	0
0	0
0	0
2	0
11	0
0	0
10	223
0	427
15	486
0	428
0	417
3512	485
305	0
320	4172
4	4172
0	802
20	968
2	7741
96	7323
0	900
224	536
0	1084
12	920
0	11077
9	841
0	985
0	975
0	972
1	972
373	986
2984	0
0	4376
111	4376
70	755
4	755
439	756
0	6431
124	6431
0	1323
40	1323
75	0
449	4161
1	4161
0	497
95	497
0	2168
0	2168
0	2255
418	2256
1350	0
18	453
6	453
7	1335
104	1335
0	30487
10246	29223
1045	30497
1	0
189	862
0	843
24	862
118	1304
16	1304
22	7
0	7
0	251
1	251
88	943
34	943
0	4543
10	4543
38	4237
1	0
8920	0
32	0
0	0
27	2577
5326	2577
3	0
0	0
0	0
1	2537
96	2537
0	2537
0	193
10	193
123	269
525	269
138	2547
51	2530
0	2547
5	1556
0	1556
216	0
1034	0
8	0
14	0
622	0
60	2712
7	2712
4	2705
0	2708
0	364
23	364
0	1079
0	1085
5	1096
6	1086
0	1069
266	1213
587	2684
0	2684
89	2289
0	2237
8	2289
2	2238
659	0
663	0
0	158
0	117
1	141
1377	0
0	509
12	509
59	508
26	798
199	798
0	314
186	314
0	398
40	400
252	2
67	0
1	0
2473	0
14	268
1	272
0	272
43	1083
27	1083
149	1022
0	1022
0	1954
8	1954
131	286
0	288
2	161
1	2436
63	2433
2	2433
31	2436
127	797
2	797
445	2737
0	2725
3	2735
3	2736
6	2725
1	0
22	0
0	2
0	2
198	0
87	1903
0	2516
8	2516
847	0
0	216
12	216
43	636
1	636
25	325
0	325
751	0
974	0
18	0
0	343
14	331
0	333
0	338
435	0
268	0
145	3314
0	3314
500	0
0	179
24	179
619	0
590	0
0	1414
1	1399
2	1397
2	1405
0	1280
0	1359
7	1365
3	1365
1558	0
864	0
4633	0
397	0
872	56569
25	56568
0	56565
658	56565
0	52746
257	0
18	1092
2	1056
0	1056
0	1092
11	0
0	4526
0	3835
47	4526
502	0
1669	0
0	1050
44	1050
0	316
1	316
0	4108
0	5038
0	4898
0	3972
45	2218
430	0
587	0
0	0
18	285
0	284
337	0
148	16172
331	15367
36	16172
0	0
535	4982
1	4929
0	2426
0	2772
0	2451
2	2458
0	0
26	0
239	0
0	51781
793	51781
5	0
45	0
4	722
0	722
1382	0
0	1101
27	1062
11	1003
699	0
1	1519
0	1510
0	1519
0	1491
5	1510
3907	1
278	0
0	1115
28	1115
74	560
0	560
1575	0
24	22
0	22
10	50
0	51
7	51
240	0
332	0
18	541
0	541
0	541
1	541
0	124
3	68
20	124
7	124
1826	0
3	2076
31	1867
33	1219
8	1838
220	5059
79	4981
0	5079
5	1200
0	1200
123	4193
0	3080
0	3082
2	4191
0	2948
174	0
8	0
8	612
0	612
55	1312
2	1312
0	1308
1	0
54	0
40	0
0	1936
0	1505
0	1895
0	1464
16	1895
174	2613
109	2564
13	2660
24	2564
29	2611
32	0
3085	8
488	351
4	351
20	6136
0	6340
0	4170
591	0
574	1821
0	2337
0	2021
100	1856
4	1827
0	1862
0	1422
4	1418
1	2342
0	2342
0	829
5	829
761	1
0	797
1	797
26	797
0	0
139	0
674	0
381	0
2243	0
0	391
1	1095
0	1095
0	1218
0	683
58	683
0	114
10	114
181	2525
395	3557
243	3775
29	3775
2	499
0	499
72	499
23	421
0	421
2	419
0	87
832	87
0	262
8	262
167	1
0	768
0	753
13	662
0	28
1	36
0	8
1	78
0	78
860	0
99	221
0	221
0	2412
0	2559
0	2373
0	2394
10	2390
1	2540
0	2412
35	2325
40	0
0	2357
0	2362
0	2359
0	2354
2	2371
0	2376
0	2373
0	2365
0	2376
0	2379
0	2138
0	48
0	48
0	3799
13	3761
1	3762
5	3761
19	3762
0	3747
342	2480
43	2488
165	2796
33	2796
6	2523
475	0
0	4
0	4
117	0
0	53
0	53
272	2793
145	2793
284	0
25	332
3	332
13	1268
72	1268
9	0
292	0
496	2
6	481
52	479
0	8813
0	8813
5	1828
2	3093
159	1890
0	3093
231	1890
0	0
4	0
1	0
347	0
1053	0
1	2
0	2
564	197
0	197
354	0
352	0
891	5836
59	5814
3	5852
12	5883
1	5860
2	185
3	185
0	387
464	335
140	213
0	14
0	14
0	14
15	219
1	219
213	3122
97	3122
443	0
1009	0
0	368
16	368
2	297
5	297
998	0
1513	0
668	0
848	0
2751	0
0	5
0	5
0	5
362	0
58	0
913	0
0	68
30	68
2	11604
0	11508
401	12479
110	11950
1	12080
768	0
133	1324
2	1332
51	1315
0	38
2	38
0	1494
0	1433
0	1390
0	1329
0	18
9	18
0	696
28	696
0	324
14	300
0	279
1421	0
1	0
767	0
39	3806
17	3806
801	0
151	740
2	725
0	740
0	0
5	11
0	11
622	0
1372	1
446	0
42	396
0	396
0	214
41	214
9	0
67	834
0	968
4	931
87	368
0	368
0	1
0	1
0	2
0	2
96	691
0	691
43	571
10	571
1	4278
26	4278
118	4278
31	4278
0	0
10	821
0	821
54	1416
1	1416
18	1414
0	1416
75	534
15	2181
8	2277
