UniqueCount	AmbigCount
1	764
0	764
1271	764
0	0
2	14
0	409
0	409
6	14
0	0
4	0
0	0
551	0
561	0
618	0
0	93919
1780	90652
607	93919
39	830
403	830
0	666
42	666
0	888
0	888
15	888
18	888
25	888
6	0
36	0
26	0
9	0
3	0
0	0
6	0
1	23
24	23
0	108
8	109
0	94
0	172
8	128
0	106
1	173
391	0
0	1269
20	1269
81	0
94	3092
32	3092
415	0
700	0
1	0
0	209
0	210
7	197
0	197
0	207
0	210
2	68
1377	72
0	68
1	102
0	105
0	82
0	17643
104	40976
0	17566
47	17579
15	41360
40	17613
1164	3
3	474
0	445
4	463
213	0
0	1551
0	1526
3	1543
631	1
12	2153
0	2066
7	2783
248	627
5	627
346	17645
109	17621
88	17645
0	234
1	218
6	234
0	829
334	829
0	0
102	0
1	0
1177	0
460	0
30068	3
2	0
4	0
924	3424
3	3424
2583	25924
1685	24788
71	24630
54	24651
26	25921
1338	0
627	3
0	1899
0	1897
8	1897
3	1819
12	1895
0	1897
6	956
28	0
7	0
0	0
0	0
506	0
0	2412
14	2412
10	1522
14	1579
24	1490
0	1572
0	1572
84	0
2	0
0	0
308	0
4525	0
4	0
0	1111
101	1209
50	1209
378	0
1378	7
0	0
0	1
0	1
1723	0
2174	0
808	0
57	0
0	0
120	64
0	64
3	7
0	975
1	975
39	975
0	0
0	0
0	37
4	37
14	0
0	385
0	385
24	0
4	0
67	0
1	48
0	48
31	83
0	83
16	0
204	1918
0	1918
7	29
0	29
359	0
311	0
0	5918
4	5750
27	5630
1748	5918
61	4626
22	4753
0	4742
0	1005
0	950
0	1003
0	949
1	1003
1	969
0	639
0	950
1	949
40	6572
0	6396
6	6128
1016	0
206	0
1844	0
39	0
0	979
273	979
0	965
0	228
0	171
0	166
1	187
0	187
6	3756
0	3695
1	3756
2	3756
0	3756
5	3752
0	0
86	2678
2	2678
67	0
0	177
39	177
0	0
2	0
0	1654
86	1341
139	1550
0	1341
22	1654
273	5
14	0
370	1853
42	1853
0	1958
7	1958
0	1841
624	0
0	1025
188	1025
0	60
4	60
135	0
0	2089
2	451
8	2050
0	462
0	0
0	0
0	667
3	628
1	442
548	47
0	728
1	773
863	496
75	0
6	30711
2284	30712
5	30710
2	30711
0	711
271	711
251	0
422	0
454	0
0	0
123	461
4	461
2	309
0	309
2283	0
536	0
22	1286
0	1286
0	755
75	755
629	0
0	2049
1758	2050
22	2067
0	2067
0	598
2	644
30	625
0	595
3	618
197	0
3	0
2	668
1	668
461	0
21	2171
13	2172
4	2172
9	2121
1	2171
1	2171
1	2171
1	0
1118	0
2874	0
0	1459
0	1516
0	1444
0	1501
0	1457
0	1457
0	92
79	92
46	6930
0	6345
0	6212
34	6311
12	6691
6	6221
0	6221
2	6311
0	6221
0	1715
2	1724
925	1
2139	28
0	655
60	655
0	1579
0	1214
0	1222
31	1466
0	1579
314	0
1	1212
0	1212
103	1676
100	1676
0	734
154	734
77	328
16	328
4	1197
13	1197
1	189
0	190
2	190
43	2442
78	2442
0	2083
127	2083
6	0
748	0
