UniqueCount	AmbigCount
0	324
0	324
1106	324
0	0
0	6
0	464
0	464
1	6
0	0
0	0
0	0
370	0
490	0
530	0
0	112451
1820	109411
725	112451
15	545
390	545
0	554
62	554
0	909
0	909
0	909
53	909
0	909
16	0
50	0
19	0
6	0
1	0
1	0
8	0
0	34
35	34
0	107
10	108
4	89
0	148
15	118
0	103
2	152
383	0
0	1098
2	1098
81	0
54	2915
17	2915
356	0
1035	0
1	0
0	173
0	173
5	158
0	156
0	168
0	173
0	6
870	8
0	7
0	116
0	122
2	112
0	12997
52	41119
0	12963
9	12980
0	41316
19	12997
1152	0
1	478
0	473
4	467
187	0
0	1164
0	1145
2	1164
554	0
48	2349
0	2243
4	3044
207	732
1	732
211	16510
64	16499
57	16510
0	277
0	266
1	277
0	810
278	810
0	0
75	0
1	0
1194	0
509	0
35115	3
2	0
4	0
1198	2866
3	2866
2526	33380
2124	32212
78	32013
85	32033
23	33373
1857	0
835	0
0	1590
0	1587
2	1587
3	1554
5	1588
0	1587
5	575
97	0
1	0
0	2
0	2
556	0
0	1930
5	1930
4	1535
8	1579
27	1510
0	1571
0	1571
58	0
1	0
0	0
334	0
10863	1
6	0
0	992
115	1068
37	1068
302	0
1028	4
1	0
0	4
1	4
2786	0
2088	0
657	0
35	0
0	0
122	95
0	95
0	4
0	789
7	789
30	789
0	0
0	0
8	48
2	48
17	0
0	352
0	352
31	0
7	0
94	0
0	20
0	20
4	22
0	22
4	0
90	1631
0	1631
5	48
2	48
214	0
297	0
0	4258
2	4211
20	4092
1917	4258
46	4422
16	4545
0	4535
0	682
0	669
0	679
0	670
0	680
0	668
0	350
0	669
1	669
50	5735
0	5673
0	5519
779	0
146	0
2310	0
20	0
0	909
361	909
0	900
0	293
2	266
0	207
0	182
0	182
1	2847
0	2849
0	2840
0	2864
0	2864
9	2846
0	0
56	2274
2	2274
50	0
0	122
14	122
3	0
3	0
0	1523
88	1314
177	1482
2	1315
12	1523
309	0
22	0
357	2144
50	2147
0	1846
2	1846
0	1719
514	0
0	1014
198	1015
0	40
1	40
116	0
0	1610
0	235
0	1606
0	236
0	1
0	1
0	642
0	634
0	418
723	79
0	484
0	560
934	355
109	0
0	38835
2302	38842
9	38839
3	38838
0	844
215	844
304	0
382	0
369	0
4	0
104	480
2	480
0	298
0	298
2169	0
419	0
23	1390
0	1390
0	845
30	845
499	0
0	1193
1798	1193
9	1822
0	1822
0	717
0	738
19	733
0	712
2	724
248	0
7	0
1	628
0	628
620	0
9	2224
9	2224
1	2224
12	2173
0	2224
2	2224
0	2224
1	0
1082	0
2542	3
0	1511
0	1534
0	1504
0	1527
1	1509
1	1509
0	208
144	208
89	5064
0	4273
0	4237
2	4262
12	4973
0	4236
0	4237
4	4262
0	4236
0	1376
1	1376
1064	0
1618	7
0	671
87	671
0	1873
0	1091
0	1092
47	1757
0	1873
361	0
3	995
0	995
96	2032
107	2032
0	890
177	890
79	320
21	320
0	1444
19	1444
0	165
0	165
2	165
29	2653
71	2653
0	2349
219	2349
27	0
860	0
0	1626
0	1621
2597	1626
0	1502
1	6092
294	15453
6	6082
0	15496
70	3901
5	3901
13	3895
5	2853
0	2853
21	2232
1	2090
0	2189
0	2107
0	3013
139	3013
0	2337
99	2337
190	0
774	0
0	655
0	655
0	714
166	714
0	3
0	3
14	757
1	757
12	0
0	1115
0	1105
0	1117
750	0
21	0
351	0
0	0
0	1093
0	1093
0	917
0	1890
0	1890
0	1912
0	917
0	939
150	917
18	917
620	673
8	673
14	673
1	673
0	73
11	73
119	1386
3737	1386
8	2882
1119	2883
0	983
793	822
0	978
0	978
19	786
0	786
0	1566
5	1566
18	345
0	345
781	0
12	137
0	137
23	9122
0	9122
0	9122
303	0
0	7
11	7
577	0
6	154
0	154
33	268
0	268
0	992
0	973
250	992
1130	0
1	1969
5	1969
0	1969
17	1969
0	1114
1	1114
1117	0
0	86
0	86
0	85
8	86
0	343
264	344
279	1835
1858	1835
4	1835
375	0
39	19
0	19
0	116
196	116
3796	0
436	0
41	67
0	67
32	1143
88	1143
0	727
0	727
0	258
0	250
0	258
0	258
0	244
367	504
10	504
764	1
2	0
0	0
20	2537
0	2263
0	2265
5	1386
7	2016
0	2008
1	2243
0	1386
0	2263
6972	2266
0	2263
1	1275
0	2036
18	567
9	1766
279	1663
8922	1351
1012	3331
149	3331
0	134
19	134
1201	0
1551	0
0	178
0	178
0	178
8	0
28	0
488	0
161	0
0	0
603	0
11	1599
1	1614
12	1613
1	1598
0	1564
88	588
0	588
0	666
0	666
956	0
502	0
585	0
0	336
1	328
0	336
0	1031
12	1031
700	0
20	0
39	0
611	338
0	338
27	888
0	888
0	4287
0	4290
5	25089
0	4228
4	4204
14	4181
0	4377
0	7803
2	7579
0	7648
23	7756
38	24926
109	21663
8	21663
4	22239
14	21830
0	22238
36	130
1053	0
0	0
0	0
0	90
0	90
0	90
0	0
0	0
0	0
0	1
0	1
0	2
6	2
0	2
0	2
0	2
1	0
1336	0
0	0
4466	0
166	130
869	0
41	0
0	786
59	786
0	2
0	2
11	0
0	0
6	0
5	0
49	0
6	0
5	0
1	0
0	305
93	305
0	1774
16	436
122	2246
84	2097
0	441
1205	439
0	1772
0	12
0	12
0	582
30	582
5	0
1691	4
0	6
0	6
1	0
13	0
62	590
0	590
0	347
0	347
0	347
0	1699
4	1699
0	4
0	4
0	48
0	48
13	0
0	252
0	252
0	1562
1	1524
10	287
0	1548
6	1590
6	252
0	291
0	1571
25	1280
5	1289
586	1318
0	227
16	227
7	138
0	138
35	139
0	12
4	11
190	12
0	1
0	9
0	9
617	0
1	1676
0	1683
33	1683
185	1683
2	35
0	328
0	332
0	326
0	328
21	0
0	157
98	157
8	85
2	75
0	12065
0	11598
0	21747
0	21815
0	109
0	109
489	0
1	4753
0	4753
0	911
0	911
19	911
0	0
194	0
0	987
29	1247
