UniqueCount	AmbigCount
0	324
1	324
1002	324
0	0
7	2
0	314
0	314
0	2
1	0
0	0
0	0
335	0
354	0
309	0
0	119753
2055	116087
737	119753
19	394
289	394
0	476
40	476
0	619
0	619
0	619
18	619
0	619
25	0
19	0
7	0
0	0
1	0
0	0
13	0
0	49
56	49
0	60
5	62
0	53
0	89
10	51
0	47
0	89
270	0
0	742
1	742
367	0
89	2294
19	2294
246	0
904	0
0	0
0	158
0	158
3	153
0	153
0	158
0	158
1	15
615	15
1	14
0	60
0	64
3	59
0	7336
20	25405
0	7322
6	7335
0	25500
7	7335
1745	0
0	267
0	249
1	260
137	1
0	1061
0	1042
0	1061
386	0
20	1974
0	2071
2	2640
190	597
0	597
161	10985
29	10972
24	10985
0	260
0	254
0	260
0	1383
172	1383
0	0
32	0
1	0
766	0
1399	0
40362	4
2	0
3	0
920	2029
0	2029
2820	34346
1763	33195
77	32990
34	33003
38	34344
1852	0
654	0
0	1333
0	1329
2	1329
0	1294
5	1330
0	1329
3	555
34	0
0	0
0	0
0	0
420	0
0	1090
0	1090
9	1614
1	1697
14	1600
0	1694
0	1695
44	1
2	0
0	0
273	0
11173	2
0	0
0	618
62	664
9	664
231	0
558	2
0	0
0	1
4	1
1136	0
1308	1
573	0
9	0
0	0
254	138
0	138
3	2
0	430
7	430
30	430
0	0
0	0
1	36
6	36
11	0
0	265
0	265
32	0
1	0
60	0
4	135
0	135
11	14
0	14
5	0
97	1649
0	1649
3	58
1	58
265	0
170	0
0	2166
2	2133
2	2091
940	2166
72	3658
34	3754
0	3750
0	676
0	653
0	675
0	653
3	675
0	664
2	342
0	653
0	654
28	3526
0	3477
9	3373
565	0
83	0
2176	4
4	0
0	816
215	816
0	806
0	234
0	210
0	186
4	125
0	125
0	1950
0	1942
0	1950
0	1965
0	1965
4	1950
0	0
64	2378
0	2378
15	0
0	78
11	78
2	0
0	0
0	1488
42	1276
139	1439
0	1275
26	1488
275	1
24	0
313	1939
58	1939
0	1217
2	1217
0	1107
365	1
0	979
177	979
0	36
6	37
101	0
0	1482
1	302
0	1476
0	307
0	0
0	0
0	344
0	330
0	212
872	112
0	503
1	615
909	241
95	0
3	56937
3366	56942
9	56938
3	56942
0	490
136	490
178	0
373	0
382	0
0	0
100	306
