UniqueCount	AmbigCount
0	843
9	843
1065	843
0	0
10	15
0	336
0	336
4	15
0	0
0	0
0	0
502	0
748	0
638	0
0	135375
2434	130865
811	135375
47	925
328	925
0	832
56	832
0	660
0	660
1	660
32	660
0	660
9	0
28	0
14	0
2	0
0	0
0	0
12	0
3	53
38	53
0	52
12	52
0	48
0	83
5	80
0	65
0	88
345	0
0	1162
5	1162
434	0
209	3889
26	3889
418	0
1183	0
3	0
3	269
1	269
9	224
0	224
0	258
1	269
1	96
1178	102
0	90
0	141
0	153
7	139
0	13800
61	30786
1	13679
56	13734
9	31131
80	13816
1726	2
7	462
0	448
1	455
249	0
0	1968
0	1917
4	1953
483	0
20	2461
0	2437
7	3226
294	681
2	681
384	14462
123	14437
65	14462
0	377
0	335
3	377
0	1664
178	1664
0	0
39	0
0	0
1145	0
2232	0
50974	7
2	0
0	0
998	3783
0	3782
3465	35496
2089	34105
95	33877
47	33893
50	35493
1871	0
577	0
0	1994
0	1984
2	1984
4	1891
21	1987
0	1983
7	1126
10	0
3	0
0	0
0	0
484	0
0	1705
12	1705
13	1836
0	1910
13	1794
0	1895
1	1899
105	0
1	0
0	0
309	0
13217	0
0	0
0	1249
99	1324
75	1324
378	0
1124	7
0	0
0	9
10	9
1848	0
1290	0
664	0
4	0
0	0
223	164
0	164
1	7
0	455
2	455
33	455
0	0
0	0
2	30
6	30
30	0
0	253
0	253
31	0
1	0
63	0
2	50
0	50
7	22
0	22
8	0
270	2110
3	2110
6	77
9	77
577	0
172	0
0	4505
5	4388
8	4323
1058	4505
165	5196
70	5291
0	5273
0	923
2	853
0	918
0	853
2	920
0	895
1	665
0	853
6	853
53	5737
5	5619
11	5361
868	0
140	0
1746	0
8	0
0	1222
222	1222
0	1191
0	369
0	238
0	322
1	153
0	153
18	4356
0	4164
0	4355
0	4356
0	4356
44	4343
0	0
66	2689
2	2689
80	0
0	153
19	153
3	0
1	0
0	1429
56	1164
196	1384
3	1163
41	1429
201	1
15	0
373	2359
112	2360
0	1890
4	1890
0	1769
575	0
0	1255
152	1256
0	38
4	38
121	0
0	1652
0	595
0	1627
0	603
0	0
0	0
0	532
0	489
0	369
860	71
0	903
1	969
838	637
131	0
0	56602
5136	56609
7	56602
7	56611
0	414
127	414
161	0
419	0
332	0
0	0
91	347
0	347
3	221
0	221
2145	5
731	0
7	1281
0	1281
0	523
37	523
583	0
0	2028
1248	2028
13	1757
0	1757
0	776
3	856
39	837
0	775
11	820
225	0
5	0
0	501
1	501
479	0
51	2544
22	2548
5	2545
19	2459
3	2541
1	2542
0	2545
8	0
1203	0
3132	1
0	1918
0	2115
0	1886
0	2083
5	1917
0	1917
0	208
103	208
73	6938
0	6098
0	5964
45	6020
13	6726
3	5906
0	5908
16	6020
0	5906
0	1792
7	1818
749	0
2744	22
0	639
66	639
0	2083
0	1833
0	1840
34	1935
0	2088
125	0
10	1174
0	1174
81	1504
21	1504
0	596
99	596
85	395
12	395
6	1511
24	1511
0	67
0	67
3	67
37	2749
148	2749
0	1803
118	1803
5	0
796	0
0	2547
1	2483
2243	2547
5	2028
21	9010
351	14621
48	8904
2	14864
235	4622
10	4622
12	4569
3	2880
0	2880
76	3285
13	2938
0	3151
0	2977
0	2213
85	2213
0	1580
71	1580
203	0
756	0
0	501
0	501
0	370
133	370
0	19
0	19
62	778
3	778
12	0
0	1234
0	1216
0	1234
955	0
32	0
466	0
0	0
0	1176
1	1176
0	1449
0	2123
0	2123
4	2176
2	1449
0	1483
136	589
11	589
1708	951
11	950
20	950
3	950
0	119
14	119
101	979
2368	979
41	4901
1062	4901
0	1815
617	1566
2	1796
1	1801
76	861
0	861
27	1701
11	1701
53	672
0	672
861	0
16	172
0	172
105	6843
0	6843
0	6843
352	0
0	7
5	7
731	0
4	89
0	89
110	335
0	335
0	1620
0	1534
192	1620
786	0
4	2038
18	2037
0	2038
1	2036
0	1168
8	1168
1162	0
0	63
0	62
0	63
8	62
0	344
265	344
277	2627
1511	2627
5	2626
786	0
4	0
0	0
0	186
245	186
4216	0
476	0
19	74
0	74
9	889
49	889
0	657
8	657
0	216
0	186
0	216
0	216
2	207
272	425
26	425
483	0
0	0
2	0
90	4057
0	3808
0	3807
12	3547
16	3526
0	3464
0	3733
0	3553
15	3808
4855	3824
0	3807
5	2921
1	3623
14	1861
10	3695
112	3789
7016	3372
526	3028
62	3028
0	107
16	107
1071	0
1091	0
0	239
0	239
0	239
1	0
0	0
412	0
139	0
0	0
505	0
39	2012
6	2039
41	2039
0	2012
0	1921
181	508
1	508
3	884
0	884
1230	0
504	0
450	0
0	378
0	361
1	378
0	1120
17	1120
490	0
14	0
21	0
499	536
0	536
24	1050
0	1050
0	3446
0	3437
22	18518
0	3380
28	3341
17	3299
0	3771
0	5684
0	5533
0	5624
36	5618
22	18490
63	16416
12	16416
7	17058
32	16795
2	17060
29	58
2768	0
0	0
0	0
0	50
2	50
0	50
0	0
0	0
0	0
0	0
0	0
0	6
14	7
0	8
0	8
0	8
5	0
821	0
0	0
2163	0
65	58
224	0
59	0
0	919
111	919
0	0
0	0
32	0
1	0
2	0
1	0
22	0
7	0
4	0
0	0
0	332
89	332
0	1303
9	570
102	1586
65	1486
0	585
772	584
0	1297
0	6
0	6
0	456
4	456
0	0
2370	0
0	4
0	4
0	0
8	0
66	520
0	520
0	349
0	347
0	347
1	1278
6	1252
0	7
0	7
0	11
0	11
13	0
0	552
0	537
1	1960
0	1843
12	661
0	1869
5	1981
9	552
0	661
0	1930
107	1989
17	1957
470	2071
0	405
14	405
13	241
0	241
10	243
0	12
0	12
188	12
0	3
0	5
0	6
589	0
0	1471
0	1495
59	1491
131	1495
0	87
0	567
0	568
0	566
5	567
14	0
0	210
64	210
1	97
0	82
0	9894
0	9244
0	17430
0	17692
0	22
3	22
566	0
1	5797
0	5797
0	822
0	822
17	822
0	0
133	0
0	1168
40	1557
0	2986
25	2993
0	1359
0	31
3	31
0	31
0	1280
0	2879
0	2632
0	2632
0	2625
20	1099
0	1355
0	3923
0	852
0	1036
0	4426
573	0
8	0
0	0
0	0
1193	0
4	0
19	0
537	0
0	257
0	257
0	57
14	57
0	0
0	0
0	0
0	0
0	0
0	1
0	1
14	0
1	0
9	880
97	608
591	608
0	938
1393	931
1	880
15	654
1	517
3	453
0	509
425	0
228	0
0	587
15	587
0	408
0	412
2	410
0	775
1	766
0	767
65	1215
3630	1220
0	2256
51	2256
250	0
80	0
310	0
1	0
0	1341
253	1341
0	2138
1	2138
174	0
0	1044
621	1044
369	2778
0	2597
0	2363
0	8701
0	9219
33	19079
0	19588
115	10605
106	10881
0	10676
81	10605
6	0
16	0
0	0
20	0
5	0
25	1182
0	1017
6	1489
0	1324
50	1417
0	1417
0	2156
81	836
5	2149
0	2149
0	2149
62	1856
8	1462
0	0
0	0
2	0
0	21
0	7
3	20
1	21
0	0
0	0
0	0
0	0
0	0
8	0
0	14673
329	17856
1581	0
0	126
0	126
0	3
0	3
339	0
0	1232
0	1232
0	1225
0	1229
0	0
0	0
0	0
1	0
18	0
2	0
6	202
0	390
37	481
0	390
1	382
3684	481
341	0
290	3825
2	3825
0	766
24	929
2	7558
122	7497
0	864
150	506
0	1046
6	873
0	10831
0	817
0	1125
0	1121
1	1120
0	1120
359	1125
2569	0
0	3111
71	3111
64	797
2	797
561	797
0	4188
63	4188
0	1440
60	1440
89	0
525	4651
2	4651
0	443
87	443
0	905
7	905
0	2725
448	2726
1601	0
24	460
0	460
4	1282
95	1282
0	40775
13308	39115
1256	40782
8	0
204	924
0	898
28	924
108	1218
19	1218
10	1
0	1
0	207
28	207
47	799
15	799
0	5505
6	5505
28	5164
0	0
8417	0
15	0
0	0
10	2607
5022	2607
0	0
0	0
0	0
0	3006
146	3006
0	3006
0	137
8	137
171	307
417	307
168	4188
71	4154
0	4188
2	1522
0	1522
257	0
1158	0
25	0
28	0
958	0
39	2960
14	2960
3	2957
0	2957
0	400
16	400
0	1163
0	1196
3	1198
6	1196
0	1162
281	1304
507	2884
0	2884
91	2733
0	2693
12	2733
0	2693
621	0
665	0
0	296
0	239
3	281
1566	0
0	526
9	531
43	521
19	825
214	825
0	268
184	268
0	347
55	354
227	7
69	0
15	0
3359	0
7	301
0	301
0	301
148	3682
84	3682
196	1040
0	1040
0	1770
6	1770
159	301
0	304
3	137
3	1446
50	1440
5	1439
20	1447
121	945
0	945
468	2934
0	2923
12	2934
7	2920
5	2913
2	0
128	0
0	0
0	0
154	0
98	1988
0	2740
14	2740
1043	0
0	246
16	246
26	571
1	571
7	315
0	315
603	0
675	0
22	0
0	306
21	302
0	279
0	279
384	0
238	0
163	3460
0	3460
584	0
0	184
16	184
620	0
1150	0
0	1385
1	1383
5	1383
1	1379
0	1313
0	1407
10	1420
4	1420
1778	2
862	0
6872	0
446	0
1031	64761
56	64761
0	64761
800	64761
0	60332
269	0
26	1222
1	1198
0	1198
0	1222
10	0
0	4833
0	4058
63	4833
432	0
1877	0
0	844
98	844
0	293
0	293
0	4130
0	5193
0	5022
0	3962
24	2408
393	0
451	0
0	0
16	242
1	242
376	0
186	16640
344	15759
25	16640
0	0
569	4462
0	4381
0	2177
0	2431
0	2182
3	2200
7	0
20	0
220	0
0	66787
856	66787
13	0
58	0
10	848
0	848
1770	0
0	843
17	819
6	753
735	0
0	776
0	757
0	776
0	747
4	757
4238	10
299	0
0	1188
22	1188
71	535
0	535
1548	0
20	35
0	35
7	28
0	33
12	33
327	0
329	0
19	574
0	572
5	574
0	572
0	187
4	111
18	187
8	187
2199	0
1	2443
31	2122
11	1442
8	2113
247	5589
72	5478
1	5602
9	1246
0	1246
123	4809
0	3557
0	3566
3	4800
0	3403
215	0
16	0
4	518
0	518
75	1870
0	1870
3	1864
0	0
22	0
33	0
0	1598
0	1180
5	1566
0	1148
5	1566
193	2839
114	2800
17	2887
58	2799
46	2848
14	0
2418	0
486	408
8	408
38	8278
0	8575
0	5803
680	0
459	2099
0	2850
0	2403
160	2138
1	2098
0	2138
0	1669
10	1668
2	2853
0	2853
0	910
11	910
679	0
0	782
3	782
36	782
0	0
276	0
622	0
500	0
2618	1
0	496
7	1414
0	1414
0	1528
0	777
65	777
0	105
22	105
249	3085
283	4230
306	4500
26	4500
3	690
0	690
99	690
17	460
1	460
0	459
0	98
731	98
0	203
19	203
190	0
0	1018
0	981
16	852
0	39
0	43
0	4
6	66
0	66
786	0
104	155
0	155
0	2320
3	2419
0	2286
6	2312
18	2305
2	2404
0	2316
26	2249
42	0
8	2291
0	2297
0	2292
0	2287
1	2305
0	2309
0	2303
0	2297
0	2316
0	2311
0	2046
0	24
0	24
0	4081
29	4017
0	4012
1	4017
27	4014
0	4006
316	2641
45	2650
210	3164
23	3163
5	2875
456	0
0	1
0	1
195	0
0	33
0	33
312	3089
174	3089
271	0
21	343
4	343
11	1478
137	1478
14	0
290	0
512	6
4	378
56	372
0	9454
0	9454
11	1752
4	3880
319	3470
0	3880
168	3469
1	0
0	0
0	0
453	0
1168	0
1	12
0	12
786	279
0	279
516	0
366	0
982	6765
91	6726
3	6727
31	6783
0	6744
0	168
4	168
0	475
548	430
176	271
0	20
0	20
0	20
9	192
0	192
206	3322
97	3322
422	0
1011	0
0	761
27	761
1	299
11	299
816	0
1311	0
748	0
970	0
2744	0
0	2
0	2
0	2
334	0
102	0
914	0
0	79
59	79
13	9531
1	9462
308	10231
87	9806
0	9886
813	0
135	1570
3	1577
48	1553
0	30
2	30
0	1501
0	1436
0	1398
0	1333
0	12
8	12
0	648
21	648
0	346
16	324
0	301
1865	2
2	0
878	0
39	2885
6	2885
802	0
177	769
0	744
0	769
0	0
2	22
0	22
530	0
1177	0
463	0
32	387
0	387
0	224
54	224
1	0
73	813
0	953
8	911
96	389
0	389
0	1
0	1
4	0
0	0
83	646
0	646
16	407
1	407
0	4529
46	4529
118	4529
27	4529
2	0
8	872
0	872
54	1676
0	1676
37	1676
0	1676
35	406
2	1878
4	1945
246	1545
1659	26
31	26
0	1088
17	1047
0	624
0	402
440	0
0	0
18	1538
35	1562
0	1367
5	1634
0	1559
8	234
267	237
0	438
10	438
0	704
0	706
1	701
0	665
0	2892
0	2892
2	886
0	886
0	0
337	0
1272	2009
0	2011
11	2011
2	2007
1	0
0	0
0	3
0	3
0	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	15
0	15
200	0
58	518
0	518
1100	0
13	0
0	0
0	0
128	0
1001	1407
0	1355
1	1340
0	1407
145	336
0	336
1145	0
29	782
2	675
11	801
0	756
0	757
0	805
22	1134
309	1134
0	1134
13	4331
3	4368
6	4364
6	4331
0	4342
2	4336
15	4397
66	4401
0	4341
5	5
0	5
1	2237
0	2237
0	3203
118	3203
0	0
11	0
0	440
0	415
0	371
0	346
827	2423
30	2423
987	0
1	0
0	3029
32	3466
0	3507
771	1045
0	1012
0	1045
116	0
28	2065
6	2047
1	2109
4	2044
0	2028
0	2033
2	0
0	0
0	0
83	0
10	250
3	250
27	1652
26	1652
0	0
0	23
5	23
7	241
19	241
515	4225
161	4225
821	0
0	2381
13	2361
0	2339
5	2581
0	2316
169	2623
90	0
0	26
0	31
4	31
0	31
3128	0
