UniqueCount	AmbigCount
0	1933
15	1933
1568	1933
0	0
9	6
0	331
0	331
0	6
0	0
0	0
0	0
765	0
687	0
849	0
0	83193
1375	80823
557	83193
47	1763
465	1763
0	978
34	978
0	514
0	514
1	514
24	514
0	514
43	0
120	0
10	0
2	0
1	0
0	0
7	0
1	29
38	29
0	99
7	100
0	83
0	135
19	107
0	101
1	138
478	0
0	1618
2	1618
56	0
239	3860
82	3860
600	0
905	0
2	0
0	281
0	281
4	238
0	238
1	272
1	281
7	263
2137	276
1	243
0	110
0	119
1	90
0	29792
282	50499
0	29368
185	29557
8	51560
191	29763
1608	0
1	633
0	599
3	597
311	0
0	3040
0	2904
4	3024
882	0
45	2838
0	2737
12	3682
339	716
1	716
599	19971
229	19919
153	19971
0	380
0	334
10	380
0	1359
312	1359
0	0
75	0
1	0
1785	0
714	0
37768	5
1	0
4	0
1015	5592
22	5592
3198	30146
2448	28787
57	28611
57	28639
26	30136
1703	0
762	0
0	2882
0	2837
9	2837
7	2723
41	2864
1	2836
5	1884
7	0
0	0
0	0
0	0
568	0
0	3248
22	3248
34	1346
1	1410
31	1310
0	1400
3	1400
128	0
2	0
0	0
419	0
6051	0
4	0
0	1690
113	1833
87	1837
493	0
2387	33
0	0
0	4
0	4
2226	0
2816	0
892	0
33	0
0	0
126	74
0	74
2	33
0	849
8	849
31	849
0	0
0	0
5	31
2	31
19	0
0	178
0	178
20	0
6	0
26	0
0	21
0	21
14	25
0	25
28	0
409	1798
1	1798
4	56
3	56
428	0
198	0
0	9175
17	8813
34	8740
1855	9176
241	6708
103	6797
3	6767
0	1460
0	1333
0	1451
0	1339
1	1451
0	1392
5	1131
0	1333
21	1333
92	9231
0	8960
14	8504
1428	0
241	0
2364	0
51	0
0	1418
293	1418
1	1367
0	382
1	262
0	313
1	205
0	205
34	5603
2	5342
0	5603
0	5601
0	5601
34	5591
0	0
102	3170
4	3170
118	0
0	222
44	222
2	0
5	0
0	1574
113	1274
175	1465
0	1275
72	1574
390	12
30	0
416	2652
96	2657
0	2554
41	2554
0	2418
967	0
0	1065
131	1067
0	40
14	40
154	0
0	1943
0	791
9	1853
0	833
0	1
0	1
0	774
3	728
0	623
705	48
0	1062
2	1099
714	812
57	0
4	35455
3546	35459
7	35453
10	35459
0	792
307	792
210	0
643	0
263	0
0	0
110	422
7	422
10	382
0	382
2908	0
753	0
31	1290
0	1290
0	924
53	924
884	0
0	4095
1697	4095
72	2979
0	2979
0	805
4	898
64	874
0	804
12	848
237	0
8	0
12	872
1	872
447	0
36	3733
27	3735
7	3733
39	3601
9	3730
19	3729
2	3731
0	0
1555	0
4332	0
0	1754
0	1877
0	1730
0	1853
8	1752
5	1752
0	132
77	132
57	9636
0	9025
0	8760
87	8914
34	9307
21	8759
0	8766
5	8914
0	8753
0	2159
0	2181
1168	0
2307	17
0	898
81	898
0	2319
0	2036
1	2059
49	2183
0	2324
335	0
22	1866
0	1866
86	1872
106	1872
0	787
153	787
70	412
10	412
5	1658
37	1658
1	240
0	243
1	243
57	3248
165	3248
0	1531
77	1531
24	0
983	0
0	5234
3	5105
3586	5234
14	3812
75	10593
341	18168
49	10349
5	18597
173	3758
10	3757
27	3712
18	3661
0	3661
85	3607
5	3147
0	3436
0	3204
0	3031
142	3031
0	2861
345	2861
320	0
1036	0
0	574
1	574
0	540
83	540
0	2
0	2
26	508
13	508
25	0
0	1707
0	1697
0	1709
1071	2
41	0
597	0
3	0
0	1682
5	1682
0	1632
2	2179
0	2180
0	2229
0	1633
1	1664
233	877
14	877
626	340
0	339
9	339
3	340
0	65
7	65
131	1485
2913	1485
50	5270
906	5270
0	2862
667	2534
2	2824
2	2827
95	1199
0	1199
41	3544
17	3544
29	632
0	632
1051	0
12	296
0	296
199	9628
0	9628
2	9628
673	0
0	1
1	1
749	0
4	177
0	177
17	100
0	100
0	2344
0	2187
216	2344
989	0
15	3293
47	3289
0	3293
14	3283
0	2003
36	2003
1381	0
0	188
0	188
0	185
47	188
0	559
244	559
533	3756
1734	3756
6	3753
487	0
20	76
0	76
0	222
181	222
4453	0
630	0
22	82
0	82
39	1750
152	1750
0	621
12	621
0	356
0	292
0	356
1	356
4	334
321	345
52	345
856	0
2	0
1	0
165	6060
0	5786
0	5789
30	6926
32	5309
1	5229
1	5641
0	6932
86	5786
4441	5820
1	5789
32	5747
0	5549
62	3399
28	6595
64	7178
9870	6530
417	2453
23	2453
0	205
14	205
1428	0
1258	0
6	228
0	228
0	228
30	0
7	0
609	0
235	0
19	0
568	0
32	2387
9	2420
57	2420
1	2384
0	2297
271	753
3	753
26	975
0	975
1526	1
672	0
1150	0
0	512
10	475
0	512
0	1695
19	1695
691	0
33	0
71	0
399	721
0	721
7	631
0	631
0	5294
0	5225
22	23027
0	5108
49	5017
20	4896
0	5774
0	7450
2	7244
0	7397
89	7284
23	23048
117	21105
14	21105
7	21765
50	21581
0	21764
16	25
1960	0
0	5
0	5
0	76
0	76
0	76
0	0
0	0
1	0
0	0
0	0
0	0
9	0
0	0
0	0
0	0
4	0
615	0
0	0
1741	0
47	25
191	0
83	0
0	822
85	822
2	9
0	9
69	0
10	0
19	0
26	0
19	0
13	0
7	0
2	0
0	330
97	330
0	1989
0	1162
129	2332
53	2170
0	1165
1034	1170
0	1985
0	6
0	6
0	613
21	613
1	0
1353	0
0	6
0	6
4	0
4	0
143	986
0	986
0	607
0	590
0	590
1	1857
30	1857
0	3
0	3
0	55
2	55
11	0
0	1048
0	1006
1	2800
1	2570
30	1176
0	2612
3	2841
29	1042
0	1186
4	2727
95	2106
17	2109
413	2242
0	662
11	662
14	141
0	141
20	142
0	26
1	26
368	26
0	14
0	14
0	20
592	0
1	2969
0	3017
174	3003
198	3017
0	169
2	725
0	734
0	717
5	725
17	0
0	242
136	242
4	134
19	109
0	12225
0	10905
0	20201
0	20623
0	17
1	17
866	0
4	7252
4	7252
0	1337
2	1337
13	1337
1	0
356	0
0	1538
42	2068
