UniqueCount	AmbigCount
0	1184
4	1184
1536	1184
0	0
6	2
0	541
1	541
5	2
0	0
1	0
0	0
817	0
737	0
930	0
0	89861
1614	86772
701	89861
52	1193
556	1197
0	904
63	904
0	781
0	781
0	781
12	781
0	781
13	0
38	0
38	0
4	0
0	0
0	0
5	0
0	44
66	44
0	306
4	309
0	213
0	232
38	183
0	153
2	235
550	0
0	1863
10	1863
76	0
156	4087
77	4087
475	0
510	0
0	0
1	281
0	282
8	240
0	240
0	275
4	282
3	73
2032	79
0	76
3	157
0	168
10	151
0	22197
156	54966
0	22065
62	22112
9	55548
33	22185
1526	1
0	681
2	636
1	671
290	0
0	1899
0	1874
11	1888
925	0
22	2956
0	2829
1	3917
288	934
0	934
500	26685
198	26662
147	26685
0	479
1	430
6	479
0	1136
381	1136
0	0
100	0
0	0
1828	0
1288	0
40847	0
12	0
4	0
1287	4431
2	4431
2870	32685
2276	31542
51	31352
75	31373
49	32677
2248	0
1049	0
0	3015
0	2984
2	2987
6	2874
21	2999
0	2987
10	1568
9	0
11	0
0	1
0	1
791	0
0	3105
18	3105
17	1414
4	1472
42	1381
0	1459
1	1459
138	0
1	0
0	0
447	0
5019	0
0	0
0	1896
139	2016
65	2016
480	0
2120	7
8	0
0	4
2	4
1911	0
3250	0
949	0
81	0
0	0
188	114
0	114
0	7
0	1262
1	1262
79	1262
0	3
0	3
8	59
3	59
5	0
0	438
0	438
28	0
2	0
44	0
0	61
0	61
18	67
0	67
12	0
282	2388
0	2388
1	57
0	57
366	0
331	0
0	8173
3	7942
24	7798
2597	8173
128	6992
62	7128
0	7121
0	1324
0	1262
0	1318
0	1260
2	1318
0	1287
0	845
2	1257
7	1263
102	9086
4	8857
9	8489
1313	0
233	0
2927	0
69	0
0	1206
358	1206
0	1182
0	511
0	432
0	343
0	205
0	205
23	4829
0	4721
0	4828
0	4840
0	4840
14	4821
0	0
167	3684
8	3684
103	0
0	225
14	225
12	0
0	0
0	1993
102	1629
114	1890
1	1626
21	1993
475	5
107	0
470	2772
75	2779
0	3043
46	3043
0	2821
943	0
0	1174
276	1177
0	33
5	33
247	0
0	1966
0	810
3	1939
0	817
0	0
0	0
0	1035
0	985
5	733
799	66
0	725
1	787
1074	515
101	0
2	38449
2601	38448
3	38446
6	38449
0	884
316	884
290	0
536	0
316	0
1	0
143	525
5	525
7	364
0	364
3084	1
748	1
29	1857
0	1857
0	1075
88	1075
741	0
0	3073
2409	3073
33	3205
0	3205
0	928
0	1001
39	987
0	927
5	961
237	0
11	0
0	671
1	671
662	0
23	2771
9	2772
0	2772
12	2730
0	2771
2	2771
0	2771
5	0
1485	0
3667	0
0	2068
0	2139
0	2042
0	2113
3	2065
8	2064
0	81
73	81
118	9319
0	8437
0	8305
30	8371
20	9086
3	8252
0	8252
4	8371
0	8251
0	2271
1	2282
1319	0
1767	26
0	777
77	777
0	1915
0	1459
0	1477
54	1784
0	1919
375	0
2	1508
0	1508
147	2703
145	2703
0	1185
201	1185
117	458
28	458
2	1830
14	1830
8	259
0	259
8	259
86	3399
168	3399
0	2083
151	2083
19	0
1199	0
0	3783
4	3752
4096	3783
1	3171
22	9644
341	21612
13	9601
2	21790
107	3296
0	3292
32	3284
13	3952
0	3952
47	3202
5	2885
0	3096
4	2968
0	3974
152	3974
0	2478
170	2478
464	0
1120	2
0	788
3	788
0	1114
254	1114
0	0
0	0
15	602
9	602
16	0
0	1496
0	1484
0	1499
1125	0
26	0
534	0
1	0
0	1741
6	1741
0	1583
3	2553
0	2553
0	2584
0	1583
0	1595
235	1122
20	1122
363	399
0	399
10	399
10	399
0	87
6	87
167	1396
3144	1396
21	4268
1248	4268
0	2328
923	2007
4	2309
1	2310
81	1344
0	1344
