Sample	Top over-represented sequence	Sum of remaining over-represented sequences
NS.1720.004.NEBNext_dual_i7_137---NEBNext_dual_i5_137.51_R1	0.7416427131475686	8.487201170989477
NS.1720.004.NEBNext_dual_i7_137---NEBNext_dual_i5_137.51_R2	0.27602209244111786	5.316461785619365
NS.1720.004.NEBNext_dual_i7_138---NEBNext_dual_i5_138.52_R1	0.6489913848578392	6.3617967929704005
NS.1720.004.NEBNext_dual_i7_138---NEBNext_dual_i5_138.52_R2	0.22875974003544117	3.5905582208836266
NS.1720.004.NEBNext_dual_i7_145---NEBNext_dual_i5_145.43_R1	0.47721898384006733	3.77296518870437
NS.1720.004.NEBNext_dual_i7_145---NEBNext_dual_i5_145.43_R2	0.19592361188670004	1.633154064897465
NS.1720.004.NEBNext_dual_i7_146---NEBNext_dual_i5_146.44_R1	0.46356130118074657	3.8012993003145015
NS.1720.004.NEBNext_dual_i7_146---NEBNext_dual_i5_146.44_R2	0.20341231268967233	2.058459551661405
NS.1720.004.NEBNext_dual_i7_147---NEBNext_dual_i5_147.45_R1	0.49027266774005346	4.0473845804224124
NS.1720.004.NEBNext_dual_i7_147---NEBNext_dual_i5_147.45_R2	0.21305770775696597	1.9372848311799746
NS.1720.004.NEBNext_dual_i7_148---NEBNext_dual_i5_148.46_R1	1.2877328019192409	5.239788371495509
NS.1720.004.NEBNext_dual_i7_148---NEBNext_dual_i5_148.46_R2	0.21451998128116817	2.3740447392893858
NS.1720.004.NEBNext_dual_i7_149---NEBNext_dual_i5_149.47_R1	0.5153483564332564	3.9628477235467887
NS.1720.004.NEBNext_dual_i7_149---NEBNext_dual_i5_149.47_R2	0.1745481973365767	1.64405872452321
NS.1720.004.NEBNext_dual_i7_150---NEBNext_dual_i5_150.48_R1	0.6714013049089118	6.344083403332974
NS.1720.004.NEBNext_dual_i7_150---NEBNext_dual_i5_150.48_R2	0.22522603467316046	3.059151276404405
NS.1720.004.NEBNext_dual_i7_151---NEBNext_dual_i5_151.49_R1	0.6332763091176481	5.198510132767903
NS.1720.004.NEBNext_dual_i7_151---NEBNext_dual_i5_151.49_R2	0.21383117117462816	2.671131140147342
NS.1720.004.NEBNext_dual_i7_152---NEBNext_dual_i5_152.50_R1	0.5774514703988269	4.893199561930734
NS.1720.004.NEBNext_dual_i7_152---NEBNext_dual_i5_152.50_R2	0.21112486175586362	2.3236423665038037
NS.1720.004.NEBNext_dual_i7_153---NEBNext_dual_i5_153.35_R1	0.5585024394834442	3.855619539447586
NS.1720.004.NEBNext_dual_i7_153---NEBNext_dual_i5_153.35_R2	0.18233538339487268	2.0181714233123387
NS.1720.004.NEBNext_dual_i7_154---NEBNext_dual_i5_154.36_R1	0.90812722485585	6.581653914732018
NS.1720.004.NEBNext_dual_i7_154---NEBNext_dual_i5_154.36_R2	0.2241316023438937	3.7833260585050086
NS.1720.004.NEBNext_dual_i7_155---NEBNext_dual_i5_155.37_R1	0.6846669394383091	6.456170927285113
NS.1720.004.NEBNext_dual_i7_155---NEBNext_dual_i5_155.37_R2	0.22464142131603532	3.557010084731404
NS.1720.004.NEBNext_dual_i7_156---NEBNext_dual_i5_156.38_R1	0.7039582349404604	6.4913906525498
NS.1720.004.NEBNext_dual_i7_156---NEBNext_dual_i5_156.38_R2	0.23552055276281234	3.3422600174275643
NS.1720.004.NEBNext_dual_i7_157---NEBNext_dual_i5_157.39_R1	0.648484200734456	6.6223632590338415
NS.1720.004.NEBNext_dual_i7_157---NEBNext_dual_i5_157.39_R2	0.24281342738802716	4.030554507543831
NS.1720.004.NEBNext_dual_i7_158---NEBNext_dual_i5_158.40_R1	0.5763733696364683	5.647104432831878
NS.1720.004.NEBNext_dual_i7_158---NEBNext_dual_i5_158.40_R2	0.23163248531583297	2.936940247857175
NS.1720.004.NEBNext_dual_i7_159---NEBNext_dual_i5_159.41_R1	0.486307011296205	4.147731841876625
NS.1720.004.NEBNext_dual_i7_159---NEBNext_dual_i5_159.41_R2	0.2146342620653776	2.0297606672506308
