Sample	Unique Reads	Duplicate Reads
NS.1720.004.NEBNext_dual_i7_137---NEBNext_dual_i5_137.51_R1	9459539.0	44130012.0
NS.1720.004.NEBNext_dual_i7_137---NEBNext_dual_i5_137.51_R2	9510504.0	44079047.0
NS.1720.004.NEBNext_dual_i7_138---NEBNext_dual_i5_138.52_R1	8440348.0	33624309.0
NS.1720.004.NEBNext_dual_i7_138---NEBNext_dual_i5_138.52_R2	8250869.0	33813788.0
NS.1720.004.NEBNext_dual_i7_145---NEBNext_dual_i5_145.43_R1	8781099.0	28466581.0
NS.1720.004.NEBNext_dual_i7_145---NEBNext_dual_i5_145.43_R2	8464280.0	28783400.0
NS.1720.004.NEBNext_dual_i7_146---NEBNext_dual_i5_146.44_R1	9846090.0	31548651.0
NS.1720.004.NEBNext_dual_i7_146---NEBNext_dual_i5_146.44_R2	9291216.0	32103525.0
NS.1720.004.NEBNext_dual_i7_147---NEBNext_dual_i5_147.45_R1	11038038.0	40516539.0
NS.1720.004.NEBNext_dual_i7_147---NEBNext_dual_i5_147.45_R2	10886345.0	40668232.0
NS.1720.004.NEBNext_dual_i7_148---NEBNext_dual_i5_148.46_R1	12543915.0	52391761.0
NS.1720.004.NEBNext_dual_i7_148---NEBNext_dual_i5_148.46_R2	12664672.0	52271004.0
NS.1720.004.NEBNext_dual_i7_149---NEBNext_dual_i5_149.47_R1	9965576.0	35259755.0
NS.1720.004.NEBNext_dual_i7_149---NEBNext_dual_i5_149.47_R2	9849498.0	35375833.0
NS.1720.004.NEBNext_dual_i7_150---NEBNext_dual_i5_150.48_R1	9243453.0	35275823.0
NS.1720.004.NEBNext_dual_i7_150---NEBNext_dual_i5_150.48_R2	9292224.0	35227052.0
NS.1720.004.NEBNext_dual_i7_151---NEBNext_dual_i5_151.49_R1	7703983.0	26017948.0
NS.1720.004.NEBNext_dual_i7_151---NEBNext_dual_i5_151.49_R2	7352760.0	26369171.0
NS.1720.004.NEBNext_dual_i7_152---NEBNext_dual_i5_152.50_R1	9120074.0	35407131.0
NS.1720.004.NEBNext_dual_i7_152---NEBNext_dual_i5_152.50_R2	8869861.0	35657344.0
NS.1720.004.NEBNext_dual_i7_153---NEBNext_dual_i5_153.35_R1	9223210.0	34695309.0
NS.1720.004.NEBNext_dual_i7_153---NEBNext_dual_i5_153.35_R2	9248377.0	34670142.0
NS.1720.004.NEBNext_dual_i7_154---NEBNext_dual_i5_154.36_R1	9055950.0	36690834.0
NS.1720.004.NEBNext_dual_i7_154---NEBNext_dual_i5_154.36_R2	8807154.0	36939630.0
NS.1720.004.NEBNext_dual_i7_155---NEBNext_dual_i5_155.37_R1	9990903.0	37455378.0
NS.1720.004.NEBNext_dual_i7_155---NEBNext_dual_i5_155.37_R2	9808627.0	37637654.0
NS.1720.004.NEBNext_dual_i7_156---NEBNext_dual_i5_156.38_R1	8466727.0	31864785.0
NS.1720.004.NEBNext_dual_i7_156---NEBNext_dual_i5_156.38_R2	8771369.0	31560143.0
NS.1720.004.NEBNext_dual_i7_157---NEBNext_dual_i5_157.39_R1	8891330.0	31004322.0
NS.1720.004.NEBNext_dual_i7_157---NEBNext_dual_i5_157.39_R2	8500356.0	31395296.0
NS.1720.004.NEBNext_dual_i7_158---NEBNext_dual_i5_158.40_R1	11900098.0	47999963.0
NS.1720.004.NEBNext_dual_i7_158---NEBNext_dual_i5_158.40_R2	12106079.0	47793982.0
NS.1720.004.NEBNext_dual_i7_159---NEBNext_dual_i5_159.41_R1	11144921.0	41629971.0
NS.1720.004.NEBNext_dual_i7_159---NEBNext_dual_i5_159.41_R2	10691936.0	42082956.0
NS.1720.004.NEBNext_dual_i7_160---NEBNext_dual_i5_160.42_R1	10088749.0	37502711.0
NS.1720.004.NEBNext_dual_i7_160---NEBNext_dual_i5_160.42_R2	9880056.0	37711404.0
NS.1720.004.NEBNext_dual_i7_161---NEBNext_dual_i5_161.27_R1	10553961.0	39537937.0
NS.1720.004.NEBNext_dual_i7_161---NEBNext_dual_i5_161.27_R2	10488215.0	39603683.0
NS.1720.004.NEBNext_dual_i7_162---NEBNext_dual_i5_162.28_R1	10554768.0	38099116.0
NS.1720.004.NEBNext_dual_i7_162---NEBNext_dual_i5_162.28_R2	10426912.0	38226972.0
NS.1720.004.NEBNext_dual_i7_163---NEBNext_dual_i5_163.29_R1	11609152.0	48480678.0
NS.1720.004.NEBNext_dual_i7_163---NEBNext_dual_i5_163.29_R2	11054224.0	49035606.0
NS.1720.004.NEBNext_dual_i7_164---NEBNext_dual_i5_164.30_R1	9363671.0	32106013.0
NS.1720.004.NEBNext_dual_i7_164---NEBNext_dual_i5_164.30_R2	8971587.0	32498097.0
NS.1720.004.NEBNext_dual_i7_165---NEBNext_dual_i5_165.31_R1	9736329.0	41106622.0
NS.1720.004.NEBNext_dual_i7_165---NEBNext_dual_i5_165.31_R2	10131188.0	40711763.0
NS.1720.004.NEBNext_dual_i7_166---NEBNext_dual_i5_166.32_R1	9096770.0	34430946.0
NS.1720.004.NEBNext_dual_i7_166---NEBNext_dual_i5_166.32_R2	8943377.0	34584339.0
NS.1720.004.NEBNext_dual_i7_167---NEBNext_dual_i5_167.33_R1	9402484.0	37422787.0
NS.1720.004.NEBNext_dual_i7_167---NEBNext_dual_i5_167.33_R2	9176127.0	37649144.0
NS.1720.004.NEBNext_dual_i7_168---NEBNext_dual_i5_168.34_R1	11116516.0	46764954.0
NS.1720.004.NEBNext_dual_i7_168---NEBNext_dual_i5_168.34_R2	11427223.0	46454247.0
NS.1720.004.NEBNext_dual_i7_169---NEBNext_dual_i5_169.19_R1	7473766.0	35734427.0
NS.1720.004.NEBNext_dual_i7_169---NEBNext_dual_i5_169.19_R2	7980831.0	35227362.0
NS.1720.004.NEBNext_dual_i7_170---NEBNext_dual_i5_170.20_R1	8308563.0	33572172.0
NS.1720.004.NEBNext_dual_i7_170---NEBNext_dual_i5_170.20_R2	8211343.0	33669392.0
NS.1720.004.NEBNext_dual_i7_171---NEBNext_dual_i5_171.21_R1	8818822.0	36247760.0
