Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NS.1720.004.NEBNext_dual_i7_137---NEBNext_dual_i5_137.51_R1	NS.1720.004.NEBNext_dual_i7_137---NEBNext_dual_i5_137.51_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53589551.0	0.0	101.0	42.0	17.651832911062858	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_137---NEBNext_dual_i5_137.51_R2	NS.1720.004.NEBNext_dual_i7_137---NEBNext_dual_i5_137.51_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53589551.0	0.0	101.0	43.0	17.746936675393094	101.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_138---NEBNext_dual_i5_138.52_R1	NS.1720.004.NEBNext_dual_i7_138---NEBNext_dual_i5_138.52_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42064657.0	0.0	101.0	43.0	20.065177190623334	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_138---NEBNext_dual_i5_138.52_R2	NS.1720.004.NEBNext_dual_i7_138---NEBNext_dual_i5_138.52_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42064657.0	0.0	101.0	44.0	19.61472927347169	101.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_145---NEBNext_dual_i5_145.43_R1	NS.1720.004.NEBNext_dual_i7_145---NEBNext_dual_i5_145.43_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37247680.0	0.0	101.0	44.0	23.574887066250874	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_145---NEBNext_dual_i5_145.43_R2	NS.1720.004.NEBNext_dual_i7_145---NEBNext_dual_i5_145.43_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37247680.0	0.0	101.0	45.0	22.724313489166747	101.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_146---NEBNext_dual_i5_146.44_R1	NS.1720.004.NEBNext_dual_i7_146---NEBNext_dual_i5_146.44_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41394741.0	0.0	101.0	44.0	23.785847548371084	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_146---NEBNext_dual_i5_146.44_R2	NS.1720.004.NEBNext_dual_i7_146---NEBNext_dual_i5_146.44_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41394741.0	0.0	101.0	45.0	22.44539983215311	101.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_147---NEBNext_dual_i5_147.45_R1	NS.1720.004.NEBNext_dual_i7_147---NEBNext_dual_i5_147.45_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51554577.0	0.0	101.0	44.0	21.410392878363982	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_147---NEBNext_dual_i5_147.45_R2	NS.1720.004.NEBNext_dual_i7_147---NEBNext_dual_i5_147.45_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51554577.0	0.0	101.0	45.0	21.11615577414387	101.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_148---NEBNext_dual_i5_148.46_R1	NS.1720.004.NEBNext_dual_i7_148---NEBNext_dual_i5_148.46_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64935676.0	0.0	101.0	43.0	19.31744592807515	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
NS.1720.004.NEBNext_dual_i7_148---NEBNext_dual_i5_148.46_R2	NS.1720.004.NEBNext_dual_i7_148---NEBNext_dual_i5_148.46_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64935676.0	0.0	101.0	44.0	19.503411278926244	101.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_149---NEBNext_dual_i5_149.47_R1	NS.1720.004.NEBNext_dual_i7_149---NEBNext_dual_i5_149.47_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45225331.0	0.0	101.0	44.0	22.035385151446484	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_149---NEBNext_dual_i5_149.47_R2	NS.1720.004.NEBNext_dual_i7_149---NEBNext_dual_i5_149.47_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45225331.0	0.0	101.0	45.0	21.77871822230106	101.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_150---NEBNext_dual_i5_150.48_R1	NS.1720.004.NEBNext_dual_i7_150---NEBNext_dual_i5_150.48_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44519276.0	0.0	101.0	42.0	20.762809642375085	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_150---NEBNext_dual_i5_150.48_R2	NS.1720.004.NEBNext_dual_i7_150---NEBNext_dual_i5_150.48_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44519276.0	0.0	101.0	43.0	20.872358829807737	101.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
NS.1720.004.NEBNext_dual_i7_151---NEBNext_dual_i5_151.49_R1	NS.1720.004.NEBNext_dual_i7_151---NEBNext_dual_i5_151.49_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33721931.0	0.0	101.0	43.0	22.845614237507743	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
