Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
NS.1720.004.NEBNext_dual_i7_137---NEBNext_dual_i5_137.51_R1	82.34816708893715	42.0	101.0	27.27272727272727	53589551.0
NS.1720.004.NEBNext_dual_i7_137---NEBNext_dual_i5_137.51_R2	82.2530633246069	43.0	101.0	27.27272727272727	53589551.0
NS.1720.004.NEBNext_dual_i7_138---NEBNext_dual_i5_138.52_R1	79.93482280937667	43.0	101.0	27.27272727272727	42064657.0
NS.1720.004.NEBNext_dual_i7_138---NEBNext_dual_i5_138.52_R2	80.38527072652832	44.0	101.0	27.27272727272727	42064657.0
NS.1720.004.NEBNext_dual_i7_145---NEBNext_dual_i5_145.43_R1	76.42511293374912	44.0	101.0	27.27272727272727	37247680.0
NS.1720.004.NEBNext_dual_i7_145---NEBNext_dual_i5_145.43_R2	77.27568651083325	45.0	101.0	27.27272727272727	37247680.0
NS.1720.004.NEBNext_dual_i7_146---NEBNext_dual_i5_146.44_R1	76.21415245162892	44.0	101.0	27.27272727272727	41394741.0
NS.1720.004.NEBNext_dual_i7_146---NEBNext_dual_i5_146.44_R2	77.55460016784689	45.0	101.0	27.27272727272727	41394741.0
NS.1720.004.NEBNext_dual_i7_147---NEBNext_dual_i5_147.45_R1	78.58960712163602	44.0	101.0	27.27272727272727	51554577.0
NS.1720.004.NEBNext_dual_i7_147---NEBNext_dual_i5_147.45_R2	78.88384422585614	45.0	101.0	27.27272727272727	51554577.0
NS.1720.004.NEBNext_dual_i7_148---NEBNext_dual_i5_148.46_R1	80.68255407192486	43.0	101.0	36.36363636363637	64935676.0
NS.1720.004.NEBNext_dual_i7_148---NEBNext_dual_i5_148.46_R2	80.49658872107375	44.0	101.0	27.27272727272727	64935676.0
NS.1720.004.NEBNext_dual_i7_149---NEBNext_dual_i5_149.47_R1	77.96461484855351	44.0	101.0	27.27272727272727	45225331.0
NS.1720.004.NEBNext_dual_i7_149---NEBNext_dual_i5_149.47_R2	78.22128177769895	45.0	101.0	27.27272727272727	45225331.0
NS.1720.004.NEBNext_dual_i7_150---NEBNext_dual_i5_150.48_R1	79.23719035762491	42.0	101.0	27.27272727272727	44519276.0
NS.1720.004.NEBNext_dual_i7_150---NEBNext_dual_i5_150.48_R2	79.12764117019226	43.0	101.0	27.27272727272727	44519276.0
NS.1720.004.NEBNext_dual_i7_151---NEBNext_dual_i5_151.49_R1	77.15438576249225	43.0	101.0	27.27272727272727	33721931.0
NS.1720.004.NEBNext_dual_i7_151---NEBNext_dual_i5_151.49_R2	78.19591188104128	44.0	101.0	27.27272727272727	33721931.0
NS.1720.004.NEBNext_dual_i7_152---NEBNext_dual_i5_152.50_R1	79.51797459954464	43.0	101.0	27.27272727272727	44527205.0
NS.1720.004.NEBNext_dual_i7_152---NEBNext_dual_i5_152.50_R2	80.07990843828358	44.0	101.0	27.27272727272727	44527205.0
NS.1720.004.NEBNext_dual_i7_153---NEBNext_dual_i5_153.35_R1	78.99927028636525	43.0	101.0	27.27272727272727	43918519.0
NS.1720.004.NEBNext_dual_i7_153---NEBNext_dual_i5_153.35_R2	78.94196557276514	44.0	101.0	27.27272727272727	43918519.0
NS.1720.004.NEBNext_dual_i7_154---NEBNext_dual_i5_154.36_R1	80.20418275241542	41.0	101.0	27.27272727272727	45746784.0
NS.1720.004.NEBNext_dual_i7_154---NEBNext_dual_i5_154.36_R2	80.74803786149477	42.0	101.0	27.27272727272727	45746784.0
NS.1720.004.NEBNext_dual_i7_155---NEBNext_dual_i5_155.37_R1	78.94270652937304	42.0	101.0	27.27272727272727	47446281.0
NS.1720.004.NEBNext_dual_i7_155---NEBNext_dual_i5_155.37_R2	79.32687926228341	43.0	101.0	27.27272727272727	47446281.0
NS.1720.004.NEBNext_dual_i7_156---NEBNext_dual_i5_156.38_R1	79.00716776916083	42.0	101.0	27.27272727272727	40331512.0
NS.1720.004.NEBNext_dual_i7_156---NEBNext_dual_i5_156.38_R2	78.2518236284669	43.0	101.0	27.27272727272727	40331512.0
NS.1720.004.NEBNext_dual_i7_157---NEBNext_dual_i5_157.39_R1	77.71353670922616	42.0	101.0	27.27272727272727	39895652.0
NS.1720.004.NEBNext_dual_i7_157---NEBNext_dual_i5_157.39_R2	78.69352795069774	43.0	101.0	27.27272727272727	39895652.0
NS.1720.004.NEBNext_dual_i7_158---NEBNext_dual_i5_158.40_R1	80.13341371150341	43.0	101.0	27.27272727272727	59900061.0
NS.1720.004.NEBNext_dual_i7_158---NEBNext_dual_i5_158.40_R2	79.78953896954363	44.0	101.0	27.27272727272727	59900061.0
NS.1720.004.NEBNext_dual_i7_159---NEBNext_dual_i5_159.41_R1	78.8821529639909	44.0	101.0	27.27272727272727	52774892.0
NS.1720.004.NEBNext_dual_i7_159---NEBNext_dual_i5_159.41_R2	79.74048851649798	45.0	101.0	27.27272727272727	52774892.0
NS.1720.004.NEBNext_dual_i7_160---NEBNext_dual_i5_160.42_R1	78.80134723173505	43.0	101.0	27.27272727272727	47591460.0
NS.1720.004.NEBNext_dual_i7_160---NEBNext_dual_i5_160.42_R2	79.23985718386633	44.0	101.0	27.27272727272727	47591460.0
NS.1720.004.NEBNext_dual_i7_161---NEBNext_dual_i5_161.27_R1	78.93080407994466	43.0	101.0	27.27272727272727	50091898.0
NS.1720.004.NEBNext_dual_i7_161---NEBNext_dual_i5_161.27_R2	79.06205466031484	43.0	101.0	27.27272727272727	50091898.0
NS.1720.004.NEBNext_dual_i7_162---NEBNext_dual_i5_162.28_R1	78.30642268846637	43.0	101.0	27.27272727272727	48653884.0
NS.1720.004.NEBNext_dual_i7_162---NEBNext_dual_i5_162.28_R2	78.56920982754349	44.0	101.0	27.27272727272727	48653884.0
NS.1720.004.NEBNext_dual_i7_163---NEBNext_dual_i5_163.29_R1	80.68033973458066	43.0	101.0	27.27272727272727	60089830.0
NS.1720.004.NEBNext_dual_i7_163---NEBNext_dual_i5_163.29_R2	81.60383670570117	44.0	101.0	27.27272727272727	60089830.0
NS.1720.004.NEBNext_dual_i7_164---NEBNext_dual_i5_164.30_R1	77.42044320824529	43.0	101.0	27.27272727272727	41469684.0
NS.1720.004.NEBNext_dual_i7_164---NEBNext_dual_i5_164.30_R2	78.36591641108758	44.0	101.0	27.27272727272727	41469684.0
NS.1720.004.NEBNext_dual_i7_165---NEBNext_dual_i5_165.31_R1	80.85019043004743	42.0	101.0	27.27272727272727	50842951.0
NS.1720.004.NEBNext_dual_i7_165---NEBNext_dual_i5_165.31_R2	80.07356423110507	44.0	101.0	27.27272727272727	50842951.0
NS.1720.004.NEBNext_dual_i7_166---NEBNext_dual_i5_166.32_R1	79.10120118156148	43.0	101.0	27.27272727272727	43527716.0
NS.1720.004.NEBNext_dual_i7_166---NEBNext_dual_i5_166.32_R2	79.45360519936573	44.0	101.0	27.27272727272727	43527716.0
NS.1720.004.NEBNext_dual_i7_167---NEBNext_dual_i5_167.33_R1	79.92006530587825	43.0	101.0	27.27272727272727	46825271.0
NS.1720.004.NEBNext_dual_i7_167---NEBNext_dual_i5_167.33_R2	80.40347370492219	44.0	101.0	27.27272727272727	46825271.0
NS.1720.004.NEBNext_dual_i7_168---NEBNext_dual_i5_168.34_R1	80.79434437951014	42.0	101.0	27.27272727272727	57881470.0
NS.1720.004.NEBNext_dual_i7_168---NEBNext_dual_i5_168.34_R2	80.25754627677475	44.0	101.0	27.27272727272727	57881470.0
NS.1720.004.NEBNext_dual_i7_169---NEBNext_dual_i5_169.19_R1	82.7028974648504	42.0	101.0	27.27272727272727	43208193.0
NS.1720.004.NEBNext_dual_i7_169---NEBNext_dual_i5_169.19_R2	81.52935820820737	44.0	101.0	27.27272727272727	43208193.0
NS.1720.004.NEBNext_dual_i7_170---NEBNext_dual_i5_170.20_R1	80.16137432697748	45.0	101.0	27.27272727272727	41880735.0
NS.1720.004.NEBNext_dual_i7_170---NEBNext_dual_i5_170.20_R2	80.39350879453018	46.0	101.0	27.27272727272727	41880735.0
NS.1720.004.NEBNext_dual_i7_171---NEBNext_dual_i5_171.21_R1	80.43157207993342	44.0	101.0	27.27272727272727	45066582.0
NS.1720.004.NEBNext_dual_i7_171---NEBNext_dual_i5_171.21_R2	80.97405062743464	45.0	101.0	27.27272727272727	45066582.0
NS.1720.004.NEBNext_dual_i7_172---NEBNext_dual_i5_172.22_R1	81.01251967305049	43.0	101.0	27.27272727272727	41432093.0
NS.1720.004.NEBNext_dual_i7_172---NEBNext_dual_i5_172.22_R2	81.46002179339128	45.0	101.0	27.27272727272727	41432093.0
NS.1720.004.NEBNext_dual_i7_173---NEBNext_dual_i5_173.23_R1	78.86773169802201	46.0	101.0	27.27272727272727	47477480.0
NS.1720.004.NEBNext_dual_i7_173---NEBNext_dual_i5_173.23_R2	79.53695771044144	47.0	101.0	27.27272727272727	47477480.0
NS.1720.004.NEBNext_dual_i7_174---NEBNext_dual_i5_174.24_R1	78.77849502165981	45.0	101.0	27.27272727272727	41259307.0
NS.1720.004.NEBNext_dual_i7_174---NEBNext_dual_i5_174.24_R2	79.37149427206678	46.0	101.0	27.27272727272727	41259307.0
NS.1720.004.NEBNext_dual_i7_175---NEBNext_dual_i5_175.25_R1	77.1911932100505	42.0	101.0	27.27272727272727	39677452.0
NS.1720.004.NEBNext_dual_i7_175---NEBNext_dual_i5_175.25_R2	77.80894527953501	43.0	101.0	27.27272727272727	39677452.0
NS.1720.004.NEBNext_dual_i7_176---NEBNext_dual_i5_176.26_R1	79.22938409236995	42.0	101.0	27.27272727272727	42741414.0
NS.1720.004.NEBNext_dual_i7_176---NEBNext_dual_i5_176.26_R2	79.32528011330379	43.0	101.0	27.27272727272727	42741414.0
NS.1720.004.NEBNext_dual_i7_177---NEBNext_dual_i5_177.11_R1	80.87594239492697	44.0	101.0	27.27272727272727	45042789.0
NS.1720.004.NEBNext_dual_i7_177---NEBNext_dual_i5_177.11_R2	81.50313757593196	45.0	101.0	27.27272727272727	45042789.0
NS.1720.004.NEBNext_dual_i7_178---NEBNext_dual_i5_178.12_R1	79.74287638531689	44.0	101.0	27.27272727272727	41605661.0
NS.1720.004.NEBNext_dual_i7_178---NEBNext_dual_i5_178.12_R2	80.56065793634995	45.0	101.0	27.27272727272727	41605661.0
NS.1720.004.NEBNext_dual_i7_179---NEBNext_dual_i5_179.13_R1	79.8480193709908	44.0	101.0	27.27272727272727	51721735.0
NS.1720.004.NEBNext_dual_i7_179---NEBNext_dual_i5_179.13_R2	80.73390752380699	45.0	101.0	27.27272727272727	51721735.0
NS.1720.004.NEBNext_dual_i7_180---NEBNext_dual_i5_180.14_R1	79.06596272457244	44.0	101.0	27.27272727272727	44184908.0
NS.1720.004.NEBNext_dual_i7_180---NEBNext_dual_i5_180.14_R2	79.81686312815566	45.0	101.0	27.27272727272727	44184908.0
NS.1720.004.NEBNext_dual_i7_181---NEBNext_dual_i5_181.15_R1	82.54335997035685	42.0	101.0	27.27272727272727	53946460.0
NS.1720.004.NEBNext_dual_i7_181---NEBNext_dual_i5_181.15_R2	81.98871321445154	43.0	101.0	27.27272727272727	53946460.0
NS.1720.004.NEBNext_dual_i7_182---NEBNext_dual_i5_182.16_R1	81.58911324398906	45.0	101.0	27.27272727272727	58524390.0
NS.1720.004.NEBNext_dual_i7_182---NEBNext_dual_i5_182.16_R2	82.25531325774729	46.0	101.0	27.27272727272727	58524390.0
NS.1720.004.NEBNext_dual_i7_183---NEBNext_dual_i5_183.17_R1	80.19281424996635	45.0	101.0	27.27272727272727	45843626.0
NS.1720.004.NEBNext_dual_i7_183---NEBNext_dual_i5_183.17_R2	79.46976733668077	46.0	101.0	27.27272727272727	45843626.0
NS.1720.004.NEBNext_dual_i7_184---NEBNext_dual_i5_184.18_R1	79.87283482411398	45.0	101.0	27.27272727272727	52984573.0
NS.1720.004.NEBNext_dual_i7_184---NEBNext_dual_i5_184.18_R2	80.91110218900808	46.0	101.0	27.27272727272727	52984573.0
NS.1720.004.NEBNext_dual_i7_185---NEBNext_dual_i5_185.2_R1	82.108931904571	40.0	101.0	36.36363636363637	42138694.0
NS.1720.004.NEBNext_dual_i7_185---NEBNext_dual_i5_185.2_R2	81.81315213683372	42.0	101.0	27.27272727272727	42138694.0
NS.1720.004.NEBNext_dual_i7_186---NEBNext_dual_i5_186.4_R1	81.35868232567987	44.0	101.0	27.27272727272727	37979162.0
NS.1720.004.NEBNext_dual_i7_186---NEBNext_dual_i5_186.4_R2	81.58312548178006	45.0	101.0	27.27272727272727	37979162.0
NS.1720.004.NEBNext_dual_i7_187---NEBNext_dual_i5_187.5_R1	82.63468650253355	45.0	101.0	27.27272727272727	60770715.0
NS.1720.004.NEBNext_dual_i7_187---NEBNext_dual_i5_187.5_R2	82.84786292577537	47.0	101.0	27.27272727272727	60770715.0
NS.1720.004.NEBNext_dual_i7_188---NEBNext_dual_i5_188.6_R1	81.19875196963082	43.0	101.0	27.27272727272727	42967980.0
NS.1720.004.NEBNext_dual_i7_188---NEBNext_dual_i5_188.6_R2	81.18552356303219	44.0	101.0	27.27272727272727	42967980.0
NS.1720.004.NEBNext_dual_i7_189---NEBNext_dual_i5_189.7_R1	82.44579054231214	45.0	101.0	27.27272727272727	54045648.0
NS.1720.004.NEBNext_dual_i7_189---NEBNext_dual_i5_189.7_R2	82.34099638414455	46.0	101.0	27.27272727272727	54045648.0
NS.1720.004.NEBNext_dual_i7_190---NEBNext_dual_i5_190.8_R1	82.7841223820161	43.0	101.0	27.27272727272727	51238898.0
NS.1720.004.NEBNext_dual_i7_190---NEBNext_dual_i5_190.8_R2	82.80598749389242	45.0	101.0	27.27272727272727	51238898.0
NS.1720.004.NEBNext_dual_i7_191---NEBNext_dual_i5_191.9_R1	81.92906333653191	44.0	101.0	27.27272727272727	49235815.0
