Sample	Top over-represented sequence	Sum of remaining over-represented sequences
AS_C_L1_F_S_S2_L004_R1_PE	0.7507972203461699	7.840687939654602
AS_C_L1_F_S_S2_L004_R2_PE	0.2745175317995221	5.140801385388519
AS_C_L1_F_S_S3_L002_R1_PE	0.44452044548033487	2.842423354078644
AS_C_L1_F_S_S3_L002_R2_PE	0.21143502733582173	1.604599149359721
AS_C_L1_F_V_S1_L004_R1_PE	0.8895463030309543	8.609994312454258
AS_C_L1_F_V_S1_L004_R2_PE	0.30408167851376566	5.742970372782041
AS_C_L1_F_V_S2_L004_R1_PE	0.6221392420730246	4.585733268308012
AS_C_L1_F_V_S2_L004_R2_PE	0.22417397660655108	2.8336977392360745
AS_C_L1_F_V_S3_L002_R1_PE	0.7154776150305177	4.6725313890978075
AS_C_L1_F_V_S3_L002_R2_PE	0.1978950237175302	3.1392392001063665
AS_C_L1_M_S_S1_L004_R1_PE	0.6103454927072957	5.016807477516354
AS_C_L1_M_S_S1_L004_R2_PE	0.24529247658123107	3.0241375160741804
AS_C_L1_M_S_S2_L002_R1_PE	0.6589230761330213	5.64176989813582
AS_C_L1_M_S_S2_L002_R2_PE	0.2581936835906792	4.012474756487566
AS_C_L1_M_S_S3_L002_R1_PE	0.6100640456333007	5.057932722381817
AS_C_L1_M_S_S3_L002_R2_PE	0.26356541409892165	3.394669239495734
AS_C_L1_M_V_S1_L004_R1_PE	0.6416300582575435	5.719774244236488
AS_C_L1_M_V_S1_L004_R2_PE	0.247704539437607	3.9981381485667162
AS_C_L1_M_V_S2_L002_R1_PE	0.6629184088828552	5.761900708843841
AS_C_L1_M_V_S2_L002_R2_PE	0.25338865218663	3.2730697162631284
AS_C_L1_M_V_S3_L002_R1_PE	0.6813501667253504	5.204062131580463
AS_C_L1_M_V_S3_L002_R2_PE	0.2541459163195276	3.532470486256723
AS_C_L2_F_S_S1_L004_R1_PE	0.709127747386289	5.325442725829294
AS_C_L2_F_S_S1_L004_R2_PE	0.2278425659003657	3.722526609044177
AS_C_L2_F_S_S2_L004_R1_PE	0.5749432941568486	4.181454483994512
AS_C_L2_F_S_S2_L004_R2_PE	0.21011149728559952	2.497991911055017
AS_C_L2_F_S_S3_L002_R1_PE	0.5797665093176424	3.0921455195652525
AS_C_L2_F_S_S3_L002_R2_PE	0.17345713249166791	1.9045306320682713
AS_C_L2_F_V_S1_L004_R1_PE	0.5071172363954187	3.754605810846197
AS_C_L2_F_V_S1_L004_R2_PE	0.20580936206595718	1.7035637517886648
AS_C_L2_F_V_S2_L004_R1_PE	0.48313102488336845	3.3487533067933795
AS_C_L2_F_V_S2_L004_R2_PE	0.23179452428182765	2.0928464081747182
AS_C_L2_F_V_S3_L002_R1_PE	0.7150295494104653	4.997872896653981
AS_C_L2_F_V_S3_L002_R2_PE	0.2015146833945149	3.1583959653613305
AS_C_L2_M_S_S1_L004_R1_PE	0.5883686400574322	3.913118454368976
AS_C_L2_M_S_S1_L004_R2_PE	0.19846071799927417	2.3483456382705366
AS_C_L2_M_S_S2_L002_R1_PE	0.5815803152938737	3.4275356531263217
AS_C_L2_M_S_S2_L002_R2_PE	0.17782965973276935	1.9516641743299465
AS_C_L2_M_S_S3_L002_R1_PE	0.464463841001678	2.685449611109683
AS_C_L2_M_S_S3_L002_R2_PE	0.20281429025221176	1.4472507390839744
