Sample	Unique Reads	Duplicate Reads
AS_C_L1_F_S_S2_L004_R1_PE	9419692.0	43076773.0
AS_C_L1_F_S_S2_L004_R2_PE	9111315.0	43385150.0
AS_C_L1_F_S_S3_L002_R1_PE	8676334.0	31036575.0
AS_C_L1_F_S_S3_L002_R2_PE	8036522.0	31676387.0
AS_C_L1_F_V_S1_L004_R1_PE	9386076.0	43480312.0
AS_C_L1_F_V_S1_L004_R2_PE	9296685.0	43569703.0
AS_C_L1_F_V_S2_L004_R1_PE	8778392.0	35901638.0
AS_C_L1_F_V_S2_L004_R2_PE	8141726.0	36538304.0
AS_C_L1_F_V_S3_L002_R1_PE	7217343.0	30576432.0
AS_C_L1_F_V_S3_L002_R2_PE	6761316.0	31032459.0
AS_C_L1_M_S_S1_L004_R1_PE	10518922.0	38966493.0
AS_C_L1_M_S_S1_L004_R2_PE	10290140.0	39195275.0
AS_C_L1_M_S_S2_L002_R1_PE	8523322.0	28864502.0
AS_C_L1_M_S_S2_L002_R2_PE	8055172.0	29332652.0
AS_C_L1_M_S_S3_L002_R1_PE	9435348.0	34246787.0
AS_C_L1_M_S_S3_L002_R2_PE	8888088.0	34794047.0
AS_C_L1_M_V_S1_L004_R1_PE	8841620.0	30188347.0
AS_C_L1_M_V_S1_L004_R2_PE	8323741.0	30706226.0
AS_C_L1_M_V_S2_L002_R1_PE	9528976.0	38982273.0
AS_C_L1_M_V_S2_L002_R2_PE	8858083.0	39653166.0
AS_C_L1_M_V_S3_L002_R1_PE	7667277.0	29353188.0
AS_C_L1_M_V_S3_L002_R2_PE	7277045.0	29743420.0
AS_C_L2_F_S_S1_L004_R1_PE	8049971.0	34328853.0
AS_C_L2_F_S_S1_L004_R2_PE	7912748.0	34466076.0
AS_C_L2_F_S_S2_L004_R1_PE	7302168.0	25919717.0
AS_C_L2_F_S_S2_L004_R2_PE	7119712.0	26102173.0
AS_C_L2_F_S_S3_L002_R1_PE	7453058.0	30827870.0
AS_C_L2_F_S_S3_L002_R2_PE	7050376.0	31230552.0
AS_C_L2_F_V_S1_L004_R1_PE	10603701.0	41143702.0
AS_C_L2_F_V_S1_L004_R2_PE	9819714.0	41927689.0
AS_C_L2_F_V_S2_L004_R1_PE	8478040.0	28396429.0
AS_C_L2_F_V_S2_L004_R2_PE	7881911.0	28992558.0
AS_C_L2_F_V_S3_L002_R1_PE	8104783.0	34518910.0
AS_C_L2_F_V_S3_L002_R2_PE	7468814.0	35154879.0
AS_C_L2_M_S_S1_L004_R1_PE	9333293.0	31630481.0
AS_C_L2_M_S_S1_L004_R2_PE	8787351.0	32176423.0
AS_C_L2_M_S_S2_L002_R1_PE	8697451.0	31844155.0
AS_C_L2_M_S_S2_L002_R2_PE	8071337.0	32470269.0
AS_C_L2_M_S_S3_L002_R1_PE	9786168.0	31592080.0
AS_C_L2_M_S_S3_L002_R2_PE	9817885.0	31560363.0
AS_C_L2_M_V_S1_L004_R1_PE	10035043.0	36639554.0
AS_C_L2_M_V_S1_L004_R2_PE	9665794.0	37008803.0
AS_C_L2_M_V_S2_L002_R1_PE	8637260.0	32905988.0
AS_C_L2_M_V_S2_L002_R2_PE	7950670.0	33592578.0
AS_C_L2_M_V_S3_L002_R1_PE	10192623.0	32654675.0
AS_C_L2_M_V_S3_L002_R2_PE	9433280.0	33414018.0
AS_C_L3_F_S_S1_L004_R1_PE	8858205.0	39732258.0
AS_C_L3_F_S_S1_L004_R2_PE	8141605.0	40448858.0
AS_C_L3_F_S_S2_L004_R1_PE	8438106.0	32371946.0
AS_C_L3_F_S_S2_L004_R2_PE	7806796.0	33003256.0
AS_C_L3_F_S_S3_L002_R1_PE	7814602.0	31524703.0
AS_C_L3_F_S_S3_L002_R2_PE	7140997.0	32198308.0
AS_C_L3_F_V_S1_L004_R1_PE	8773275.0	35642059.0
AS_C_L3_F_V_S1_L004_R2_PE	8291508.0	36123826.0
AS_C_L3_F_V_S2_L004_R1_PE	8825375.0	33531092.0
AS_C_L3_F_V_S2_L004_R2_PE	8160846.0	34195621.0
AS_C_L3_F_V_S3_L002_R1_PE	8645621.0	31911846.0
AS_C_L3_F_V_S3_L002_R2_PE	8204470.0	32352997.0
AS_C_L3_M_S_S1_L004_R1_PE	9342261.0	36749314.0
AS_C_L3_M_S_S1_L004_R2_PE	8945501.0	37146074.0
AS_C_L3_M_S_S2_L002_R1_PE	9668914.0	35404470.0
AS_C_L3_M_S_S2_L002_R2_PE	8946840.0	36126544.0
AS_C_L3_M_S_S3_L002_R1_PE	9353883.0	30677996.0
AS_C_L3_M_S_S3_L002_R2_PE	8643523.0	31388356.0
AS_C_L3_M_V_S1_L004_R1_PE	10988448.0	39724817.0
AS_C_L3_M_V_S1_L004_R2_PE	10541092.0	40172173.0
AS_C_L3_M_V_S2_L002_R1_PE	7981967.0	33336136.0
AS_C_L3_M_V_S2_L002_R2_PE	7452259.0	33865844.0
AS_C_L3_M_V_S3_L002_R1_PE	8187676.0	31586531.0
AS_C_L3_M_V_S3_L002_R2_PE	8029529.0	31744678.0
AS_C_L4_F_S_S1_L004_R1_PE	8386456.0	32559130.0
AS_C_L4_F_S_S1_L004_R2_PE	7907396.0	33038190.0
AS_C_L4_F_S_S2_L004_R1_PE	8998444.0	30460943.0
AS_C_L4_F_S_S2_L004_R2_PE	8464523.0	30994864.0
AS_C_L4_F_S_S3_L002_R1_PE	8797223.0	33186564.0
AS_C_L4_F_S_S3_L002_R2_PE	8433230.0	33550557.0
AS_C_L4_F_V_S1_L004_R1_PE	8711915.0	31932269.0
AS_C_L4_F_V_S1_L004_R2_PE	8323188.0	32320996.0
AS_C_L4_F_V_S2_L002_R1_PE	8836712.0	33262938.0
AS_C_L4_F_V_S2_L002_R2_PE	8183301.0	33916349.0
AS_C_L4_F_V_S3_L002_R1_PE	8129214.0	37571159.0
AS_C_L4_F_V_S3_L002_R2_PE	7609640.0	38090733.0
AS_C_L4_M_S_S1_L004_R1_PE	9015516.0	35418376.0
AS_C_L4_M_S_S1_L004_R2_PE	8481758.0	35952134.0
AS_C_L4_M_S_S2_L002_R1_PE	9482205.0	33982236.0
AS_C_L4_M_S_S2_L002_R2_PE	8827280.0	34637161.0
AS_C_L4_M_S_S3_L002_R1_PE	10229634.0	43154309.0
AS_C_L4_M_S_S3_L002_R2_PE	9578607.0	43805336.0
AS_C_L4_M_V_S1_L004_R1_PE	9215212.0	34562821.0
AS_C_L4_M_V_S1_L004_R2_PE	9032451.0	34745582.0
AS_C_L4_M_V_S2_L002_R1_PE	8755542.0	31008722.0
AS_C_L4_M_V_S2_L002_R2_PE	8208738.0	31555526.0
AS_C_L4_M_V_S3_L002_R1_PE	8243530.0	32601773.0
AS_C_L4_M_V_S3_L002_R2_PE	7998887.0	32846416.0
AS_D_L1_F_S_S1_L004_R1_PE	7515482.0	33442945.0
AS_D_L1_F_S_S1_L004_R2_PE	7156588.0	33801839.0
AS_D_L1_F_S_S2_L004_R1_PE	9063172.0	34599134.0
AS_D_L1_F_S_S2_L004_R2_PE	8673386.0	34988920.0
AS_D_L1_F_S_S3_L002_R1_PE	8578474.0	37319361.0
AS_D_L1_F_S_S3_L002_R2_PE	7839169.0	38058666.0
AS_D_L1_F_V_S1_L004_R1_PE	9216055.0	34428333.0
AS_D_L1_F_V_S1_L004_R2_PE	8687935.0	34956453.0
AS_D_L1_F_V_S2_L004_R1_PE	8488758.0	36253609.0
AS_D_L1_F_V_S2_L004_R2_PE	8068304.0	36674063.0
AS_D_L1_F_V_S3_L002_R1_PE	8524525.0	30825985.0
AS_D_L1_F_V_S3_L002_R2_PE	8037532.0	31312978.0
AS_D_L1_M_S_S1_L004_R1_PE	8826018.0	32926443.0
AS_D_L1_M_S_S1_L004_R2_PE	8575043.0	33177418.0
AS_D_L1_M_S_S2_L002_R1_PE	8481736.0	30147390.0
AS_D_L1_M_S_S2_L002_R2_PE	7887315.0	30741811.0
AS_D_L1_M_S_S3_L002_R1_PE	8931783.0	36172406.0
AS_D_L1_M_S_S3_L002_R2_PE	8429281.0	36674908.0
AS_D_L1_M_V_S1_L004_R1_PE	8437031.0	31000993.0
AS_D_L1_M_V_S1_L004_R2_PE	8516724.0	30921300.0
AS_D_L1_M_V_S2_L002_R1_PE	9295883.0	34440853.0
AS_D_L1_M_V_S2_L002_R2_PE	8700807.0	35035929.0
AS_D_L1_M_V_S3_L002_R1_PE	9694539.0	38839066.0
AS_D_L1_M_V_S3_L002_R2_PE	9161119.0	39372486.0
AS_D_L2_F_S_S1_L004_R1_PE	10540070.0	49390883.0
AS_D_L2_F_S_S1_L004_R2_PE	10301881.0	49629072.0
AS_D_L2_F_S_S2_L004_R1_PE	8239842.0	29449537.0
AS_D_L2_F_S_S2_L004_R2_PE	7872241.0	29817138.0
AS_D_L2_F_S_S3_L002_R1_PE	8824055.0	34088403.0
AS_D_L2_F_S_S3_L002_R2_PE	8292598.0	34619860.0
AS_D_L2_F_V_S1_L004_R1_PE	9034846.0	36111686.0
AS_D_L2_F_V_S1_L004_R2_PE	9176411.0	35970121.0
AS_D_L2_F_V_S2_L004_R1_PE	6892397.0	26175997.0
AS_D_L2_F_V_S2_L004_R2_PE	6635368.0	26433026.0
AS_D_L2_F_V_S3_L002_R1_PE	8696887.0	36080258.0
AS_D_L2_F_V_S3_L002_R2_PE	8084964.0	36692181.0
AS_D_L2_M_S_S1_L004_R1_PE	11574774.0	47684220.0
AS_D_L2_M_S_S1_L004_R2_PE	10702517.0	48556477.0
AS_D_L2_M_S_S2_L002_R1_PE	10153983.0	33687363.0
AS_D_L2_M_S_S2_L002_R2_PE	9561942.0	34279404.0
AS_D_L2_M_S_S3_L002_R1_PE	8890165.0	30626190.0
AS_D_L2_M_S_S3_L002_R2_PE	8332327.0	31184028.0
AS_D_L2_M_V_S1_L004_R1_PE	11093540.0	40972666.0
AS_D_L2_M_V_S1_L004_R2_PE	10481522.0	41584684.0
AS_D_L2_M_V_S2_L002_R1_PE	8475442.0	32813456.0
AS_D_L2_M_V_S2_L002_R2_PE	7927500.0	33361398.0
AS_D_L2_M_V_S3_L002_R1_PE	7941528.0	36259063.0
AS_D_L2_M_V_S3_L002_R2_PE	7451432.0	36749159.0
AS_D_L3_F_S_S1_L004_R1_PE	8790614.0	41458950.0
AS_D_L3_F_S_S1_L004_R2_PE	8458214.0	41791350.0
AS_D_L3_F_S_S2_L004_R1_PE	8719358.0	33196867.0
AS_D_L3_F_S_S2_L004_R2_PE	8237403.0	33678822.0
AS_D_L3_F_S_S3_L002_R1_PE	8208208.0	33867559.0
AS_D_L3_F_S_S3_L002_R2_PE	7641656.0	34434111.0
AS_D_L3_F_V_S1_L004_R1_PE	8275170.0	33013442.0
AS_D_L3_F_V_S1_L004_R2_PE	7953830.0	33334782.0
AS_D_L3_F_V_S2_L004_R1_PE	8554131.0	28571519.0
AS_D_L3_F_V_S2_L004_R2_PE	8104854.0	29020796.0
AS_D_L3_F_V_S3_L002_R1_PE	8140034.0	34092779.0
AS_D_L3_F_V_S3_L002_R2_PE	7571550.0	34661263.0
AS_D_L3_M_S_S1_L004_R1_PE	9051594.0	33631740.0
AS_D_L3_M_S_S1_L004_R2_PE	8611364.0	34071970.0
AS_D_L3_M_S_S2_L002_R1_PE	9943745.0	36464350.0
AS_D_L3_M_S_S2_L002_R2_PE	9047809.0	37360286.0
AS_D_L3_M_S_S3_L002_R1_PE	8155827.0	27010632.0
AS_D_L3_M_S_S3_L002_R2_PE	7623154.0	27543305.0
AS_D_L3_M_V_S1_L004_R1_PE	9788976.0	30792726.0
AS_D_L3_M_V_S1_L004_R2_PE	9121364.0	31460338.0
AS_D_L3_M_V_S2_L002_R1_PE	6693073.0	36984016.0
AS_D_L3_M_V_S2_L002_R2_PE	6257528.0	37419561.0
AS_D_L3_M_V_S3_L002_R1_PE	8523484.0	37561569.0
AS_D_L3_M_V_S3_L002_R2_PE	8046155.0	38038898.0
AS_D_L4_F_S_S1_L004_R1_PE	8566946.0	35831324.0
AS_D_L4_F_S_S1_L004_R2_PE	8165217.0	36233053.0
AS_D_L4_F_S_S2_L004_R1_PE	7565551.0	28574762.0
AS_D_L4_F_S_S2_L004_R2_PE	7233416.0	28906897.0
AS_D_L4_F_S_S3_L002_R1_PE	7920784.0	37370997.0
AS_D_L4_F_S_S3_L002_R2_PE	7256030.0	38035751.0
AS_D_L4_F_V_S1_L004_R1_PE	9997240.0	36680964.0
AS_D_L4_F_V_S1_L004_R2_PE	9366399.0	37311805.0
AS_D_L4_F_V_S2_L004_R1_PE	9466658.0	34007911.0
AS_D_L4_F_V_S2_L004_R2_PE	8580669.0	34893900.0
AS_D_L4_F_V_S3_L002_R1_PE	7849601.0	33895934.0
AS_D_L4_F_V_S3_L002_R2_PE	7335740.0	34409795.0
AS_D_L4_M_S_S1_L004_R1_PE	9158931.0	33874378.0
AS_D_L4_M_S_S1_L004_R2_PE	8904385.0	34128924.0
AS_D_L4_M_S_S2_L004_R1_PE	9488948.0	30147943.0
AS_D_L4_M_S_S2_L004_R2_PE	9133906.0	30502985.0
AS_D_L4_M_S_S3_L002_R1_PE	9279235.0	31229686.0
AS_D_L4_M_S_S3_L002_R2_PE	8801826.0	31707095.0
AS_D_L4_M_V_S1_L004_R1_PE	9915565.0	34460109.0
AS_D_L4_M_V_S1_L004_R2_PE	9309039.0	35066635.0
AS_D_L4_M_V_S2_L002_R1_PE	8874033.0	32381718.0
AS_D_L4_M_V_S2_L002_R2_PE	8143100.0	33112651.0
AS_D_L4_M_V_S3_L002_R1_PE	7975460.0	29373558.0
AS_D_L4_M_V_S3_L002_R2_PE	7570507.0	29778511.0
AS_U_L1_F_S_S2_L004_R1_PE	7661445.0	25379476.0
AS_U_L1_F_S_S2_L004_R2_PE	7077045.0	25963876.0
AS_U_L1_F_S_S3_L002_R1_PE	8794505.0	34225363.0
AS_U_L1_F_S_S3_L002_R2_PE	8367824.0	34652044.0
AS_U_L1_F_V_S1_L004_R1_PE	10382903.0	40676180.0
AS_U_L1_F_V_S1_L004_R2_PE	9751805.0	41307278.0
AS_U_L1_F_V_S2_L004_R1_PE	8930711.0	35966230.0
AS_U_L1_F_V_S2_L004_R2_PE	8551518.0	36345423.0
AS_U_L1_F_V_S3_L002_R1_PE	8574107.0	32357817.0
AS_U_L1_F_V_S3_L002_R2_PE	8187232.0	32744692.0
AS_U_L1_M_S_S1_L004_R1_PE	9004126.0	30007536.0
AS_U_L1_M_S_S1_L004_R2_PE	8558997.0	30452665.0
AS_U_L1_M_S_S2_L002_R1_PE	9085364.0	29720663.0
AS_U_L1_M_S_S2_L002_R2_PE	8417513.0	30388514.0
AS_U_L1_M_S_S3_L002_R1_PE	8362145.0	29513590.0
AS_U_L1_M_S_S3_L002_R2_PE	7829827.0	30045908.0
AS_U_L1_M_V_S1_L004_R1_PE	9964587.0	36556270.0
AS_U_L1_M_V_S1_L004_R2_PE	9500921.0	37019936.0
AS_U_L1_M_V_S2_L002_R1_PE	8669597.0	33535882.0
AS_U_L1_M_V_S2_L002_R2_PE	8346472.0	33859007.0
AS_U_L1_M_V_S3_L002_R1_PE	8428440.0	31373787.0
AS_U_L1_M_V_S3_L002_R2_PE	8009123.0	31793104.0
AS_U_L2_F_S_S1_L004_R1_PE	7039982.0	30032648.0
AS_U_L2_F_S_S1_L004_R2_PE	6696039.0	30376591.0
AS_U_L2_F_S_S2_L004_R1_PE	8392839.0	32714478.0
AS_U_L2_F_S_S2_L004_R2_PE	7884491.0	33222826.0
AS_U_L2_F_S_S3_L002_R1_PE	7373500.0	34653718.0
AS_U_L2_F_S_S3_L002_R2_PE	6842241.0	35184977.0
AS_U_L2_F_V_S1_L004_R1_PE	10730373.0	46898402.0
