Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
AS_C_L1_F_S_S2_L004_R1_PE	AS_C_L1_F_S_S2_L004_R1_PE.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52496465.0	0.0	36-101	42.0	17.94347772670036	99.8431120647838	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
AS_C_L1_F_S_S2_L004_R2_PE	AS_C_L1_F_S_S2_L004_R2_PE.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52496465.0	0.0	36-101	42.0	17.35605391919367	99.83299553598513	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
AS_C_L1_F_S_S3_L002_R1_PE	AS_C_L1_F_S_S3_L002_R1_PE.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39712909.0	0.0	36-101	45.0	21.847640040045295	99.91218608538598	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
AS_C_L1_F_S_S3_L002_R2_PE	AS_C_L1_F_S_S3_L002_R2_PE.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39712909.0	0.0	36-101	45.0	20.23654620602555	99.88512067952514	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
AS_C_L1_F_V_S1_L004_R1_PE	AS_C_L1_F_V_S1_L004_R1_PE.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52866388.0	0.0	36-101	42.0	17.754335008366752	99.83944308811111	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
AS_C_L1_F_V_S1_L004_R2_PE	AS_C_L1_F_V_S1_L004_R2_PE.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52866388.0	0.0	36-101	43.0	17.585246734811218	99.81459478563204	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
AS_C_L1_F_V_S2_L004_R1_PE	AS_C_L1_F_V_S2_L004_R1_PE.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44680030.0	0.0	36-101	44.0	19.647236668072782	99.85394154838302	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
AS_C_L1_F_V_S2_L004_R2_PE	AS_C_L1_F_V_S2_L004_R2_PE.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44680030.0	0.0	36-101	44.0	18.22229219208627	99.83671161366722	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
AS_C_L1_F_V_S3_L002_R1_PE	AS_C_L1_F_V_S3_L002_R1_PE.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37793775.0	0.0	36-101	43.0	19.096644623260943	99.8955084534424	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
AS_C_L1_F_V_S3_L002_R2_PE	AS_C_L1_F_V_S3_L002_R2_PE.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37793775.0	0.0	36-101	44.0	17.89002502193786	99.88466587420812	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
