Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
AS_C_L1_F_S_S2_L004_R1_PE	82.05652227329963	42.0	99.8431120647838	27.27272727272727	52496465.0
AS_C_L1_F_S_S2_L004_R2_PE	82.64394608080633	42.0	99.83299553598513	27.27272727272727	52496465.0
AS_C_L1_F_S_S3_L002_R1_PE	78.15235995995471	45.0	99.91218608538598	27.27272727272727	39712909.0
AS_C_L1_F_S_S3_L002_R2_PE	79.76345379397445	45.0	99.88512067952514	27.27272727272727	39712909.0
AS_C_L1_F_V_S1_L004_R1_PE	82.24566499163325	42.0	99.83944308811111	27.27272727272727	52866388.0
AS_C_L1_F_V_S1_L004_R2_PE	82.41475326518878	43.0	99.81459478563204	27.27272727272727	52866388.0
AS_C_L1_F_V_S2_L004_R1_PE	80.35276333192722	44.0	99.85394154838302	27.27272727272727	44680030.0
AS_C_L1_F_V_S2_L004_R2_PE	81.77770780791373	44.0	99.83671161366722	27.27272727272727	44680030.0
AS_C_L1_F_V_S3_L002_R1_PE	80.90335537673906	43.0	99.8955084534424	27.27272727272727	37793775.0
AS_C_L1_F_V_S3_L002_R2_PE	82.10997497806214	44.0	99.88466587420812	27.27272727272727	37793775.0
AS_C_L1_M_S_S1_L004_R1_PE	78.74339039516984	43.0	99.86631535776753	27.27272727272727	49485415.0
AS_C_L1_M_S_S1_L004_R2_PE	79.20571167845925	43.0	99.83410906021501	27.27272727272727	49485415.0
AS_C_L1_M_S_S2_L002_R1_PE	77.20294804563997	42.0	99.90239351720496	27.27272727272727	37387824.0
AS_C_L1_M_S_S2_L002_R2_PE	78.45509328780844	43.0	99.87949777446262	27.27272727272727	37387824.0
AS_C_L1_M_S_S3_L002_R1_PE	78.39998605085671	43.0	99.9063372245885	27.27272727272727	43682135.0
AS_C_L1_M_S_S3_L002_R2_PE	79.65280804461986	43.0	99.88103928528218	27.27272727272727	43682135.0
AS_C_L1_M_V_S1_L004_R1_PE	77.34658820396788	42.0	99.86646399162981	27.27272727272727	39029967.0
AS_C_L1_M_V_S1_L004_R2_PE	78.67346379965038	43.0	99.84062323188743	27.27272727272727	39029967.0
AS_C_L1_M_V_S2_L002_R1_PE	80.35718334925838	42.0	99.91810753006999	27.27272727272727	48511249.0
AS_C_L1_M_V_S2_L002_R2_PE	81.74014697200568	42.0	99.88397462205106	27.27272727272727	48511249.0
AS_C_L1_M_V_S3_L002_R1_PE	79.2890871379303	42.0	99.89285817992833	27.27272727272727	37020465.0
AS_C_L1_M_V_S3_L002_R2_PE	80.34318476556861	43.0	99.85516772952474	27.27272727272727	37020465.0
AS_C_L2_F_S_S1_L004_R1_PE	81.00473335884354	43.0	99.85342231299292	27.27272727272727	42378824.0
AS_C_L2_F_S_S1_L004_R2_PE	81.32853516930578	44.0	99.83463274016287	27.27272727272727	42378824.0
AS_C_L2_F_S_S2_L004_R1_PE	78.020008444095	44.0	99.8655951039503	27.27272727272727	33221885.0
AS_C_L2_F_S_S2_L004_R2_PE	78.56921197469285	45.0	99.83493844494375	27.27272727272727	33221885.0
AS_C_L2_F_S_S3_L002_R1_PE	80.53062441711037	44.0	99.90774732524771	27.27272727272727	38280928.0
AS_C_L2_F_S_S3_L002_R2_PE	81.58253863428882	45.0	99.88452192172562	27.27272727272727	38280928.0
AS_C_L2_F_V_S1_L004_R1_PE	79.50872964419433	45.0	99.8681370734682	27.27272727272727	51747403.0
AS_C_L2_F_V_S1_L004_R2_PE	81.02375543539226	46.0	99.84643770432305	27.27272727272727	51747403.0
AS_C_L2_F_V_S2_L004_R1_PE	77.00837593809786	44.0	99.88153939247233	27.27272727272727	36874469.0
AS_C_L2_F_V_S2_L004_R2_PE	78.6250196122629	45.0	99.86441751879872	27.27272727272727	36874469.0
AS_C_L2_F_V_S3_L002_R1_PE	80.98526366504589	43.0	99.87875700962843	27.27272727272727	42623693.0
AS_C_L2_F_V_S3_L002_R2_PE	82.47732044778283	44.0	99.87648770837384	27.27272727272727	42623693.0
AS_C_L2_M_S_S1_L004_R1_PE	77.21574124040453	43.0	99.86250187787873	27.27272727272727	40963774.0
AS_C_L2_M_S_S1_L004_R2_PE	78.54848517557119	44.0	99.85076384807708	27.27272727272727	40963774.0
AS_C_L2_M_S_S2_L002_R1_PE	78.54685308747946	44.0	99.9082084217384	27.27272727272727	40541606.0
AS_C_L2_M_S_S2_L002_R2_PE	80.09122713179801	44.0	99.88574621340851	27.27272727272727	40541606.0
AS_C_L2_M_S_S3_L002_R1_PE	76.3494890138524	44.0	99.92450661516651	27.27272727272727	41378248.0
AS_C_L2_M_S_S3_L002_R2_PE	76.27283674577448	45.0	99.87256183490418	27.27272727272727	41378248.0
AS_C_L2_M_V_S1_L004_R1_PE	78.49999114803387	43.0	99.86853521199123	27.27272727272727	46674597.0
AS_C_L2_M_V_S1_L004_R2_PE	79.29110510555135	43.0	99.8458997299966	27.27272727272727	46674597.0
AS_C_L2_M_V_S2_L002_R1_PE	79.20899423125559	43.0	99.90844947896227	27.27272727272727	41543248.0
