transcript,geneID,geneName,Comparison
FBtr0310657,FBgn0000667,Actn,AVL
FBtr0308797,FBgn0003435,sm,LVH
FBtr0303148,FBgn0004369,Ptp99A,"AVL,CVL, LVH"
FBtr0082711,FBgn0004666,sim,AVL
FBtr0300462,FBgn0011206,bol,LVH
FBtr0304625,FBgn0011288,Snap25,AVH
FBtr0076843,FBgn0011640,lark,"AVL, CVL"
FBtr0308564,FBgn0016754,sba,CVL
FBtr0082959,FBgn0020299,stumps,LVH
FBtr0334956,FBgn0020299,stumps,"AVH, CVH"
FBtr0071603,FBgn0020306,dom,CVL
FBtr0074441,FBgn0024238,Fim,"AVL, CVL"
FBtr0089112,FBgn0024811,Crk,"AVH, LVH"
FBtr0074175,FBgn0026076,UBL3,AVH
FBtr0331697,FBgn0027539,lili,"CVL, LVH"
FBtr0301950,FBgn0029761,SK,AVH
FBtr0070872,FBgn0029843,Nep1,CVL
FBtr0074759,FBgn0031051,Ranbp21,CVL
FBtr0079841,FBgn0032135,GlcAT-S,LVH
FBtr0080971,FBgn0032629,beat-IIIc,AVL
FBtr0114562,FBgn0033702,CG8854,LVH
FBtr0073150,FBgn0035464,PIG-B,LVH
FBtr0073291,FBgn0035539,slow,AVL
FBtr0345366,FBgn0036342,FBgn0036342,"AVH, CVH"
FBtr0100131,FBgn0038201,PK1-R,LVH
FBtr0083759,FBgn0038704,CG5316,CVL
FBtr0083760,FBgn0038704,CG5316,CVL
FBtr0445726,FBgn0038704,CG5316,CVL
FBtr0083979,FBgn0038842,hdly,LVH
FBtr0339255,FBgn0039223,CG5805,AVL
FBtr0331702,FBgn0039479,CG14257,AVL
FBtr0085387,FBgn0039644,rdog,AVH
FBtr0340387,FBgn0050115,GEFmeso,"AVH, CVH"
FBtr0305675,FBgn0050410,Rpi,LVH
FBtr0085769,FBgn0051005,qless,CVL
FBtr0345211,FBgn0051005,qless,CVL
FBtr0307339,FBgn0051323,FBgn0051323,CVH
FBtr0076277,FBgn0052066,CG32066,AVL
FBtr0100256,FBgn0052333,CG32333,LVH
FBtr0084530,FBgn0053111,FBgn0053111,"AVL, CVL"
FBtr0339824,FBgn0053181,CG33181,AVL
FBtr0112753,FBgn0085478,Zdhhc8,AVL
FBtr0112755,FBgn0085478,Zdhhc8,AVL
FBtr0299843,FBgn0259233,CG42331,AVL
FBtr0305211,FBgn0260442,rhea,AVH
FBtr0339545,FBgn0260499,qvr,CVH
FBtr0344146,FBgn0261509,haf,AVL
FBtr0302919,FBgn0261588,pdm3,AVH
FBtr0087173,FBgn0262511,FBgn0262511,AVH
FBtr0308309,FBgn0263257,Cngl,CVL
FBtr0330278,FBgn0263995,cpo,"AVL, CVL"
FBtr0343552,FBgn0266100,CG44837,AVH
FBtr0343552,FBgn0266100,CG44837,CVH
FBtr0346129,FBgn0267001,Ten-a,AVH
FBtr0084214,FBgn0267385,PyK,AVL
