seqFile,Name
NS.1720.004.NEBNext_dual_i7_185---NEBNext_dual_i5_185.2,AS_D_L1_F_S_S1_L004
NS.1720.004.NEBNext_dual_i7_186---NEBNext_dual_i5_186.4,AS_U_L2_F_S_S1_L004
NS.1720.004.NEBNext_dual_i7_187---NEBNext_dual_i5_187.5,AS_D_L2_F_S_S1_L004
NS.1720.004.NEBNext_dual_i7_188---NEBNext_dual_i5_188.6,AS_C_L2_F_S_S1_L004
NS.1720.004.NEBNext_dual_i7_189---NEBNext_dual_i5_189.7,AS_U_L3_F_S_S1_L004
NS.1720.004.NEBNext_dual_i7_190---NEBNext_dual_i5_190.8,AS_D_L3_F_S_S1_L004
NS.1720.004.NEBNext_dual_i7_191---NEBNext_dual_i5_191.9,AS_C_L3_F_S_S1_L004
NS.1720.004.NEBNext_dual_i7_192---NEBNext_dual_i5_192.10,AS_U_L4_F_S_S1_L004
NS.1720.004.NEBNext_dual_i7_177---NEBNext_dual_i5_177.11,AS_D_L4_F_S_S1_L004
NS.1720.004.NEBNext_dual_i7_178---NEBNext_dual_i5_178.12,AS_C_L4_F_S_S1_L004
NS.1720.004.NEBNext_dual_i7_179---NEBNext_dual_i5_179.13,AS_U_L1_F_V_S1_L004
NS.1720.004.NEBNext_dual_i7_180---NEBNext_dual_i5_180.14,AS_D_L1_F_V_S1_L004
NS.1720.004.NEBNext_dual_i7_181---NEBNext_dual_i5_181.15,AS_C_L1_F_V_S1_L004
NS.1720.004.NEBNext_dual_i7_182---NEBNext_dual_i5_182.16,AS_U_L2_F_V_S1_L004
NS.1720.004.NEBNext_dual_i7_183---NEBNext_dual_i5_183.17,AS_D_L2_F_V_S1_L004
NS.1720.004.NEBNext_dual_i7_184---NEBNext_dual_i5_184.18,AS_C_L2_F_V_S1_L004
NS.1720.004.NEBNext_dual_i7_169---NEBNext_dual_i5_169.19,AS_U_L3_F_V_S1_L004
NS.1720.004.NEBNext_dual_i7_170---NEBNext_dual_i5_170.20,AS_D_L3_F_V_S1_L004
NS.1720.004.NEBNext_dual_i7_171---NEBNext_dual_i5_171.21,AS_C_L3_F_V_S1_L004
NS.1720.004.NEBNext_dual_i7_172---NEBNext_dual_i5_172.22,AS_U_L4_F_V_S1_L004
NS.1720.004.NEBNext_dual_i7_173---NEBNext_dual_i5_173.23,AS_D_L4_F_V_S1_L004
NS.1720.004.NEBNext_dual_i7_174---NEBNext_dual_i5_174.24,AS_C_L4_F_V_S1_L004
NS.1720.004.NEBNext_dual_i7_175---NEBNext_dual_i5_175.25,AS_U_L1_M_S_S1_L004
NS.1720.004.NEBNext_dual_i7_176---NEBNext_dual_i5_176.26,AS_D_L1_M_S_S1_L004
NS.1720.004.NEBNext_dual_i7_161---NEBNext_dual_i5_161.27,AS_C_L1_M_S_S1_L004
NS.1720.004.NEBNext_dual_i7_162---NEBNext_dual_i5_162.28,AS_U_L2_M_S_S1_L004
NS.1720.004.NEBNext_dual_i7_163---NEBNext_dual_i5_163.29,AS_D_L2_M_S_S1_L004
NS.1720.004.NEBNext_dual_i7_164---NEBNext_dual_i5_164.30,AS_C_L2_M_S_S1_L004
NS.1720.004.NEBNext_dual_i7_165---NEBNext_dual_i5_165.31,AS_U_L3_M_S_S1_L004
NS.1720.004.NEBNext_dual_i7_166---NEBNext_dual_i5_166.32,AS_D_L3_M_S_S1_L004
NS.1720.004.NEBNext_dual_i7_167---NEBNext_dual_i5_167.33,AS_C_L3_M_S_S1_L004
NS.1720.004.NEBNext_dual_i7_168---NEBNext_dual_i5_168.34,AS_U_L4_M_S_S1_L004
NS.1720.004.NEBNext_dual_i7_153---NEBNext_dual_i5_153.35,AS_D_L4_M_S_S1_L004
NS.1720.004.NEBNext_dual_i7_154---NEBNext_dual_i5_154.36,AS_C_L4_M_S_S1_L004
NS.1720.004.NEBNext_dual_i7_155---NEBNext_dual_i5_155.37,AS_U_L1_M_V_S1_L004
NS.1720.004.NEBNext_dual_i7_156---NEBNext_dual_i5_156.38,AS_D_L1_M_V_S1_L004
NS.1720.004.NEBNext_dual_i7_157---NEBNext_dual_i5_157.39,AS_C_L1_M_V_S1_L004
NS.1720.004.NEBNext_dual_i7_158---NEBNext_dual_i5_158.40,AS_U_L2_M_V_S1_L004
NS.1720.004.NEBNext_dual_i7_159---NEBNext_dual_i5_159.41,AS_D_L2_M_V_S1_L004
NS.1720.004.NEBNext_dual_i7_160---NEBNext_dual_i5_160.42,AS_C_L2_M_V_S1_L004
NS.1720.004.NEBNext_dual_i7_145---NEBNext_dual_i5_145.43,AS_U_L3_M_V_S1_L004
NS.1720.004.NEBNext_dual_i7_146---NEBNext_dual_i5_146.44,AS_D_L3_M_V_S1_L004
NS.1720.004.NEBNext_dual_i7_147---NEBNext_dual_i5_147.45,AS_C_L3_M_V_S1_L004
NS.1720.004.NEBNext_dual_i7_148---NEBNext_dual_i5_148.46,AS_U_L4_M_V_S1_L004
NS.1720.004.NEBNext_dual_i7_149---NEBNext_dual_i5_149.47,AS_D_L4_M_V_S1_L004
NS.1720.004.NEBNext_dual_i7_150---NEBNext_dual_i5_150.48,AS_C_L4_M_V_S1_L004
NS.1720.004.NEBNext_dual_i7_151---NEBNext_dual_i5_151.49,AS_U_L1_F_S_S2_L004
NS.1720.004.NEBNext_dual_i7_152---NEBNext_dual_i5_152.50,AS_D_L1_F_S_S2_L004
NS.1720.004.NEBNext_dual_i7_137---NEBNext_dual_i5_137.51,AS_C_L1_F_S_S2_L004
NS.1720.004.NEBNext_dual_i7_138---NEBNext_dual_i5_138.52,AS_U_L2_F_S_S2_L004
NS.1720.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.53,AS_D_L2_F_S_S2_L004
NS.1720.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.54,AS_C_L2_F_S_S2_L004
NS.1720.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.55,AS_U_L3_F_S_S2_L004
NS.1720.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.56,AS_D_L3_F_S_S2_L004
NS.1720.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.57,AS_C_L3_F_S_S2_L004
NS.1720.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.58,AS_U_L4_F_S_S2_L004
NS.1720.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.59,AS_D_L4_F_S_S2_L004
NS.1720.004.NEBNext_dual_i7_H1---NEBNext_dual_i5_H1.60,AS_C_L4_F_S_S2_L004
NS.1720.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.61,AS_U_L1_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.62,AS_D_L1_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.63,AS_C_L1_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.64,AS_U_L2_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.65,AS_D_L2_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.66,AS_C_L2_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.67,AS_U_L3_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_H2---NEBNext_dual_i5_H2.68,AS_D_L3_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.69,AS_C_L3_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.70,AS_U_L4_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.71,AS_D_L4_F_V_S2_L004
NS.1722.002.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.72,AS_C_L4_F_V_S2_L002
NS.1722.002.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.73,AS_U_L1_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.74,AS_D_L1_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.75,AS_C_L1_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_H3---NEBNext_dual_i5_H3.76,AS_U_L2_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.77,AS_D_L2_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.78,AS_C_L2_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.79,AS_U_L3_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.80,AS_D_L3_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.81,AS_C_L3_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.82,AS_U_L4_M_S_S2_L002
NS.1720.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.83,AS_D_L4_M_S_S2_L004
NS.1722.002.NEBNext_dual_i7_H4---NEBNext_dual_i5_H4.84,AS_C_L4_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.85,AS_U_L1_M_V_S2_L002
NS.1722.002.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.86,AS_D_L1_M_V_S2_L002
