File,TIN.mean.,TIN.median.,TIN.stdev.,lane
AS_C_L1_F_S_S2_L004Aligned.sortedByCoord.out.bam,70.06536707,73.46866069,17.06303612,4
AS_C_L1_F_S_S3_L002Aligned.sortedByCoord.out.bam,77.83358884,82.34007795,15.37981423,2
AS_C_L1_F_V_S1_L004Aligned.sortedByCoord.out.bam,64.96440497,67.28446649,17.81194378,4
AS_C_L1_F_V_S2_L004Aligned.sortedByCoord.out.bam,70.49185334,74.01146706,16.76551445,4
AS_C_L1_F_V_S3_L002Aligned.sortedByCoord.out.bam,68.41859361,71.66775933,17.03309104,2
AS_C_L1_M_S_S1_L004Aligned.sortedByCoord.out.bam,75.02490879,79.31634468,15.97260604,4
AS_C_L1_M_S_S2_L002Aligned.sortedByCoord.out.bam,76.26645516,80.38290747,15.1568436,2
AS_C_L1_M_S_S3_L002Aligned.sortedByCoord.out.bam,75.98787636,79.94084873,15.39086669,2
AS_C_L1_M_V_S1_L004Aligned.sortedByCoord.out.bam,72.7328667,77.01706934,16.71269972,4
AS_C_L1_M_V_S2_L002Aligned.sortedByCoord.out.bam,75.10005207,79.02091798,15.62863149,2
AS_C_L1_M_V_S3_L002Aligned.sortedByCoord.out.bam,71.01352162,74.57846577,16.94691659,2
AS_C_L2_F_S_S1_L004Aligned.sortedByCoord.out.bam,68.59907579,72.2633646,17.64748583,4
AS_C_L2_F_S_S2_L004Aligned.sortedByCoord.out.bam,70.58931619,74.46626291,17.11112756,4
AS_C_L2_F_S_S3_L002Aligned.sortedByCoord.out.bam,68.53938821,71.59456504,17.39919757,2
AS_C_L2_F_V_S1_L004Aligned.sortedByCoord.out.bam,73.59378795,77.8507015,16.51531159,4
AS_C_L2_F_V_S2_L004Aligned.sortedByCoord.out.bam,75.74480943,80.22609051,15.96491532,4
AS_C_L2_F_V_S3_L002Aligned.sortedByCoord.out.bam,67.47267804,70.4374744,17.42498883,2
AS_C_L2_M_S_S1_L004Aligned.sortedByCoord.out.bam,70.69502072,74.20688548,17.04878532,4
AS_C_L2_M_S_S2_L002Aligned.sortedByCoord.out.bam,71.3999142,74.90082099,16.72548315,2
AS_C_L2_M_S_S3_L002Aligned.sortedByCoord.out.bam,79.43151861,84.08556043,15.24551352,2
AS_C_L2_M_V_S1_L004Aligned.sortedByCoord.out.bam,72.95886048,77.05755758,16.96587325,4
AS_C_L2_M_V_S2_L002Aligned.sortedByCoord.out.bam,74.03693602,77.95387377,16.02105052,2
AS_C_L2_M_V_S3_L002Aligned.sortedByCoord.out.bam,79.86165871,84.79399489,15.28180551,2
AS_C_L3_F_S_S1_L004Aligned.sortedByCoord.out.bam,67.48903111,70.433425,18.02185643,4
AS_C_L3_F_S_S2_L004Aligned.sortedByCoord.out.bam,69.01699642,72.80467109,18.11691248,4
AS_C_L3_F_S_S3_L002Aligned.sortedByCoord.out.bam,67.6178714,70.38159373,17.41496802,2
AS_C_L3_F_V_S1_L004Aligned.sortedByCoord.out.bam,69.12878736,72.67058935,17.60691683,4
AS_C_L3_F_V_S2_L004Aligned.sortedByCoord.out.bam,69.31616847,72.80095392,17.42281766,4
AS_C_L3_F_V_S3_L002Aligned.sortedByCoord.out.bam,76.38744657,80.8564506,16.03808495,2
AS_C_L3_M_S_S1_L004Aligned.sortedByCoord.out.bam,66.1877012,69.44433462,18.77227266,4
AS_C_L3_M_S_S2_L002Aligned.sortedByCoord.out.bam,75.38132612,79.86060205,16.27698064,2
AS_C_L3_M_S_S3_L002Aligned.sortedByCoord.out.bam,76.92732624,81.87837232,16.17376774,2
AS_C_L3_M_V_S1_L004Aligned.sortedByCoord.out.bam,75.15296515,79.88173584,16.79948431,4
AS_C_L3_M_V_S2_L002Aligned.sortedByCoord.out.bam,62.19025532,63.7100578,19.11285594,2
AS_C_L3_M_V_S3_L002Aligned.sortedByCoord.out.bam,71.36901032,75.64426143,17.56121438,2
AS_C_L4_F_S_S1_L004Aligned.sortedByCoord.out.bam,69.17012693,72.83840084,17.40132418,4
AS_C_L4_F_S_S2_L004Aligned.sortedByCoord.out.bam,76.88537138,81.44258072,15.86532744,4
AS_C_L4_F_S_S3_L002Aligned.sortedByCoord.out.bam,77.36577765,81.87119509,15.51569994,2
AS_C_L4_F_V_S1_L004Aligned.sortedByCoord.out.bam,72.44541947,76.41333498,16.68256539,4
AS_C_L4_F_V_S2_L002Aligned.sortedByCoord.out.bam,76.7026221,81.07746824,15.80882457,2
AS_C_L4_F_V_S3_L002Aligned.sortedByCoord.out.bam,65.60239116,68.39804178,18.34973187,2
AS_C_L4_M_S_S1_L004Aligned.sortedByCoord.out.bam,64.13537411,66.41591533,18.34821341,4
AS_C_L4_M_S_S2_L002Aligned.sortedByCoord.out.bam,74.0057401,78.00698486,16.13129548,2
AS_C_L4_M_S_S3_L002Aligned.sortedByCoord.out.bam,71.55466365,75.2235169,17.01517445,2
AS_C_L4_M_V_S1_L004Aligned.sortedByCoord.out.bam,71.55656573,75.74049983,17.37729912,4
AS_C_L4_M_V_S2_L002Aligned.sortedByCoord.out.bam,72.38747018,76.5953075,16.90644658,2
AS_C_L4_M_V_S3_L002Aligned.sortedByCoord.out.bam,70.7962747,74.3765256,17.16817316,2
AS_D_L1_F_S_S1_L004Aligned.sortedByCoord.out.bam,51.36846947,49.00936836,20.90959033,4
AS_D_L1_F_S_S2_L004Aligned.sortedByCoord.out.bam,70.96872091,74.91607142,17.26597351,4
AS_D_L1_F_S_S3_L002Aligned.sortedByCoord.out.bam,65.959282,68.81376991,18.46118319,2
AS_D_L1_F_V_S1_L004Aligned.sortedByCoord.out.bam,71.23016923,74.97832927,16.97351536,4
AS_D_L1_F_V_S2_L004Aligned.sortedByCoord.out.bam,65.70355971,68.34695962,18.37145588,4
AS_D_L1_F_V_S3_L002Aligned.sortedByCoord.out.bam,73.94167002,78.38618235,16.59528326,2
AS_D_L1_M_S_S1_L004Aligned.sortedByCoord.out.bam,64.61836192,66.83677541,18.50364665,4
AS_D_L1_M_S_S2_L002Aligned.sortedByCoord.out.bam,70.93610209,74.55378311,16.89961729,2
AS_D_L1_M_S_S3_L002Aligned.sortedByCoord.out.bam,68.39301533,71.45803941,17.43043836,2
AS_D_L1_M_V_S1_L004Aligned.sortedByCoord.out.bam,68.28783692,72.03323524,18.06125634,4
AS_D_L1_M_V_S2_L002Aligned.sortedByCoord.out.bam,71.81323419,75.47100224,16.87059766,2
AS_D_L1_M_V_S3_L002Aligned.sortedByCoord.out.bam,72.56910537,76.84534318,16.97644555,2
AS_D_L2_F_S_S1_L004Aligned.sortedByCoord.out.bam,66.99141879,70.05626495,18.16644725,4
AS_D_L2_F_S_S2_L004Aligned.sortedByCoord.out.bam,71.50347055,75.4511703,16.99486894,4
AS_D_L2_F_S_S3_L002Aligned.sortedByCoord.out.bam,73.41812845,77.47754206,16.5035024,2
AS_D_L2_F_V_S1_L004Aligned.sortedByCoord.out.bam,68.94297507,72.40690545,17.68019725,4
AS_D_L2_F_V_S2_L004Aligned.sortedByCoord.out.bam,65.06547163,67.65529809,18.20553237,4
AS_D_L2_F_V_S3_L002Aligned.sortedByCoord.out.bam,72.28636979,76.27767189,16.90766288,2
AS_D_L2_M_S_S1_L004Aligned.sortedByCoord.out.bam,69.93634003,73.5243995,17.40615877,4
AS_D_L2_M_S_S2_L002Aligned.sortedByCoord.out.bam,77.93587593,82.67253344,15.76352911,2
AS_D_L2_M_S_S3_L002Aligned.sortedByCoord.out.bam,75.01338226,79.37446305,16.37058146,2
AS_D_L2_M_V_S1_L004Aligned.sortedByCoord.out.bam,75.38497727,79.96111883,16.53363905,4
AS_D_L2_M_V_S2_L002Aligned.sortedByCoord.out.bam,68.53978673,71.92898904,17.73156214,2
AS_D_L2_M_V_S3_L002Aligned.sortedByCoord.out.bam,61.50662248,62.93264381,19.18613525,2
AS_D_L3_F_S_S1_L004Aligned.sortedByCoord.out.bam,62.27006281,64.05059169,19.12518061,4
AS_D_L3_F_S_S2_L004Aligned.sortedByCoord.out.bam,70.56732482,74.74202225,17.46655974,4
AS_D_L3_F_S_S3_L002Aligned.sortedByCoord.out.bam,70.88841413,74.61337043,17.05271343,2
AS_D_L3_F_V_S1_L004Aligned.sortedByCoord.out.bam,70.80077016,74.65627055,17.1084489,4
AS_D_L3_F_V_S2_L004Aligned.sortedByCoord.out.bam,76.18638638,80.87918299,16.06604814,4
AS_D_L3_F_V_S3_L002Aligned.sortedByCoord.out.bam,70.56006787,74.27141057,17.07072019,2
AS_D_L3_M_S_S1_L004Aligned.sortedByCoord.out.bam,68.12688992,71.38107857,17.71193749,4
AS_D_L3_M_S_S2_L002Aligned.sortedByCoord.out.bam,75.22140754,79.43630516,15.99537133,2
AS_D_L3_M_S_S3_L002Aligned.sortedByCoord.out.bam,75.62991956,80.19269794,16.27144094,2
AS_D_L3_M_V_S1_L004Aligned.sortedByCoord.out.bam,76.74496316,81.49052393,16.08612482,4
AS_D_L3_M_V_S2_L002Aligned.sortedByCoord.out.bam,62.14677411,63.86646977,18.76497279,2
AS_D_L3_M_V_S3_L002Aligned.sortedByCoord.out.bam,70.50600358,73.95623033,17.34658468,2
AS_D_L4_F_S_S1_L004Aligned.sortedByCoord.out.bam,66.11478789,68.92992355,18.39262236,4
AS_D_L4_F_S_S2_L004Aligned.sortedByCoord.out.bam,65.27998845,67.62691178,18.34367532,4
AS_D_L4_F_S_S3_L002Aligned.sortedByCoord.out.bam,62.69233768,64.06564757,18.81117195,2
AS_D_L4_F_V_S1_L004Aligned.sortedByCoord.out.bam,70.96624796,74.77913285,17.44934768,4
AS_D_L4_F_V_S2_L004Aligned.sortedByCoord.out.bam,72.49566818,76.30881183,16.72497156,4
AS_D_L4_F_V_S3_L002Aligned.sortedByCoord.out.bam,67.56334414,70.39538713,17.63448953,2
AS_D_L4_M_S_S1_L004Aligned.sortedByCoord.out.bam,67.37074833,70.81347245,18.25260933,4
AS_D_L4_M_S_S2_L004Aligned.sortedByCoord.out.bam,75.16298695,79.73218308,16.57808036,4
AS_D_L4_M_S_S3_L002Aligned.sortedByCoord.out.bam,77.28038038,82.16804373,16.24504766,2
AS_D_L4_M_V_S1_L004Aligned.sortedByCoord.out.bam,70.16340363,73.91318116,17.52669341,4
AS_D_L4_M_V_S2_L002Aligned.sortedByCoord.out.bam,69.489091,72.882004,17.31817083,2
AS_D_L4_M_V_S3_L002Aligned.sortedByCoord.out.bam,70.48233984,74.10681422,17.22313175,2
AS_U_L1_F_S_S2_L004Aligned.sortedByCoord.out.bam,68.89936016,72.13306948,17.08826551,4
AS_U_L1_F_S_S3_L002Aligned.sortedByCoord.out.bam,72.79379703,76.658052,16.40363714,2
AS_U_L1_F_V_S1_L004Aligned.sortedByCoord.out.bam,74.43744474,78.52819414,16.16527726,4
AS_U_L1_F_V_S2_L004Aligned.sortedByCoord.out.bam,71.09734001,74.36809599,16.46447427,4
AS_U_L1_F_V_S3_L002Aligned.sortedByCoord.out.bam,73.26696056,77.77145876,16.8355263,2
AS_U_L1_M_S_S1_L004Aligned.sortedByCoord.out.bam,71.54350656,75.18586563,16.57920232,4
AS_U_L1_M_S_S2_L002Aligned.sortedByCoord.out.bam,75.89257359,79.95734878,15.36463445,2
AS_U_L1_M_S_S3_L002Aligned.sortedByCoord.out.bam,73.71459133,77.58202075,16.12294742,2
AS_U_L1_M_V_S1_L004Aligned.sortedByCoord.out.bam,70.72639858,74.53061823,17.27815086,4
AS_U_L1_M_V_S2_L002Aligned.sortedByCoord.out.bam,71.49348794,74.97793643,16.54044282,2
AS_U_L1_M_V_S3_L002Aligned.sortedByCoord.out.bam,72.11355113,75.93976925,16.73397369,2
AS_U_L2_F_S_S1_L004Aligned.sortedByCoord.out.bam,63.05621981,64.95551542,18.95015947,4
AS_U_L2_F_S_S2_L004Aligned.sortedByCoord.out.bam,67.86059803,70.92714804,17.76528085,4
AS_U_L2_F_S_S3_L002Aligned.sortedByCoord.out.bam,63.8683922,66.0300448,18.78026687,2
AS_U_L2_F_V_S1_L004Aligned.sortedByCoord.out.bam,72.3634078,76.75553596,17.1125384,4
AS_U_L2_F_V_S2_L004Aligned.sortedByCoord.out.bam,67.92943778,70.93022086,17.43671478,4
AS_U_L2_F_V_S3_L002Aligned.sortedByCoord.out.bam,73.48531796,77.90884843,16.746891,2
AS_U_L2_M_S_S1_L004Aligned.sortedByCoord.out.bam,74.00967735,78.55640605,16.62680393,4
AS_U_L2_M_S_S2_L002Aligned.sortedByCoord.out.bam,76.41188955,80.5849683,15.66426548,2
AS_U_L2_M_S_S3_L002Aligned.sortedByCoord.out.bam,69.93984705,73.46891879,17.43560845,2
AS_U_L2_M_V_S1_L004Aligned.sortedByCoord.out.bam,74.06181116,78.40445335,16.62879069,4
AS_U_L2_M_V_S2_L002Aligned.sortedByCoord.out.bam,77.76919189,82.56668093,15.67994694,2
AS_U_L2_M_V_S3_L002Aligned.sortedByCoord.out.bam,71.21878002,75.52987178,17.42948096,2
AS_U_L3_F_S_S1_L004Aligned.sortedByCoord.out.bam,67.49524732,70.93210747,18.34292733,4
AS_U_L3_F_S_S2_L004Aligned.sortedByCoord.out.bam,65.32163158,68.05473829,18.72125705,4
AS_U_L3_F_S_S3_L002Aligned.sortedByCoord.out.bam,74.309016,78.7981758,16.54176611,2
AS_U_L3_F_V_S1_L004Aligned.sortedByCoord.out.bam,58.49066193,59.0737073,19.66825864,4
AS_U_L3_F_V_S2_L004Aligned.sortedByCoord.out.bam,70.627595,74.39545943,17.35073783,4
AS_U_L3_F_V_S3_L004Aligned.sortedByCoord.out.bam,66.40373299,69.41146215,18.34947526,4
AS_U_L3_M_S_S1_L004Aligned.sortedByCoord.out.bam,65.56590369,68.25983079,18.5680001,4
AS_U_L3_M_S_S2_L002Aligned.sortedByCoord.out.bam,72.26256956,76.10754395,16.79985834,2
AS_U_L3_M_S_S3_L002Aligned.sortedByCoord.out.bam,68.3961819,71.82771338,17.98954573,2
AS_U_L3_M_V_S1_L004Aligned.sortedByCoord.out.bam,74.1352303,78.74400071,17.02225663,4
AS_U_L3_M_V_S2_L002Aligned.sortedByCoord.out.bam,66.02370274,68.77845553,18.57840528,2
AS_U_L3_M_V_S3_L002Aligned.sortedByCoord.out.bam,69.59146362,73.24957051,17.60655157,2
AS_U_L4_F_S_S1_L004Aligned.sortedByCoord.out.bam,69.20447571,72.81404015,17.56296755,4
AS_U_L4_F_S_S2_L004Aligned.sortedByCoord.out.bam,70.84442604,74.52671191,17.23578459,4
AS_U_L4_F_S_S3_L002Aligned.sortedByCoord.out.bam,68.47448948,71.8304782,17.77584743,2
AS_U_L4_F_V_S1_L004Aligned.sortedByCoord.out.bam,63.51904008,65.57151421,18.83748223,4
AS_U_L4_F_V_S2_L004Aligned.sortedByCoord.out.bam,67.09414294,69.45767889,17.17446808,4
AS_U_L4_F_V_S3_L002Aligned.sortedByCoord.out.bam,74.2054424,78.526343,16.4537462,2
AS_U_L4_M_S_S1_L004Aligned.sortedByCoord.out.bam,70.72503686,74.18003422,16.93634375,4
AS_U_L4_M_S_S2_L002Aligned.sortedByCoord.out.bam,61.53540997,62.89694236,18.78066767,2
AS_U_L4_M_S_S3_L002Aligned.sortedByCoord.out.bam,71.08865804,75.22831311,17.25482848,2
AS_U_L4_M_V_S1_L004Aligned.sortedByCoord.out.bam,75.16285524,79.60257378,16.31444666,4
AS_U_L4_M_V_S2_L002Aligned.sortedByCoord.out.bam,76.38026924,80.6864684,15.68820569,2
AS_U_L4_M_V_S3_L002Aligned.sortedByCoord.out.bam,72.22260474,76.47408082,17.0146184,2
