gene,pval,p.adj
FBgn0023513,2.51614831676343e-11,1.03088980140943e-06
FBgn0035781,1.20330820025496e-05,0.035214769203579
FBgn0000490,9.0503342078025e-07,0.004120008511957
FBgn0032002,1.73578468325511e-07,0.00142092420062253
FBgn0032815,3.10932596617386e-07,0.00181988614810915
FBgn0040238,8.42310765321882e-10,1.725513499746e-05
FBgn0038294,3.95269341701064e-06,0.0134954661474273
FBgn0038541,7.60272940611753e-07,0.00389363782503674
FBgn0039068,2.92469640297627e-06,0.0108934165690684
FBgn0053111,8.39919074645885e-09,8.60307004055569e-05
FBgn0046247,2.37127557043044e-06,0.00971534064825119
FBgn0033174,5.02508735540176e-09,6.86275297758635e-05
FBgn0259236,6.04881179875432e-06,0.0190635038129716
FBgn0031902,2.08087578173151e-07,0.00142092420062253
