gene,transcript,FBID_KEY,contrast,estimate,abs_estimate,SE,t.ratio,p.value,ID_Notes_InteractionPlots,ID_Notes_AboutGeneFunction,FBID_KEY,ANNOTATION_SYMBOL,ASSOCIATED_GENE,REFSEQ,SYMBOL,#SUBMITTED ID,FBID_KEY,CG_Gene,GENE_SNAPSHOT,GO_BIOLOGICAL_PROCESS,GO_CELLULAR_COMPONENT,GO_MOLECULAR_FUNCTION,H_SAPIENS_ORTHOLOGS,LOCATION_MAX,LOCATION_MIN,M_MUSCULUS_ORTHOLOGS,NAME,SYMBOL
FBgn0053497,FBtr0345925,FBtr0345925,down - up,-4.716673514,4.716673514,0.83646669,-5.638806147,6.46523957703593e-07,"relative change in usage of the two transcripts in the low VS high. Indeed it looks like this transcript is totallty off in all low sociability samples, while being expressed in some, but not all of the control and high samples.",Not as sperm specific as the gene name suggests!,FBtr0345925,CG33497-RB,Sdic2,REFSEQ:NM_001298551,Sdic2-RB,FBgn0053497,FBgn0053497,CG33497,,microtubule-based movement ; GO:0007018 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000277823 <newline> microtubule-based movement ; GO:0007018 | involved_in inferred from electronic annotation with InterPro:IPR025956 <newline> microtubule-based movement ; GO:0007018 |,sperm flagellum ; GO:0036126 | located_in inferred from sequence or structural similarity with Sdic1 <newline> cytoplasmic dynein complex ; GO:0005868 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000277824 <newline> cytoplasmic dynein complex ; GO:0005868 | part_of inferred from electronic annotation with InterPro:IPR025956 <newline> sperm flagellum ; GO:0036126 | <newline> cytoplasmic dynein complex ; GO:0005868 |,dynein light chain binding ; GO:0045503 | enables inferred from biological aspect of ancestor with PANTHER:PTN000277823 <newline> dynein heavy chain binding ; GO:0045504 | enables inferred from biological aspect of ancestor with PANTHER:PTN000277823 <newline> dynein light chain binding ; GO:0045503 | <newline> dynein heavy chain binding ; GO:0045504 |,Hsap\DYNC1I1 <newline> Hsap\DYNC1I2 <newline> Hsap\DNAI3 <newline> Hsap\DYNC2I2 <newline> Hsap\DYNC2I1 <newline> Hsap\DNAI1 <newline> Hsap\DNAI4 <newline> Hsap\GEMIN5 <newline> Hsap\POC1B <newline> Hsap\RBBP4 <newline> Hsap\RBBP7 <newline> Hsap\TBL1Y <newline> Hsap\DCAF5 <newline> Hsap\DNAI2 <newline> Hsap\TBL1X <newline> Hsap\SEC31A <newline> Hsap\COPB2 <newline> Hsap\TBL1XR1 <newline> Hsap\WDR90 <newline> Hsap\WDR17 <newline> Hsap\EML3 <newline> Hsap\EML4,20186487,20181590,Mmus\Dync1i1 <newline> Mmus\Dync1i2 <newline> Mmus\Dnai2 <newline> Mmus\Dync2i1 <newline> Mmus\Dnai1 <newline> Mmus\Dnai3 <newline> Mmus\Dync2i2 <newline> Mmus\Dnai4 <newline> Mmus\Gemin5 <newline> Mmus\Poc1b <newline> Mmus\Sec31b <newline> Mmus\Sec31a <newline> Mmus\Tbl1x <newline> Mmus\Tbl1xr1,Sperm-specific dynein intermediate chain 2,Sdic2
FBgn0053497,FBtr0345926,FBtr0345926,down - up,-2.960815945,2.960815945,0.821383409,-3.604669771,0.004961938,relative change in usage of the two transcripts in the low VS high.  Very substantial expression difference,,FBtr0345926,CG33497-RC,Sdic2,REFSEQ:NM_001298552,Sdic2-RC,FBgn0053497,FBgn0053497,CG33497,,microtubule-based movement ; GO:0007018 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000277823 <newline> microtubule-based movement ; GO:0007018 | involved_in inferred from electronic annotation with InterPro:IPR025956 <newline> microtubule-based movement ; GO:0007018 |,sperm flagellum ; GO:0036126 | located_in inferred from sequence or structural similarity with Sdic1 <newline> cytoplasmic dynein complex ; GO:0005868 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000277824 <newline> cytoplasmic dynein complex ; GO:0005868 | part_of inferred from electronic annotation with InterPro:IPR025956 <newline> sperm flagellum ; GO:0036126 | <newline> cytoplasmic dynein complex ; GO:0005868 |,dynein light chain binding ; GO:0045503 | enables inferred from biological aspect of ancestor with PANTHER:PTN000277823 <newline> dynein heavy chain binding ; GO:0045504 | enables inferred from biological aspect of ancestor with PANTHER:PTN000277823 <newline> dynein light chain binding ; GO:0045503 | <newline> dynein heavy chain binding ; GO:0045504 |,Hsap\DYNC1I1 <newline> Hsap\DYNC1I2 <newline> Hsap\DNAI3 <newline> Hsap\DYNC2I2 <newline> Hsap\DYNC2I1 <newline> Hsap\DNAI1 <newline> Hsap\DNAI4 <newline> Hsap\GEMIN5 <newline> Hsap\POC1B <newline> Hsap\RBBP4 <newline> Hsap\RBBP7 <newline> Hsap\TBL1Y <newline> Hsap\DCAF5 <newline> Hsap\DNAI2 <newline> Hsap\TBL1X <newline> Hsap\SEC31A <newline> Hsap\COPB2 <newline> Hsap\TBL1XR1 <newline> Hsap\WDR90 <newline> Hsap\WDR17 <newline> Hsap\EML3 <newline> Hsap\EML4,20186487,20181590,Mmus\Dync1i1 <newline> Mmus\Dync1i2 <newline> Mmus\Dnai2 <newline> Mmus\Dync2i1 <newline> Mmus\Dnai1 <newline> Mmus\Dnai3 <newline> Mmus\Dync2i2 <newline> Mmus\Dnai4 <newline> Mmus\Gemin5 <newline> Mmus\Poc1b <newline> Mmus\Sec31b <newline> Mmus\Sec31a <newline> Mmus\Tbl1x <newline> Mmus\Tbl1xr1,Sperm-specific dynein intermediate chain 2,Sdic2
FBgn0032002,FBtr0079593,FBtr0079593,down - up,2.199247677,2.199247677,0.424561717,5.180042362,6.45942784693876e-06,"This transcript shows higher expression in low sociability, moderate in controls and low expression in high sociability. It is a fairly substantial change in expression (about a 4fold difference). Expression is off in some samples, not others. Other transcript is flat across treatments.","Not much known about this gene. While there is a human ortholog, not much is known about it either (in terms of phenotypes relevant to behaviour)",FBtr0079593,CG8353-RA,CG8353,REFSEQ:NM_135352,CG8353-RA,FBgn0032002,FBgn0032002,CG8353,,cytidine deamination ; GO:0009972 | involved_in inferred from electronic annotation with InterPro:IPR006262 <newline> cytidine deamination ; GO:0009972 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000182087 <newline> cytidine deamination ; GO:0009972 |,cytosol ; GO:0005829 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000182087 <newline> cytosol ; GO:0005829 |,"cytidine deaminase activity ; GO:0004126 | enables inferred from electronic annotation with InterPro:IPR006262 <newline> cytidine deaminase activity ; GO:0004126 | enables inferred from biological aspect of ancestor with PANTHER:PTN000182087 <newline> zinc ion binding ; GO:0008270 | enables inferred from electronic annotation with InterPro:IPR006262, InterPro:IPR016192 <newline> zinc ion binding ; GO:0008270 | enables inferred from biological aspect of ancestor with PANTHER:PTN000182087 <newline> cytidine deaminase activity ; GO:0004126 | <newline> zinc ion binding ; GO:0008270 |",Hsap\CDA,8215239,8214045,Mmus\Cda,-,CG8353
FBgn0014396,FBtr0333258,FBtr0333258,down - up,2.093928234,2.093928234,0.283988768,7.373278356,0,Mostly just this transcript changing. A hint with one other transcript.,"Well known behavioural phenotypes in Drosophila with respect to circadian rhythm and mating. In humans, not shockingly associated with sleep disorrders.",FBtr0333258,CG3234-RR,tim,REFSEQ:NM_001144308,tim-RR,FBgn0014396,FBgn0014396,CG3234,"timeless (tim) encodes a key component of the tim-per complex, required for the production of circadian rhythms. It is involved in mating behavior, DNA replication and larval phototaxis. [Date last reviewed: 2019-03-14]","eclosion rhythm ; GO:0008062 | involved_in traceable author statement <newline> DNA replication checkpoint signaling ; GO:0000076 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000533813 <newline> mating behavior ; GO:0007617 | inferred from mutant phenotype involved_in <newline> positive regulation of phagocytosis ; GO:0050766 | involved_in inferred from mutant phenotype <newline> cellular response to light stimulus ; GO:0071482 | involved_in inferred from mutant phenotype <newline> circadian regulation of heart rate ; GO:0003053 | involved_in inferred from mutant phenotype <newline> photoperiodism ; GO:0009648 | involved_in inferred from mutant phenotype <newline> entrainment of circadian clock ; GO:0009649 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN001118055 <newline> negative phototaxis ; GO:0046957 | involved_in inferred from mutant phenotype <newline> locomotor rhythm ; GO:0045475 | involved_in inferred from mutant phenotype <newline> replication fork arrest ; GO:0043111 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000533813 <newline> regulation of phagocytosis ; GO:0050764 | involved_in inferred from mutant phenotype <newline> regulation of circadian sleep/wake cycle, sleep ; GO:0045187 | involved_in inferred from mutant phenotype <newline> locomotor rhythm ; GO:0045475 | involved_in inferred from genetic interaction with jet <newline> copulation ; GO:0007620 | involved_in inferred from mutant phenotype <newline> entrainment of circadian clock ; GO:0009649 | involved_in inferred from mutant phenotype <newline> circadian temperature homeostasis ; GO:0060086 | involved_in inferred from mutant phenotype <newline> rhythmic behavior ; GO:0007622 | involved_in traceable author statement <newline> regulation of protein import into nucleus ; GO:0042306 | involved_in traceable author statement <newline> regulation of circadian sleep/wake cycle ; GO:0042749 | involved_in inferred from mutant phenotype <newline> circadian behavior ; GO:0048512 | involved_in inferred from mutant phenotype <newline> DNA repair ; GO:0006281 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000533813 <newline> eclosion rhythm ; GO:0008062 | <newline> DNA replication checkpoint signaling ; GO:0000076 | <newline> mating behavior ; GO:0007617 | <newline> positive regulation of phagocytosis ; GO:0050766 | <newline> cellular response to light stimulus ; GO:0071482 | <newline> circadian regulation of heart rate ; GO:0003053 | <newline> photoperiodism ; GO:0009648 | <newline> entrainment of circadian clock ; GO:0009649 | <newline> negative phototaxis ; GO:0046957 | <newline> locomotor rhythm ; GO:0045475 | <newline> replication fork arrest ; GO:0043111 | <newline> regulation of phagocytosis ; GO:0050764 | <newline> regulation of circadian sleep/wake cycle, sleep ; GO:0045187 | <newline> copulation ; GO:0007620 | <newline> circadian temperature homeostasis ; GO:0060086 | <newline> rhythmic behavior ; GO:0007622 | <newline> regulation of protein import into nucleus ; GO:0042306 | <newline> regulation of circadian sleep/wake cycle ; GO:0042749 | <newline> circadian behavior ; GO:0048512 | <newline> DNA repair ; GO:0006281 |",nucleus ; GO:0005634 | located_in inferred from direct assay <newline> cytosol ; GO:0005829 | located_in inferred from direct assay <newline> cytoplasm ; GO:0005737 | located_in inferred from direct assay <newline> replication fork protection complex ; GO:0031298 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000533813 <newline> nucleus ; GO:0005634 | <newline> cytosol ; GO:0005829 | <newline> cytoplasm ; GO:0005737 | <newline> replication fork protection complex ; GO:0031298 |,protein binding ; GO:0005515 | enables inferred from physical interaction with cry <newline> protein binding ; GO:0005515 | enables inferred from physical interaction with per <newline> DNA binding ; GO:0003677 | enables inferred from biological aspect of ancestor with PANTHER:PTN000533813 <newline> protein binding ; GO:0005515 | <newline> DNA binding ; GO:0003677 |,Hsap\TIMELESS,3508119,3493986,Mmus\Timeless,timeless,tim
FBgn0053494,FBtr0089607,FBtr0089607,down - up,1.983126079,1.983126079,0.438502592,4.52249568,0.000133015,,,FBtr0089607,CG33494-RA,CG33494,REFSEQ:NM_206572,CG33494-RA,FBgn0053494,FBgn0053494,CG33494,,-,-,-,-,25495161,25493481,-,-,CG33494
FBgn0053111,FBtr0084530,FBtr0084530,down - up,1.855151037,1.855151037,0.223058018,8.316899117,3.60579566205388e-10,,,FBtr0084530,CG33111-RB,CG33111,REFSEQ:NM_206549,CG33111-RB,FBgn0053111,FBgn0053111,CG33111,,neuron projection morphogenesis ; GO:0048812 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN002927327 <newline> positive regulation of neuron migration ; GO:2001224 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN002927327 <newline> neuron projection morphogenesis ; GO:0048812 | <newline> positive regulation of neuron migration ; GO:2001224 |,axonal growth cone ; GO:0044295 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN002927327 <newline> cell leading edge ; GO:0031252 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN002927327 <newline> cytoplasm ; GO:0005737 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN002927327 <newline> axonal growth cone ; GO:0044295 | <newline> cell leading edge ; GO:0031252 | <newline> cytoplasm ; GO:0005737 |,-,Hsap\SHTN1,23819237,23801714,Mmus\Shtn1,-,CG33111
FBgn0041111,FBtr0290038,FBtr0290038,down - up,-1.778935415,1.778935415,0.270915099,-6.566394502,5.68255131838669e-09,,,FBtr0290038,CG8817-RD,lilli,REFSEQ:NM_001144300,lilli-RD,FBgn0041111,FBgn0041111,CG8817,-,"neuronal stem cell population maintenance ; GO:0097150 | involved_in inferred from mutant phenotype inferred from genetic interaction with E(spl)mγ-HLH,Su(Tpl) inferred from genetic interaction with N inferred from genetic interaction with N,lilli inferred from genetic interaction with Su(Tpl) <newline> regulation of gene expression ; GO:0010468 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000829417 <newline> periodic partitioning by pair rule gene ; GO:0007366 | involved_in inferred from mutant phenotype <newline> wing disc dorsal/ventral pattern formation ; GO:0048190 | involved_in inferred from genetic interaction with Bx,ap <newline> segment specification ; GO:0007379 | involved_in inferred from high throughput mutant phenotype <newline> learning or memory ; GO:0007611 | involved_in inferred from mutant phenotype <newline> regulation of gene expression ; GO:0010468 | involved_in inferred from electronic annotation with InterPro:IPR007797 <newline> regulation of DNA-templated transcription ; GO:0006355 | involved_in inferred from mutant phenotype <newline> regulation of lipid transport ; GO:0032368 | involved_in inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | involved_in inferred from mutant phenotype inferred from genetic interaction with Su(Tpl) <newline> regulation of cytoskeleton organization ; GO:0051493 | involved_in inferred from mutant phenotype <newline> neuronal stem cell population maintenance ; GO:0097150 | <newline> regulation of gene expression ; GO:0010468 | <newline> periodic partitioning by pair rule gene ; GO:0007366 | <newline> wing disc dorsal/ventral pattern formation ; GO:0048190 | <newline> segment specification ; GO:0007379 | <newline> learning or memory ; GO:0007611 | <newline> regulation of DNA-templated transcription ; GO:0006355 | <newline> regulation of lipid transport ; GO:0032368 | <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | <newline> regulation of cytoskeleton organization ; GO:0051493 |",euchromatin ; GO:0000791 | part_of inferred from direct assay <newline> transcription elongation factor complex ; GO:0008023 | part_of inferred from direct assay <newline> super elongation complex ; GO:0032783 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000829417 <newline> super elongation complex ; GO:0032783 | part_of inferred from physical interaction with Su(Tpl) <newline> nucleus ; GO:0005634 | located_in inferred from electronic annotation with InterPro:IPR043640 <newline> nucleus ; GO:0005634 | located_in inferred from direct assay <newline> euchromatin ; GO:0000791 | <newline> transcription elongation factor complex ; GO:0008023 | <newline> super elongation complex ; GO:0032783 | <newline> nucleus ; GO:0005634 |,transcription coregulator activity ; GO:0003712 | enables inferred from mutant phenotype <newline> RNA polymerase II-specific DNA-binding transcription factor binding ; GO:0061629 | enables inferred from physical interaction with Su(H) <newline> transcription coregulator activity ; GO:0003712 | <newline> RNA polymerase II-specific DNA-binding transcription factor binding ; GO:0061629 |,Hsap\AFF2 <newline> Hsap\AFF1 <newline> Hsap\AFF3 <newline> Hsap\AFF4,2954406,2885929,Mmus\Aff1 <newline> Mmus\Aff2 <newline> Mmus\Aff3 <newline> Mmus\Aff4,lilliputian,lilli
FBgn0037026,FBtr0331529,FBtr0331529,down - up,-1.768046839,1.768046839,0.327536186,-5.398019865,4.08801509133028e-06,,,FBtr0331529,CG3634-RC,CG3634,REFSEQ:NM_001275196,CG3634-RC,FBgn0037026,FBgn0037026,CG3634,,-,-,molecular_function ; GO:0003674 | enables no biological data available <newline> molecular_function ; GO:0003674 |,Hsap\ST7-OT3 <newline> Hsap\ST7L <newline> Hsap\ST7,20809272,20806868,Mmus\St7 <newline> Mmus\St7l,-,CG3634
FBgn0023513,FBtr0339600,FBtr0339600,down - up,1.723103474,1.723103474,0.302883063,5.68900571,4.96434497065934e-07,,,FBtr0339600,CG14803-RB,CG14803,REFSEQ:NM_001297865,CG14803-RB,FBgn0023513,FBgn0023513,CG14803,,double-strand break repair via homologous recombination ; GO:0000724 | involved_in inferred from electronic annotation with InterPro:IPR042320 <newline> double-strand break repair via homologous recombination ; GO:0000724 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN002004262 <newline> replication fork processing ; GO:0031297 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN002004262 <newline> replication fork processing ; GO:0031297 | involved_in inferred from electronic annotation with InterPro:IPR042320 <newline> double-strand break repair via homologous recombination ; GO:0000724 | involved_in inferred from sequence or structural similarity with HGNC:21475 <newline> replication fork processing ; GO:0031297 | involved_in inferred from sequence or structural similarity with HGNC:21475 <newline> double-strand break repair via homologous recombination ; GO:0000724 | <newline> replication fork processing ; GO:0031297 |,nuclear replication fork ; GO:0043596 | located_in inferred from sequence or structural similarity with HGNC:21475 <newline> nuclear replication fork ; GO:0043596 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN002004262 <newline> nuclear replication fork ; GO:0043596 |,molecular_function ; GO:0003674 | enables no biological data available <newline> molecular_function ; GO:0003674 |,Hsap\MMS22L,1872408,1868870,Mmus\Mms22l,-,CG14803
FBgn0032815,FBtr0305952,FBtr0305952,down - up,1.698165046,1.698165046,0.250911954,6.76797187,2.60846011457261e-09,,,FBtr0305952,CG10462-RD,CG10462,REFSEQ:NM_001259167,CG10462-RD,FBgn0032815,FBgn0032815,CG10462,-,regulation of transcription by RNA polymerase II ; GO:0006357 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN001227251 <newline> regulation of transcription by RNA polymerase II ; GO:0006357 |,nucleus ; GO:0005634 | located_in inferred from sequence or structural similarity with UniProtKB:P38704 <newline> nucleus ; GO:0005634 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN001227251 <newline> nucleus ; GO:0005634 |,"DNA-binding transcription activator activity, RNA polymerase II-specific ; GO:0001228 | enables inferred from sequence or structural similarity with UniProtKB:P38704 <newline> RNA polymerase II cis-regulatory region sequence-specific DNA binding ; GO:0000978 | enables inferred from sequence or structural similarity with UniProtKB:P38704 <newline> RNA polymerase II cis-regulatory region sequence-specific DNA binding ; GO:0000978 | enables inferred from biological aspect of ancestor with PANTHER:PTN001227251 <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | enables inferred from biological aspect of ancestor with PANTHER:PTN001227251 <newline> DNA-binding transcription activator activity, RNA polymerase II-specific ; GO:0001228 | <newline> RNA polymerase II cis-regulatory region sequence-specific DNA binding ; GO:0000978 | <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 |",Hsap\WIZ <newline> Hsap\ZNF644 <newline> Hsap\ZNF236 <newline> Hsap\ZNF850 <newline> Hsap\ZNF816 <newline> Hsap\ZNF354B <newline> Hsap\ZNF43 <newline> Hsap\ZNF660 <newline> Hsap\ZFHX3 <newline> Hsap\ZNF471 <newline> Hsap\ZNF77 <newline> Hsap\ZNF875 <newline> Hsap\ZNF791 <newline> Hsap\ZNF454 <newline> Hsap\ZNF761 <newline> Hsap\ZNF845 <newline> Hsap\ZNF615 <newline> Hsap\ZNF197 <newline> Hsap\ZNF415 <newline> Hsap\ZNF808 <newline> Hsap\ZFP62 <newline> Hsap\ZNF726 <newline> Hsap\ZNF774 <newline> Hsap\ZNF90 <newline> Hsap\ZNF320 <newline> Hsap\ZNF616 <newline> Hsap\ZNF668 <newline> Hsap\ZNF587 <newline> Hsap\ZNF528 <newline> Hsap\ZNF417 <newline> Hsap\ZNF154 <newline> Hsap\ZNF260 <newline> Hsap\ZNF595 <newline> Hsap\ZNF667 <newline> Hsap\ZNF721 <newline> Hsap\ZNF732 <newline> Hsap\ZNF813 <newline> Hsap\ZSCAN2 <newline> Hsap\ZNF611 <newline> Hsap\ZNF16 <newline> Hsap\ZNF17 <newline> Hsap\ZNF658 <newline> Hsap\CIZ1 <newline> Hsap\ZNF45 <newline> Hsap\ZNF600 <newline> Hsap\ZNF658B <newline> Hsap\ZNF835 <newline> Hsap\ZNF665 <newline> Hsap\ZNF765-ZNF761 <newline> Hsap\ZNF660-ZNF197,19735980,19732080,Mmus\Klf5 <newline> Mmus\Wiz <newline> Mmus\Zfp644 <newline> Mmus\Zfp236 <newline> Mmus\Zfp62 <newline> Mmus\Zfp947 <newline> Mmus\Zfp600 <newline> Mmus\Zfp997 <newline> Mmus\Zfp976 <newline> Mmus\Ciz1 <newline> Mmus\Zfp160 <newline> Mmus\Zfp958 <newline> Mmus\Zfp934 <newline> Mmus\Zfp994 <newline> Mmus\Zfhx3 <newline> Mmus\Zfp873 <newline> Mmus\Zfp715 <newline> Mmus\Gm3604 <newline> Mmus\5430403G16Rik <newline> Mmus\Zfp78 <newline> Mmus\Gm14295 <newline> Mmus\Zfp386 <newline> Mmus\Gm45871 <newline> Mmus\Zfp995 <newline> Mmus\Gm14325,-,CG10462
FBgn0030653,FBtr0074045,FBtr0074045,down - up,1.689751799,1.689751799,0.433674989,3.896355199,0.0017053,,,FBtr0074045,CG7860-RA,CG7860,REFSEQ:NM_132811,CG7860-RA,FBgn0030653,FBgn0030653,CG7860,,asparagine catabolic process via L-aspartate ; GO:0033345 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000810037 <newline> asparagine catabolic process via L-aspartate ; GO:0033345 | involved_in inferred from sequence or structural similarity with UniProtKB:Q8VI04 <newline> asparagine catabolic process via L-aspartate ; GO:0033345 |,cytoplasm ; GO:0005737 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000022481 <newline> cytoplasm ; GO:0005737 | located_in inferred from sequence or structural similarity with UniProtKB:Q8VI04 <newline> cytoplasm ; GO:0005737 |,beta-aspartyl-peptidase activity ; GO:0008798 | enables inferred from biological aspect of ancestor with PANTHER:PTN007425449 <newline> asparaginase activity ; GO:0004067 | enables inferred from electronic annotation with InterPro:IPR033844 <newline> beta-aspartyl-peptidase activity ; GO:0008798 | enables inferred from sequence or structural similarity with UniProtKB:Q7L266 <newline> asparaginase activity ; GO:0004067 | enables inferred from biological aspect of ancestor with PANTHER:PTN007425449 <newline> beta-aspartyl-peptidase activity ; GO:0008798 | <newline> asparaginase activity ; GO:0004067 |,Hsap\ASRGL1 <newline> Hsap\TASP1 <newline> Hsap\AGA,15570369,15568993,Mmus\Asrgl1 <newline> Mmus\Aga <newline> Mmus\Tasp1,-,CG7860
