gene,transcript,contrast,estimate,SE,df,t.ratio,p.value.corrected
FBgn0260439,FBtr0005088,down - control,-0.273197768,0.231248139,541,-1.181405262,0.990199508
FBgn0260439,FBtr0005088,down - up,-0.023516412,0.23125821,541,-0.101688982,1
FBgn0260439,FBtr0005088,control - up,0.249681356,0.232483457,541,1.073974723,0.995626891
FBgn0260439,FBtr0100533,down - control,0.154929002,0.231266467,541,0.669915549,0.999949668
FBgn0260439,FBtr0100533,down - up,0.031164001,0.231261519,541,0.134756533,1
FBgn0260439,FBtr0100533,control - up,-0.123765002,0.232504917,541,-0.532311332,0.999995215
FBgn0260439,FBtr0100535,down - control,0.31347704,0.232137649,541,1.350392933,0.971887731
FBgn0260439,FBtr0100535,down - up,-0.030212451,0.231978722,541,-0.130238027,1
FBgn0260439,FBtr0100535,control - up,-0.343689491,0.233342276,541,-1.472898513,0.947349229
FBgn0260439,FBtr0339789,down - control,0.041402995,0.23177571,541,0.178633883,1
FBgn0260439,FBtr0339789,down - up,0.012559257,0.231775589,541,0.054187142,1
FBgn0260439,FBtr0339789,control - up,-0.028843738,0.233002009,541,-0.123791801,1
FBgn0031089,FBtr0070006,down - control,-0.051802356,0.167440076,405,-0.309378477,0.999997541
FBgn0031089,FBtr0070006,down - up,-0.019706923,0.16744298,405,-0.117693336,0.999999999
FBgn0031089,FBtr0070006,control - up,0.032095433,0.168307503,405,0.1906952,0.999999946
FBgn0031089,FBtr0303256,down - control,-0.272605465,0.169966731,405,-1.603875443,0.802432843
FBgn0031089,FBtr0303256,down - up,-0.070670934,0.169567323,405,-0.416772125,0.999974985
FBgn0031089,FBtr0303256,control - up,0.201934532,0.170097689,405,1.187167987,0.958918963
FBgn0031089,FBtr0343173,down - control,0.64308797,0.168950801,405,3.806362361,0.005076962
FBgn0031089,FBtr0343173,down - up,0.500256785,0.167952149,405,2.978567338,0.074288334
FBgn0031089,FBtr0343173,control - up,-0.142831185,0.169653418,405,-0.84189984,0.995492233
FBgn0000084,FBtr0070025,down - control,-0.06228788,0.026460428,268,-2.354001212,0.17656769
FBgn0000084,FBtr0070025,down - up,0.0042164,0.02648362,268,0.159207849,0.999985683
FBgn0000084,FBtr0070025,control - up,0.06650428,0.026574582,268,2.502552278,0.126995952
FBgn0000084,FBtr0301931,down - control,-0.016410245,0.026359471,268,-0.622555927,0.989302808
FBgn0000084,FBtr0301931,down - up,0.022615306,0.026372277,268,0.857540887,0.956070015
FBgn0000084,FBtr0301931,control - up,0.039025551,0.026476921,268,1.473945991,0.681205813
FBgn0031090,FBtr0303258,down - control,-0.086597289,0.062037,404,-1.395897426,0.899057274
FBgn0031090,FBtr0303258,down - up,-0.060941756,0.06172726,404,-0.9872746,0.986906872
FBgn0031090,FBtr0303258,control - up,0.025655533,0.062287598,404,0.411888309,0.999977158
FBgn0031090,FBtr0333548,down - control,0.016969194,0.069676056,404,0.243544122,0.999999626
FBgn0031090,FBtr0333548,down - up,-0.079907809,0.069349429,404,-1.152248983,0.965593615
FBgn0031090,FBtr0333548,control - up,-0.096877003,0.069338143,404,-1.397167543,0.898579935
FBgn0031090,FBtr0333549,down - control,0.099394184,0.061539278,404,1.615134048,0.796198335
FBgn0031090,FBtr0333549,down - up,0.002161793,0.061383827,404,0.035217624,1
FBgn0031090,FBtr0333549,control - up,-0.097232391,0.061810764,404,-1.573065683,0.818997687
FBgn0053517,FBtr0070034,down - control,-0.00282331,0.246982284,812,-0.011431224,1
FBgn0053517,FBtr0070034,down - up,-0.385063575,0.246526208,812,-1.56195797,0.985476407
FBgn0053517,FBtr0070034,control - up,-0.382240265,0.247638252,812,-1.543542897,0.98716959
FBgn0053517,FBtr0343167,down - control,-0.282805781,0.245194398,812,-1.153394136,0.999599647
FBgn0053517,FBtr0343167,down - up,-0.342411788,0.245180584,812,-1.396569753,0.995746198
FBgn0053517,FBtr0343167,control - up,-0.059606007,0.246233264,812,-0.242071301,1
FBgn0053517,FBtr0343168,down - control,0.221022309,0.249653016,812,0.885318,0.999989908
FBgn0053517,FBtr0343168,down - up,0.469892526,0.250532167,812,1.875577618,0.92018453
FBgn0053517,FBtr0343168,control - up,0.248870217,0.252150273,812,0.986991663,0.999951958
FBgn0053517,FBtr0343169,down - control,0.247930954,0.245945047,812,1.008074599,0.999935395
FBgn0053517,FBtr0343169,down - up,0.558959495,0.246554788,812,2.267080271,0.706995832
FBgn0053517,FBtr0343169,control - up,0.31102854,0.248001121,812,1.25414167,0.998831356
FBgn0053517,FBtr0343170,down - control,0.197359042,0.24915732,812,0.792106136,0.999998066
FBgn0053517,FBtr0343170,down - up,0.228753337,0.248717441,812,0.919731789,0.999982439
FBgn0053517,FBtr0343170,control - up,0.031394295,0.2501697,812,0.125491997,1
FBgn0053517,FBtr0343171,down - control,0.920164163,0.255326114,812,3.603877989,0.035650326
FBgn0053517,FBtr0343171,down - up,0.408049895,0.251588179,812,1.621896135,0.978693071
FBgn0053517,FBtr0343171,control - up,-0.512114268,0.257725015,812,-1.987056893,0.874928016
FBgn0010215,FBtr0070038,down - control,-0.025787099,0.048498627,268,-0.531707822,0.994849284
FBgn0010215,FBtr0070038,down - up,0.030118193,0.048529165,268,0.620620478,0.989454124
FBgn0010215,FBtr0070038,control - up,0.055905293,0.048710602,268,1.147702771,0.860834529
FBgn0010215,FBtr0339894,down - control,-0.096553334,0.052782142,268,-1.829280333,0.448698365
FBgn0010215,FBtr0339894,down - up,0.113556504,0.053371111,268,2.127677336,0.276221326
FBgn0010215,FBtr0339894,control - up,0.210109838,0.053137221,268,3.954099069,0.001367394
FBgn0052230,FBtr0070041,down - control,-0.048291431,0.029342871,268,-1.645763677,0.568950531
FBgn0052230,FBtr0070041,down - up,0.01354738,0.029342568,268,0.461697156,0.997357206
FBgn0052230,FBtr0070041,control - up,0.061838811,0.029452037,268,2.099644654,0.290592742
FBgn0052230,FBtr0331408,down - control,-0.036988863,0.029575188,268,-1.250672115,0.811261304
FBgn0052230,FBtr0331408,down - up,0.020416079,0.029584217,268,0.690100362,0.98294493
FBgn0052230,FBtr0331408,control - up,0.057404942,0.029679502,268,1.934161266,0.383638957
FBgn0264492,FBtr0070042,down - control,0.002537368,0.110103975,540,0.023045203,1
FBgn0264492,FBtr0070042,down - up,0.076143264,0.11012811,540,0.691406248,0.99993093
FBgn0264492,FBtr0070042,control - up,0.073605895,0.110697183,540,0.664930158,0.999953308
FBgn0264492,FBtr0070043,down - control,-0.104520753,0.112539853,540,-0.928744354,0.998811006
FBgn0264492,FBtr0070043,down - up,0.037812429,0.112712591,540,0.335476534,0.999999964
FBgn0264492,FBtr0070043,control - up,0.142333183,0.113112521,540,1.25833269,0.983687069
FBgn0264492,FBtr0070044,down - control,0.009650937,0.109781013,540,0.0879108,1
FBgn0264492,FBtr0070044,down - up,-0.012660231,0.109782003,540,-0.115321548,1
FBgn0264492,FBtr0070044,control - up,-0.022311167,0.110360773,540,-0.202165739,1
FBgn0264492,FBtr0345138,down - control,-0.02906482,0.110143428,540,-0.263881559,0.999999997
FBgn0264492,FBtr0345138,down - up,-0.016386358,0.110156571,540,-0.14875516,1
FBgn0264492,FBtr0345138,control - up,0.012678461,0.110703053,540,0.114526753,1
FBgn0040028,FBtr0070056,down - control,0.245606113,0.226833168,404,1.082761021,0.976462704
FBgn0040028,FBtr0070056,down - up,-0.325158251,0.22235781,404,-1.462319903,0.872196476
FBgn0040028,FBtr0070056,control - up,-0.570764364,0.22499932,404,-2.536738175,0.217646538
FBgn0040028,FBtr0070057,down - control,0.068675227,0.212765497,404,0.322774263,0.999996572
FBgn0040028,FBtr0070057,down - up,0.314062977,0.213686396,404,1.469737818,0.868957521
FBgn0040028,FBtr0070057,control - up,0.24538775,0.214807323,404,1.142362124,0.967330275
FBgn0040028,FBtr0345920,down - control,-0.289058744,0.212869059,404,-1.35791808,0.912678162
FBgn0040028,FBtr0345920,down - up,-0.221024218,0.213204603,404,-1.03667658,0.982087406
FBgn0040028,FBtr0345920,control - up,0.068034526,0.213348719,404,0.318888841,0.999996882
FBgn0027588,FBtr0070058,down - control,-0.028558054,0.042156259,269,-0.677433303,0.984306568
FBgn0027588,FBtr0070058,down - up,-0.057353174,0.042156237,269,-1.360490823,0.750546709
FBgn0027588,FBtr0070058,control - up,-0.028795121,0.042337369,269,-0.680134861,0.984023187
FBgn0027588,FBtr0070059,down - control,0.041562725,0.043673381,269,0.951671803,0.932451364
FBgn0027588,FBtr0070059,down - up,0.013486306,0.043669153,269,0.308829113,0.999622026
FBgn0027588,FBtr0070059,control - up,-0.02807642,0.043828283,269,-0.640600495,0.987813925
FBgn0040372,FBtr0070063,down - control,-0.074321543,0.079336959,268,-0.936783353,0.936636718
FBgn0040372,FBtr0070063,down - up,-0.162071032,0.078943033,268,-2.053012473,0.315436417
FBgn0040372,FBtr0070063,control - up,-0.08774949,0.078114033,268,-1.123351166,0.871395207
FBgn0040372,FBtr0332992,down - control,-0.01699651,0.067612488,268,-0.251381224,0.999862464
FBgn0040372,FBtr0332992,down - up,-0.079084016,0.067590566,268,-1.170045177,0.850743152
FBgn0040372,FBtr0332992,control - up,-0.062087506,0.067766212,268,-0.91620151,0.942141022
FBgn0024989,FBtr0070066,down - control,0.85690503,0.562119283,268,1.524418492,0.648828823
FBgn0024989,FBtr0070066,down - up,0.455852533,0.56191226,268,0.811252157,0.965305253
FBgn0024989,FBtr0070066,control - up,-0.401052497,0.562191769,268,-0.713373121,0.980223731
FBgn0024989,FBtr0342962,down - control,1.144558564,0.56419901,268,2.028643339,0.328868759
FBgn0024989,FBtr0342962,down - up,0.762900227,0.563442289,268,1.353998878,0.75433133
FBgn0024989,FBtr0342962,control - up,-0.381658337,0.565054659,268,-0.675436139,0.984513141
FBgn0052817,FBtr0070077,down - control,0.35620567,0.229914785,404,1.54929432,0.831271886
FBgn0052817,FBtr0070077,down - up,0.032473607,0.231625276,404,0.140198893,0.999999995
FBgn0052817,FBtr0070077,control - up,-0.323732063,0.232258132,404,-1.393845978,0.899825264
FBgn0052817,FBtr0300328,down - control,0.499728729,0.249483938,404,2.003049707,0.542126606
FBgn0052817,FBtr0300328,down - up,0.177476096,0.247811346,404,0.716174212,0.998555459
FBgn0052817,FBtr0300328,control - up,-0.322252634,0.253708236,404,-1.27017017,0.939402374
FBgn0052817,FBtr0336919,down - control,0.452205395,0.234812541,404,1.925814493,0.596196088
FBgn0052817,FBtr0336919,down - up,-0.223109824,0.234262105,404,-0.952394006,0.989651006
FBgn0052817,FBtr0336919,control - up,-0.675315219,0.235951807,404,-2.862089628,0.101252697
FBgn0004648,FBtr0070087,down - control,-0.103793283,0.047639969,268,-2.178701734,0.251185484
FBgn0004648,FBtr0070087,down - up,-0.05191985,0.04770127,268,-1.088437485,0.885723721
FBgn0004648,FBtr0070087,control - up,0.051873433,0.047687889,268,1.087769524,0.885988415
FBgn0004648,FBtr0344737,down - control,-0.106790978,0.046577151,268,-2.292776065,0.200608604
FBgn0004648,FBtr0344737,down - up,-0.052851493,0.046592287,268,-1.134339962,0.866686761
FBgn0004648,FBtr0344737,control - up,0.053939485,0.046676273,268,1.155608218,0.857307475
FBgn0024983,FBtr0070089,down - control,0.209611628,0.158343233,540,1.323780146,0.975814734
FBgn0024983,FBtr0070089,down - up,-0.12687392,0.158061234,540,-0.80268841,0.999700449
FBgn0024983,FBtr0070089,control - up,-0.336485548,0.158955466,540,-2.116854218,0.61087532
FBgn0024983,FBtr0070090,down - control,-0.121463169,0.158020262,540,-0.76865566,0.999803312
FBgn0024983,FBtr0070090,down - up,-0.01096019,0.158202416,540,-0.069279539,1
FBgn0024983,FBtr0070090,control - up,0.110502978,0.158817121,540,0.695787569,0.999926433
FBgn0024983,FBtr0100475,down - control,-0.00911659,0.156565495,540,-0.058228603,1
FBgn0024983,FBtr0100475,down - up,0.003370299,0.156572308,540,0.021525514,1
FBgn0024983,FBtr0100475,control - up,0.012486889,0.157388458,540,0.079338025,1
FBgn0024983,FBtr0100476,down - control,-0.143948632,0.181597164,540,-0.792681054,0.999734677
FBgn0024983,FBtr0100476,down - up,-0.023815211,0.182677543,540,-0.13036748,1
FBgn0024983,FBtr0100476,control - up,0.120133421,0.179648319,540,0.668714414,0.999950565
FBgn0023537,FBtr0070092,down - control,0.060117649,0.04467621,269,1.345630003,0.759178313
FBgn0023537,FBtr0070092,down - up,-0.007221996,0.044670264,269,-0.161673463,0.999984547
FBgn0023537,FBtr0070092,control - up,-0.067339645,0.044892775,269,-1.500010742,0.664575761
FBgn0023537,FBtr0070093,down - control,-0.053295127,0.048693833,269,-1.094494399,0.883309086
FBgn0023537,FBtr0070093,down - up,-0.041644931,0.04875094,269,-0.854238527,0.956780056
FBgn0023537,FBtr0070093,control - up,0.011650196,0.048642673,269,0.239505667,0.999891673
FBgn0266572,FBtr0070098,down - control,0.042466941,0.178496418,404,0.237914807,0.999999689
FBgn0266572,FBtr0070098,down - up,0.048243368,0.178471343,404,0.270314366,0.999999149
FBgn0266572,FBtr0070098,control - up,0.005776427,0.179257108,404,0.032224257,1
FBgn0266572,FBtr0339442,down - control,-0.158247771,0.194186403,404,-0.814927145,0.996400803
FBgn0266572,FBtr0339442,down - up,-0.403516026,0.194458264,404,-2.075077796,0.491928142
FBgn0266572,FBtr0339442,control - up,-0.245268255,0.19341366,404,-1.268102028,0.939954559
FBgn0266572,FBtr0339443,down - control,0.068024053,0.194100687,404,0.35045756,0.999993479
FBgn0266572,FBtr0339443,down - up,0.01759663,0.193779332,404,0.090807571,1
FBgn0266572,FBtr0339443,control - up,-0.050427423,0.194672959,404,-0.259036607,0.999999392
FBgn0052816,FBtr0070101,down - control,-0.483559297,0.280063026,812,-1.72660884,0.961155818
FBgn0052816,FBtr0070101,down - up,-0.1836423,0.278892738,812,-0.658469277,0.999999887
FBgn0052816,FBtr0070101,control - up,0.299916997,0.281344302,812,1.066014114,0.999860354
FBgn0052816,FBtr0070102,down - control,-0.270524557,0.283219947,812,-0.955174802,0.999969794
FBgn0052816,FBtr0070102,down - up,0.275433216,0.283819311,812,0.970452696,0.999962156
FBgn0052816,FBtr0070102,control - up,0.545957773,0.285388412,812,1.913034129,0.906438927
FBgn0052816,FBtr0273442,down - control,0.023476707,0.280382582,812,0.083730976,1
FBgn0052816,FBtr0273442,down - up,0.144359635,0.280843365,812,0.514021883,0.999999998
FBgn0052816,FBtr0273442,control - up,0.120882928,0.281622767,812,0.429237058,1
FBgn0052816,FBtr0273443,down - control,0.420712458,0.292641743,812,1.43763652,0.994082629
FBgn0052816,FBtr0273443,down - up,-0.048870185,0.287387044,812,-0.170050064,1
FBgn0052816,FBtr0273443,control - up,-0.469582643,0.293278019,812,-1.601151851,0.981275998
FBgn0052816,FBtr0344150,down - control,-0.012117802,0.277990667,812,-0.043590679,1
FBgn0052816,FBtr0344150,down - up,0.16293023,0.27755529,812,0.587019004,0.999999982
FBgn0052816,FBtr0344150,control - up,0.175048032,0.279065975,812,0.627263972,0.999999947
FBgn0052816,FBtr0344151,down - control,-1.014848148,0.288049704,812,-3.523170259,0.046440053
FBgn0052816,FBtr0344151,down - up,-0.672739133,0.287013251,812,-2.343930569,0.65068709
FBgn0052816,FBtr0344151,control - up,0.342109016,0.288098243,812,1.187473454,0.999415466
FBgn0261446,FBtr0070106,down - control,-0.323866437,0.070193828,268,-4.613887701,8.91561461978663e-05
FBgn0261446,FBtr0070106,down - up,0.067945637,0.070641407,268,0.961838674,0.929490788
FBgn0261446,FBtr0070106,control - up,0.391812074,0.070563596,268,5.552609253,1.00773263722598e-06
FBgn0261446,FBtr0332990,down - control,-0.065460019,0.06838046,268,-0.957291292,0.930824369
FBgn0261446,FBtr0332990,down - up,-0.007434895,0.068404895,268,-0.108689524,0.999997861
FBgn0261446,FBtr0332990,control - up,0.058025123,0.068728285,268,0.844268461,0.958871673
FBgn0040373,FBtr0070107,down - control,0.131839016,0.214059033,404,0.615900268,0.999518759
FBgn0040373,FBtr0070107,down - up,0.108454391,0.214030591,404,0.506723786,0.999888393
FBgn0040373,FBtr0070107,control - up,-0.023384624,0.215254993,404,-0.108636849,0.999999999
FBgn0040373,FBtr0070108,down - control,-0.174013962,0.21220343,404,-0.820033691,0.996241313
FBgn0040373,FBtr0070108,down - up,-0.064750157,0.212359712,404,-0.304907914,0.999997806
FBgn0040373,FBtr0070108,control - up,0.109263805,0.213206159,404,0.512479592,0.999878421
FBgn0040373,FBtr0340207,down - control,0.267795882,0.220467532,404,1.214672653,0.953038036
FBgn0040373,FBtr0340207,down - up,0.008177576,0.219507114,404,0.037254264,1
FBgn0040373,FBtr0340207,control - up,-0.259618305,0.221457375,404,-1.17231727,0.961862172
FBgn0025635,FBtr0070116,down - control,0.032762414,0.21982302,404,0.149039958,0.999999992
FBgn0025635,FBtr0070116,down - up,-0.00905295,0.220126706,404,-0.041126088,1
FBgn0025635,FBtr0070116,control - up,-0.041815364,0.220949785,404,-0.189252793,0.999999949
FBgn0025635,FBtr0070117,down - control,0.290935198,0.242714742,404,1.198671313,0.956527042
FBgn0025635,FBtr0070117,down - up,0.443408359,0.243226717,404,1.82302489,0.666848576
FBgn0025635,FBtr0070117,control - up,0.152473161,0.245978964,404,0.619862602,0.999495428
FBgn0025635,FBtr0070118,down - control,0.006130922,0.219526269,404,0.027927966,1
FBgn0025635,FBtr0070118,down - up,-0.022255203,0.219758483,404,-0.10127119,1
FBgn0025635,FBtr0070118,control - up,-0.028386125,0.220703056,404,-0.12861682,0.999999998
FBgn0003575,FBtr0070120,down - control,-0.287489691,0.192074676,404,-1.496759994,0.856757234
FBgn0003575,FBtr0070120,down - up,0.049520823,0.192614726,404,0.257097802,0.999999427
FBgn0003575,FBtr0070120,control - up,0.337010513,0.193010587,404,1.746072683,0.717458449
FBgn0003575,FBtr0340081,down - control,0.397954002,0.206955326,404,1.922898092,0.598229882
FBgn0003575,FBtr0340081,down - up,-0.169924893,0.202638238,404,-0.838562824,0.995613604
FBgn0003575,FBtr0340081,control - up,-0.567878895,0.207209597,404,-2.740601316,0.137121723
FBgn0003575,FBtr0340082,down - control,0.080447479,0.189220896,404,0.42515114,0.999970834
FBgn0003575,FBtr0340082,down - up,0.034596216,0.189217875,404,0.182837989,0.999999961
FBgn0003575,FBtr0340082,control - up,-0.045851264,0.190228857,404,-0.241032114,0.999999656
FBgn0025638,FBtr0070122,down - control,0.157050168,0.048760653,269,3.220838064,0.017814379
FBgn0025638,FBtr0070122,down - up,0.093139871,0.048747778,269,1.910648564,0.397866309
FBgn0025638,FBtr0070122,control - up,-0.063910296,0.048852696,269,-1.308224558,0.780355587
FBgn0025638,FBtr0343564,down - control,-0.051085995,0.048938796,269,-1.043875181,0.902600336
FBgn0025638,FBtr0343564,down - up,-0.031604253,0.048925524,269,-0.645966575,0.987342916
FBgn0025638,FBtr0343564,control - up,0.019481742,0.049006103,269,0.39753705,0.998710249
FBgn0040382,FBtr0070135,down - control,-0.022934236,0.05709096,404,-0.40171397,0.999981173
FBgn0040382,FBtr0070135,down - up,-0.000228619,0.057090404,404,-0.004004511,1
FBgn0040382,FBtr0070135,control - up,0.022705617,0.057232209,404,0.396727956,0.999982907
FBgn0040382,FBtr0070136,down - control,0.021199639,0.057196098,404,0.370648345,0.999989914
FBgn0040382,FBtr0070136,down - up,0.115710641,0.057201548,404,2.022858562,0.528264211
FBgn0040382,FBtr0070136,control - up,0.094511002,0.057357765,404,1.647745544,0.777626996
FBgn0040382,FBtr0070137,down - control,-0.044830195,0.057612372,404,-0.778134856,0.997394384
FBgn0040382,FBtr0070137,down - up,0.019110695,0.057630572,404,0.331606898,0.999995765
FBgn0040382,FBtr0070137,control - up,0.06394089,0.057742489,404,1.107345576,0.972964454
FBgn0027343,FBtr0070138,down - control,0.012157862,0.047511326,268,0.255893976,0.999849861
FBgn0027343,FBtr0070138,down - up,-0.017611391,0.047452652,268,-0.371136078,0.9990748
FBgn0027343,FBtr0070138,control - up,-0.029769253,0.047485955,268,-0.626906485,0.988956803
FBgn0027343,FBtr0345511,down - control,0.01325917,0.097014097,268,0.136672614,0.9999933
FBgn0027343,FBtr0345511,down - up,-0.032292218,0.096326726,268,-0.335236331,0.999435714
FBgn0027343,FBtr0345511,control - up,-0.045551389,0.09532622,268,-0.477847423,0.996887882
FBgn0086368,FBtr0070139,down - control,-0.028020393,0.121536628,268,-0.230551013,0.999910248
FBgn0086368,FBtr0070139,down - up,0.105927894,0.121339783,268,0.872985689,0.952649947
FBgn0086368,FBtr0070139,control - up,0.133948286,0.121959948,268,1.09829734,0.881775175
FBgn0086368,FBtr0335403,down - control,-0.01716714,0.130479014,268,-0.131570127,0.999994457
FBgn0086368,FBtr0335403,down - up,0.117272484,0.130699958,268,0.897264893,0.946918642
FBgn0086368,FBtr0335403,control - up,0.134439624,0.129964069,268,1.034436865,0.905967749
FBgn0025639,FBtr0070151,down - control,-0.003720524,0.174814538,268,-0.021282692,0.999999999
FBgn0025639,FBtr0070151,down - up,0.009942233,0.174993822,268,0.056814765,0.999999916
FBgn0025639,FBtr0070151,control - up,0.013662757,0.175818787,268,0.077709311,0.999999599
FBgn0025639,FBtr0308652,down - control,-0.594791656,0.177085705,268,-3.35877848,0.011451314
FBgn0025639,FBtr0308652,down - up,0.047733078,0.181570249,268,0.262890414,0.999828533
FBgn0025639,FBtr0308652,control - up,0.642524734,0.181182609,268,3.546282599,0.006084914
FBgn0002579,FBtr0070155,down - control,0.246192085,0.119246756,404,2.06456002,0.499213477
FBgn0002579,FBtr0070155,down - up,0.174292813,0.119259084,404,1.46146362,0.872567289
FBgn0002579,FBtr0070155,control - up,-0.071899272,0.11951079,404,-0.601613223,0.999595487
FBgn0002579,FBtr0070156,down - control,0.203841888,0.119234023,404,1.709594979,0.7404508
FBgn0002579,FBtr0070156,down - up,0.132093231,0.119238677,404,1.107805244,0.972895547
FBgn0002579,FBtr0070156,control - up,-0.071748657,0.119499074,404,-0.600411821,0.999601439
FBgn0002579,FBtr0345321,down - control,0.215309358,0.119448261,404,1.802532375,0.680568508
FBgn0002579,FBtr0345321,down - up,0.146768718,0.119475046,404,1.228446637,0.949879111
FBgn0002579,FBtr0345321,control - up,-0.06854064,0.119858197,404,-0.571847748,0.999722708
FBgn0040340,FBtr0070168,down - control,0.210548028,0.089019512,404,2.365189644,0.306193737
FBgn0040340,FBtr0070168,down - up,0.11743126,0.08889458,404,1.321017093,0.924712433
FBgn0040340,FBtr0070168,control - up,-0.093116768,0.089501351,404,-1.040395109,0.98167606
FBgn0040340,FBtr0070169,down - control,0.004187521,0.08943552,404,0.046821675,1
